name,price,description,sustainability_features,rating,number_of_reviews,product_page_url
"MATEPROX Magnetic Design for Samsung Galaxy S24 Plus Case, Stylish Slim an-ti Yellow Translucent Matte Shockproof Protective Cover for S 24+ 6.7'' 2024-Titanium Gray",16.99,"✅ This MATEPROX Case is specifically designed for the Samsung Galaxy S24 Plus 5G (2024release) 6.7 inch. With precise cutouts for charging ports and flexible tactile buttons, this armor mobile phone cover fits your device perfectly.
✅ Built-in magnets, automatically aligned with the magnetic charger safely. Support wireless charging and Qi-certified wireless charging.
✅ Upgraded material makes the translucent back of the case can effectively prevent the phone case from turning yellow and make it soft in touch. Metallic camera frames and buttons make the phone more stylish.
✅ With a 2.5mm raised bevel on the camera lens and 2mm on the screen, MATEPROX cell phone case offers extra protection against collisions from iPhone lenses and screen scratches. We also include a phone tempered film to protect your mobile phone.
✅ MATEPROX will provide olifetime free replacement service. If you encounter any problem, such as wrong size, color incorrect, shipping problem, wear and tear, getting dirty ect.. Please feel free to contact us at any time.","Recycled materials
Contains at least 95% recycled material.
As certified by
",4.4 out of 5 stars,169 ratings,https://www.amazon.com/MATEPROX-Translucent-Shockproof-Protective-2024-Titanium/dp/B0CQYGC14P/ref=sr_1_1?dib=eyJ2IjoiMSJ9.F0YXhN70Lg3_yw3w4LBA01c0bslVgnuZfWicjQAcVBe9nI074cEl3861F2pj94WTYbTWsWuIZVXwY-PNzaLrQkK38jpgrRwysyM04gQbQLvoIj-T9Ao2KMs042toy3vT_QMOrMRs-DdEHXKsntS6PSPGVOf2crvpcl0LPpjPu9_yD3DC9rLVuFNLUXjBPDuWXFu8gS-0j16r6y5yN38_unZ7mPMscGL74_dcejK9eI-ftW1olBu5KeXk-mhZWeThn6ShvVWKpso7JpqKr1nbINXuT7U62im3f1rLOAo2saQ.6ikoOo4oRFJDLMHM08jryhGnQtSkpkoLZL8BXaf3alI&dib_tag=se&qid=1727754110&rnid=2941120011&s=mobile&sr=1-1&srs=21411242011&th=1
"MATEPROX Compatible with iPhone 15 Plus Case, Clear Thin Slim Crystal Transparent Cover Shockproof Bumper Case for iPhone 15 Plus 6.7"" 2023-Pink",14.99,"✅This cell phone case is only compatible with iPhone 15 Plus (2023 release-2 cameras) 6.7 inch. Support wireless charging，universal to all car mounts.
✅Clear, slim, thin, sleek, stylish, pocket-friendly. Made with hard PC and soft TPE bumper. Slim design.Ultra transparent and Anti-Yellow back.
✅1.5mm raised lip camera lens protection, screen protection.It can protect your screen and camera when it on the ground and from drops.
✅The soft bumper of this case is made of premium TPE material,it will not scratch your iPhone.It's easy to install and take off.
✅MATEPROX comes with one-year warranty, please feel free to contact us when you have any question.","Recycled materials
Contains at least 95% recycled material.
As certified by
",4.7 out of 5 stars,263 ratings,https://www.amazon.com/MATEPROX-Compatible-Transparent-Shockproof-2023-Pink/dp/B0CD7B4JDH/ref=sr_1_2?dib=eyJ2IjoiMSJ9.F0YXhN70Lg3_yw3w4LBA01c0bslVgnuZfWicjQAcVBe9nI074cEl3861F2pj94WTYbTWsWuIZVXwY-PNzaLrQkK38jpgrRwysyM04gQbQLvoIj-T9Ao2KMs042toy3vT_QMOrMRs-DdEHXKsntS6PSPGVOf2crvpcl0LPpjPu9_yD3DC9rLVuFNLUXjBPDuWXFu8gS-0j16r6y5yN38_unZ7mPMscGL74_dcejK9eI-ftW1olBu5KeXk-mhZWeThn6ShvVWKpso7JpqKr1nbINXuT7U62im3f1rLOAo2saQ.6ikoOo4oRFJDLMHM08jryhGnQtSkpkoLZL8BXaf3alI&dib_tag=se&qid=1727754110&rnid=2941120011&s=mobile&sr=1-2&srs=21411242011&th=1
"MATEPROX iPhone Xs case,iPhone X Glitter Bling Sparkle Cute Girls Women Protective Case for iPhone Xs/X 5.8"" -Purple",11.99,"Compatible with 5.8""iPhone X(2017 release)and iPhone Xs(2018 release),Support wireless charging of iPhone X/Xs.
Luxury Sparkle glitter on the back of the case makes your iPhone shiny,chic and fashion.It's also a perfect gift.
Raised 0.8mm lips bumper of camera and screen help to protect screen and camera from rubbing against flat surfaces.
3-in-1 Hybrid Structure protecting your iPhone from drops, shocks and scratches.Precise cutouts for speaker,charging port,audio port and buttons for your convenience.
Lifetime Warranty: We provide lifetime replacement if you have any problem with the case.","Recycled materials
Contains at least 95% recycled material.
As certified by
",4.5 out of 5 stars,977 ratings,https://www.amazon.com/MATEPROX-Glitter-Sparkle-Protective-Purple/dp/B075M69ZS3/ref=sr_1_3?dib=eyJ2IjoiMSJ9.F0YXhN70Lg3_yw3w4LBA01c0bslVgnuZfWicjQAcVBe9nI074cEl3861F2pj94WTYbTWsWuIZVXwY-PNzaLrQkK38jpgrRwysyM04gQbQLvoIj-T9Ao2KMs042toy3vT_QMOrMRs-DdEHXKsntS6PSPGVOf2crvpcl0LPpjPu9_yD3DC9rLVuFNLUXjBPDuWXFu8gS-0j16r6y5yN38_unZ7mPMscGL74_dcejK9eI-ftW1olBu5KeXk-mhZWeThn6ShvVWKpso7JpqKr1nbINXuT7U62im3f1rLOAo2saQ.6ikoOo4oRFJDLMHM08jryhGnQtSkpkoLZL8BXaf3alI&dib_tag=se&qid=1727754110&rnid=2941120011&s=mobile&sr=1-3&srs=21411242011&th=1
"MATEPROX Compatible with Samsung Galaxy S22 Plus Case, Clear Thin Slim Crystal Transparent Shockproof Bumper Cover for Samsung S 22+ 5G (2022)-Pine Green",13.99,"Compatible with Samsung Galaxy S22 Plus 6.6 inch(2022 release).Support wireless charging.
Clear, slim, thin, sleek, stylish, pocket-friendly.Made with hard PC and soft TPE bumper. Slim design.Ultra transparent and Anti-Yellow back.
1.5mm raised lip camera lens protection, screen protection.It can protect your screen and camera when it on the ground and from drops.
The soft bumper of this case is made of premium TPE material,it will not scratch your phone.It's easy to install and take off.The bumper is processed by special technology, and the color of the bumper will be change color in different light.
MATEPROX comes with one-Year warranty,contact us when you meet any problem.","Recycled materials
Contains at least 95% recycled material.
As certified by
",4.5 out of 5 stars,609 ratings,https://www.amazon.com/MATEPROX-Compatible-Samsung-Transparent-Shockproof/dp/B09PVCJG1Y/ref=sr_1_4?dib=eyJ2IjoiMSJ9.F0YXhN70Lg3_yw3w4LBA01c0bslVgnuZfWicjQAcVBe9nI074cEl3861F2pj94WTYbTWsWuIZVXwY-PNzaLrQkK38jpgrRwysyM04gQbQLvoIj-T9Ao2KMs042toy3vT_QMOrMRs-DdEHXKsntS6PSPGVOf2crvpcl0LPpjPu9_yD3DC9rLVuFNLUXjBPDuWXFu8gS-0j16r6y5yN38_unZ7mPMscGL74_dcejK9eI-ftW1olBu5KeXk-mhZWeThn6ShvVWKpso7JpqKr1nbINXuT7U62im3f1rLOAo2saQ.6ikoOo4oRFJDLMHM08jryhGnQtSkpkoLZL8BXaf3alI&dib_tag=se&qid=1727754110&rnid=2941120011&s=mobile&sr=1-4&srs=21411242011&th=1
"MATEPROX iPhone Se 2022/2020, 8 , 7 Glitter Bling Sparkle Cute Girls Women Protective Case for 4.7"" iPhone 7/8/SE (Purple)",11.99,"Compatible with 4.7"" iPhone SE (2022 release)iPhone SE(2020 release)iPhone 7(2016 release)and iPhone 8(2017 release),Support wireless charging of iPhone 8/SE.
Luxury Sparkle glitter on the back of the case makes your iPhone shiny,chic and fashion.It's also a perfect gift.
Raised 1.0mm lips bumper of camera and screen help to protect screen and camera from rubbing against flat surfaces.
3-in-1 Hybrid Structure protecting your iPhone from drops, shocks and scratches.Precise cutouts for speaker,charging port,audio port and buttons for your convenience.
Lifetime Warranty: We provide lifetime replacement if you have any problem with the case.","Recycled materials
Contains at least 95% recycled material.
As certified by
",4.6 out of 5 stars,"6,894 ratings",https://www.amazon.com/MATEPROX-Shining-Glitter-Protective-Applicable/dp/B06XYP9BL6/ref=sr_1_5?dib=eyJ2IjoiMSJ9.F0YXhN70Lg3_yw3w4LBA01c0bslVgnuZfWicjQAcVBe9nI074cEl3861F2pj94WTYbTWsWuIZVXwY-PNzaLrQkK38jpgrRwysyM04gQbQLvoIj-T9Ao2KMs042toy3vT_QMOrMRs-DdEHXKsntS6PSPGVOf2crvpcl0LPpjPu9_yD3DC9rLVuFNLUXjBPDuWXFu8gS-0j16r6y5yN38_unZ7mPMscGL74_dcejK9eI-ftW1olBu5KeXk-mhZWeThn6ShvVWKpso7JpqKr1nbINXuT7U62im3f1rLOAo2saQ.6ikoOo4oRFJDLMHM08jryhGnQtSkpkoLZL8BXaf3alI&dib_tag=se&qid=1727754110&rnid=2941120011&s=mobile&sr=1-5&srs=21411242011&th=1
"MATEPROX Compatible with iPhone 15 Pro Max Case, Clear Thin Slim Crystal Transparent Cover Shockproof Bumper Case for iPhone 15 Pro Max 6.7"" 2023-Pink",14.99,"✅This cell phone case is only compatible with iPhone 15 Pro Max (2023 release) 6.7 inch. Support wireless charging，universal to all car mounts.
✅Clear, slim, thin, sleek, stylish, pocket-friendly. Made with hard PC and soft TPE bumper. Slim design.Ultra transparent and Anti-Yellow back.
✅1.5mm raised lip camera lens protection, screen protection.It can protect your screen and camera when it on the ground and from drops.
✅The soft bumper of this case is made of premium TPE material,it will not scratch your iPhone.It's easy to install and take off.
✅MATEPROX comes with one-year warranty, please feel free to contact us when you have any question.","Recycled materials
Contains at least 95% recycled material.
As certified by
",4.5 out of 5 stars,156 ratings,https://www.amazon.com/MATEPROX-Compatible-Transparent-Shockproof-2023-Pink/dp/B0CD7FG9K2/ref=sr_1_6?dib=eyJ2IjoiMSJ9.F0YXhN70Lg3_yw3w4LBA01c0bslVgnuZfWicjQAcVBe9nI074cEl3861F2pj94WTYbTWsWuIZVXwY-PNzaLrQkK38jpgrRwysyM04gQbQLvoIj-T9Ao2KMs042toy3vT_QMOrMRs-DdEHXKsntS6PSPGVOf2crvpcl0LPpjPu9_yD3DC9rLVuFNLUXjBPDuWXFu8gS-0j16r6y5yN38_unZ7mPMscGL74_dcejK9eI-ftW1olBu5KeXk-mhZWeThn6ShvVWKpso7JpqKr1nbINXuT7U62im3f1rLOAo2saQ.6ikoOo4oRFJDLMHM08jryhGnQtSkpkoLZL8BXaf3alI&dib_tag=se&qid=1727754110&rnid=2941120011&s=mobile&sr=1-6&srs=21411242011&th=1
"MATEPROX Compatible with iPhone 13 case Clear Thin Slim Crystal Transparent Cover Shockproof Bumper Case for iPhone 13 6.1"" 2021(Pink)",13.99,"Compatible with iPhone 13(2021 release)6.1 inch(That has 2 cameras).Support wireless charging，universal to all car mounts.
Clear, slim, thin, sleek, stylish, pocket-friendly.Made with hard PC and soft TPE bumper. Slim design.Ultra transparent and Anti-Yellow back.
1.5mm raised lip camera lens protection, screen protection.It can protect your screen and camera when it on the ground and from drops.
The soft bumper of this case is made of premium TPE material,it will not scratch your iPhone.It's easy to install and take off.
MATEPROX comes with one-Year warranty,contact us when you meet any problem.","Recycled materials
Contains at least 95% recycled material.
As certified by
",4.5 out of 5 stars,811 ratings,https://www.amazon.com/MATEPROX-Compatible-Crystal-Transparent-Shockproof/dp/B09C216DBJ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.F0YXhN70Lg3_yw3w4LBA01c0bslVgnuZfWicjQAcVBe9nI074cEl3861F2pj94WTYbTWsWuIZVXwY-PNzaLrQkK38jpgrRwysyM04gQbQLvoIj-T9Ao2KMs042toy3vT_QMOrMRs-DdEHXKsntS6PSPGVOf2crvpcl0LPpjPu9_yD3DC9rLVuFNLUXjBPDuWXFu8gS-0j16r6y5yN38_unZ7mPMscGL74_dcejK9eI-ftW1olBu5KeXk-mhZWeThn6ShvVWKpso7JpqKr1nbINXuT7U62im3f1rLOAo2saQ.6ikoOo4oRFJDLMHM08jryhGnQtSkpkoLZL8BXaf3alI&dib_tag=se&qid=1727754110&rnid=2941120011&s=mobile&sr=1-7&srs=21411242011
"MATEPROX Compatible with iPhone 15 Case, Clear Thin Slim Crystal Transparent Cover Shockproof Bumper Case for 6.1"" 2023-Pink2",21.99,"✅This cell phone case is only compatible with (2023 release-2 cameras) 6.1 inch. Support wireless charging，universal to all car mounts.
✅Clear, slim, thin, sleek, stylish, pocket-friendly. Made with hard PC and soft TPE bumper. Slim design.Ultra transparent and Anti-Yellow back.
✅1.5mm raised lip camera lens protection, screen protection.It can protect your screen and camera when it on the ground and from drops.
✅The soft bumper of this case is made of premium TPE material,it will not scratch your phone.It's easy to install and take off.
✅MATEPROX comes with one-year warranty, please feel free to contact us when you have any question.","Recycled materials
Contains at least 95% recycled material.
As certified by
",4.3 out of 5 stars,12 ratings,https://www.amazon.com/MATEPROX-Compatible-Transparent-Shockproof-2023-Pink2/dp/B0CH9ZB1H7/ref=sr_1_8?dib=eyJ2IjoiMSJ9.F0YXhN70Lg3_yw3w4LBA01c0bslVgnuZfWicjQAcVBe9nI074cEl3861F2pj94WTYbTWsWuIZVXwY-PNzaLrQkK38jpgrRwysyM04gQbQLvoIj-T9Ao2KMs042toy3vT_QMOrMRs-DdEHXKsntS6PSPGVOf2crvpcl0LPpjPu9_yD3DC9rLVuFNLUXjBPDuWXFu8gS-0j16r6y5yN38_unZ7mPMscGL74_dcejK9eI-ftW1olBu5KeXk-mhZWeThn6ShvVWKpso7JpqKr1nbINXuT7U62im3f1rLOAo2saQ.6ikoOo4oRFJDLMHM08jryhGnQtSkpkoLZL8BXaf3alI&dib_tag=se&qid=1727754110&rnid=2941120011&s=mobile&sr=1-8&srs=21411242011&th=1
"MATEPROX Compatible with iPhone 13 case,Bling Sparkle Cute Girls Women Christmas Protective Cases Cover for iPhone 13 6.1"" 2021(Red)",12.99,"Compatible with iPhone 13(2021 release 2 Cameras)6.1 inch only.Support wireless charging.
Luxury Sparkle glitter on the back of the case makes your iPhone shiny,chic and fashion.It's also a perfect gift.
Raised 0.8mm lips bumper of camera and screen help to protect screen and camera from rubbing against flat surfaces.
3-in-1 Hybrid Structure protecting your iPhone from drops, shocks and scratches.Precise cutouts for speaker,charging port,audio port and buttons for your convenience.
MATEPROX comes with one-Year warranty,contact us when you meet any problem.","Recycled materials
Contains at least 95% recycled material.
As certified by
",4.6 out of 5 stars,"1,161 ratings",https://www.amazon.com/MATEPROX-Compatible-iPhone-Sparkle-Protective/dp/B09BZ876GT/ref=sr_1_9?dib=eyJ2IjoiMSJ9.F0YXhN70Lg3_yw3w4LBA01c0bslVgnuZfWicjQAcVBe9nI074cEl3861F2pj94WTYbTWsWuIZVXwY-PNzaLrQkK38jpgrRwysyM04gQbQLvoIj-T9Ao2KMs042toy3vT_QMOrMRs-DdEHXKsntS6PSPGVOf2crvpcl0LPpjPu9_yD3DC9rLVuFNLUXjBPDuWXFu8gS-0j16r6y5yN38_unZ7mPMscGL74_dcejK9eI-ftW1olBu5KeXk-mhZWeThn6ShvVWKpso7JpqKr1nbINXuT7U62im3f1rLOAo2saQ.6ikoOo4oRFJDLMHM08jryhGnQtSkpkoLZL8BXaf3alI&dib_tag=se&qid=1727754110&rnid=2941120011&s=mobile&sr=1-9&srs=21411242011&th=1
"MATEPROX Compatible with Samsung Galaxy Z Flip 3 Case, Slim Thin Lightweight Protective Phone Case with Clear Back with Electroplated Frame for Samsung Galaxy Z Flip 3 5G(Light Blue)",13.99,"1.Compatibility: Only for Samsung Galaxy Z Flip 3 released in 2021. Precise cutouts and formfitting design ensures convenient access to all features and controls(Cameras, Buttons, Ports, Fingerprint Sensor and Wireless Charging)
2.Camera & Screen Protection: Raised bezel edges lift the screen and camera from flat surfaces, scratch-resistant in use.
3.Electroplating: We adopt electroplating technology for the case frame which become such a special touch to make your phone shiny, fashionable, and it is not easy to fade.
4.Maximum Protection: Durable and Sturdy materials keep your beloved phone safe maximally. Clear back adds no bulk, anti-fingerprints and anti-slip in use. And it offers a comfortable grip.
MATEPROX offers 1 year warranty for this sleek phone cover, and most friendly, warmest customer services.","Recycled materials
Contains at least 95% recycled material.
As certified by
",4.3 out of 5 stars,337 ratings,https://www.amazon.com/MATEPROX-Compatible-Lightweight-Protective-Electroplated/dp/B09LHLPCNB/ref=sr_1_10?dib=eyJ2IjoiMSJ9.F0YXhN70Lg3_yw3w4LBA01c0bslVgnuZfWicjQAcVBe9nI074cEl3861F2pj94WTYbTWsWuIZVXwY-PNzaLrQkK38jpgrRwysyM04gQbQLvoIj-T9Ao2KMs042toy3vT_QMOrMRs-DdEHXKsntS6PSPGVOf2crvpcl0LPpjPu9_yD3DC9rLVuFNLUXjBPDuWXFu8gS-0j16r6y5yN38_unZ7mPMscGL74_dcejK9eI-ftW1olBu5KeXk-mhZWeThn6ShvVWKpso7JpqKr1nbINXuT7U62im3f1rLOAo2saQ.6ikoOo4oRFJDLMHM08jryhGnQtSkpkoLZL8BXaf3alI&dib_tag=se&qid=1727754110&rnid=2941120011&s=mobile&sr=1-10&srs=21411242011&th=1
