name,price,description,sustainability_features,rating,number_of_reviews,product_page_url
Small Gold Huggie Hoop Earrings Set for Women 14K Real Gold Plated Hypoallergenic Lightweight Earrings for Sensitive Ears Everyday Earrings Sets for Multiple Piercing Cartilage Hoop Earrings Stack Jewelry,55.22,,"Recycled materials
This product has sustainability features recognized by trusted certifications.
As certified by
Recycled Claim Standard 100

Recycled materials
Contains at least 95% recycled material.
As certified by
",4.4 out of 5 stars,"1,418 ratings",https://www.amazon.com/Gokeey-Earrings-Hypoallergenic-Lightweight-Cartilage/dp/B0BZ81XCCW/ref=sr_1_1?dib=eyJ2IjoiMSJ9.Z6cEDbgkwnc8GeM5VLMwkJ8T2DYIysL-N6QCMu-MM7C0amZyEn5o2TIif3Ht8LK0P3a1vYyAhFB269InRgttDu4zdTGtGPi6rrgpe7dORBl_i6yPh8dLtLsMRzFgEzqvDgWf_D36bA1qGFjGxjvOZxCy5pHPjveaidktc6sMemicDPMlU7tKNQl_gi3vhMuyYx6B0Ua8o2Hb_dEYdOpetBx4al7-HPdClXId5Y5fj1mMvM_rQICtBDNKz28fxfD_JtKuwCtLqv_CN7bn34QdKW1KZK31-GcdibRfr8L9JPk.YLPuqSqduSnnoqoCTdTbvxs2FQYq5eKBIsn7H1RSZg8&dib_tag=se&qid=1727754175&rnid=2941120011&s=apparel&sr=1-1&srs=21411242011
"316L Stainless Steel Small Hoop Earrings Set for Women, Cute Huggie Earrings for Women, Hypoallergenic Tiny Cartilage Earrings Hoop Silver Hoop Earrings for Men Multiple Piercing Jewelry Gift",9.99,,"Recycled materials
This product has sustainability features recognized by trusted certifications.
As certified by
Recycled Claim Standard 100

Recycled materials
Contains at least 95% recycled material.
As certified by
",4.6 out of 5 stars,448 ratings,https://www.amazon.com/Gokeey-Stainless-Earrings-Hypoallergenic-Cartilage/dp/B0CF5TYSDM/ref=sr_1_2?dib=eyJ2IjoiMSJ9.Z6cEDbgkwnc8GeM5VLMwkJ8T2DYIysL-N6QCMu-MM7C0amZyEn5o2TIif3Ht8LK0P3a1vYyAhFB269InRgttDu4zdTGtGPi6rrgpe7dORBl_i6yPh8dLtLsMRzFgEzqvDgWf_D36bA1qGFjGxjvOZxCy5pHPjveaidktc6sMemicDPMlU7tKNQl_gi3vhMuyYx6B0Ua8o2Hb_dEYdOpetBx4al7-HPdClXId5Y5fj1mMvM_rQICtBDNKz28fxfD_JtKuwCtLqv_CN7bn34QdKW1KZK31-GcdibRfr8L9JPk.YLPuqSqduSnnoqoCTdTbvxs2FQYq5eKBIsn7H1RSZg8&dib_tag=se&qid=1727754175&rnid=2941120011&s=apparel&sr=1-2&srs=21411242011&th=1
"Gold Hoop Earrings Set for Women,14k Real Gold Plated Gold Hoops with S925 Sterling Silver Post Hypoallergenic Thin Hoop Earrings Gold Earrings for Women Trendy Jewelry Gifts",15.98,,"Recycled materials
This product has sustainability features recognized by trusted certifications.
As certified by
Recycled Claim Standard 100

Recycled materials
Contains at least 95% recycled material.
As certified by
",4.6 out of 5 stars,358 ratings,https://www.amazon.com/Earrings-Plated-Sterling-Hypoallergenic-Gold-14mm/dp/B0C98GSPGV/ref=sr_1_3?dib=eyJ2IjoiMSJ9.Z6cEDbgkwnc8GeM5VLMwkJ8T2DYIysL-N6QCMu-MM7C0amZyEn5o2TIif3Ht8LK0P3a1vYyAhFB269InRgttDu4zdTGtGPi6rrgpe7dORBl_i6yPh8dLtLsMRzFgEzqvDgWf_D36bA1qGFjGxjvOZxCy5pHPjveaidktc6sMemicDPMlU7tKNQl_gi3vhMuyYx6B0Ua8o2Hb_dEYdOpetBx4al7-HPdClXId5Y5fj1mMvM_rQICtBDNKz28fxfD_JtKuwCtLqv_CN7bn34QdKW1KZK31-GcdibRfr8L9JPk.YLPuqSqduSnnoqoCTdTbvxs2FQYq5eKBIsn7H1RSZg8&dib_tag=se&qid=1727754175&rnid=2941120011&s=apparel&sr=1-3&srs=21411242011&th=1
"Dainty Gold Chain Bracelets Set for Women 14K Real Gold Plated Link Chain Bracelets for Women Trendy Gold Stackable Cuff Bracelets for Jewelry Gifts Women Adjustable 7""+2""",15.98,,"Recycled materials
This product has sustainability features recognized by trusted certifications.
As certified by
Recycled Claim Standard 100

Recycled materials
Contains at least 95% recycled material.
As certified by
",4.5 out of 5 stars,"2,203 ratings",https://www.amazon.com/Reoxvo-Bracelets-Jewelry-Paperclip-Bracelet/dp/B0B5V5CBJF/ref=sr_1_4?dib=eyJ2IjoiMSJ9.Z6cEDbgkwnc8GeM5VLMwkJ8T2DYIysL-N6QCMu-MM7C0amZyEn5o2TIif3Ht8LK0P3a1vYyAhFB269InRgttDu4zdTGtGPi6rrgpe7dORBl_i6yPh8dLtLsMRzFgEzqvDgWf_D36bA1qGFjGxjvOZxCy5pHPjveaidktc6sMemicDPMlU7tKNQl_gi3vhMuyYx6B0Ua8o2Hb_dEYdOpetBx4al7-HPdClXId5Y5fj1mMvM_rQICtBDNKz28fxfD_JtKuwCtLqv_CN7bn34QdKW1KZK31-GcdibRfr8L9JPk.YLPuqSqduSnnoqoCTdTbvxs2FQYq5eKBIsn7H1RSZg8&dib_tag=se&qid=1727754175&rnid=2941120011&s=apparel&sr=1-4&srs=21411242011&th=1
Amazon Essentials Women's Classic-Fit Full-Zip Polar Soft Fleece Jacket (Available in Plus Size),89.99,,"Recycled materials
This product has sustainability features recognized by trusted certifications.
As certified by
Recycled Claim Standard 100

Recycled materials
Contains at least 95% recycled material.
As certified by
",4.5 out of 5 stars,"18,978 ratings",https://www.amazon.com/Amazon-Essentials-Classic-Long-Sleeve-Full-Zip/dp/B0972R4TFS/ref=sr_1_5?dib=eyJ2IjoiMSJ9.Z6cEDbgkwnc8GeM5VLMwkJ8T2DYIysL-N6QCMu-MM7C0amZyEn5o2TIif3Ht8LK0P3a1vYyAhFB269InRgttDu4zdTGtGPi6rrgpe7dORBl_i6yPh8dLtLsMRzFgEzqvDgWf_D36bA1qGFjGxjvOZxCy5pHPjveaidktc6sMemicDPMlU7tKNQl_gi3vhMuyYx6B0Ua8o2Hb_dEYdOpetBx4al7-HPdClXId5Y5fj1mMvM_rQICtBDNKz28fxfD_JtKuwCtLqv_CN7bn34QdKW1KZK31-GcdibRfr8L9JPk.YLPuqSqduSnnoqoCTdTbvxs2FQYq5eKBIsn7H1RSZg8&dib_tag=se&qid=1727754175&rnid=2941120011&s=apparel&sr=1-5&srs=21411242011
"7pc Gold Bracelets for Women, 14K Real Gold Dainty Layered Cuban Link Paperclip Chain Herribone Bracelets Cute Stackable Gold Chain Bracelet Set for Women Trendy Jewelry Gifts",15.98,,"Recycled materials
This product has sustainability features recognized by trusted certifications.
As certified by
Recycled Claim Standard 100

Recycled materials
Contains at least 95% recycled material.
As certified by
",4.5 out of 5 stars,219 ratings,https://www.amazon.com/Gokeey-Bracelets-Jewelry-Paperclip-Anklet/dp/B0C98G8FRP/ref=sr_1_6?dib=eyJ2IjoiMSJ9.Z6cEDbgkwnc8GeM5VLMwkJ8T2DYIysL-N6QCMu-MM7C0amZyEn5o2TIif3Ht8LK0P3a1vYyAhFB269InRgttDu4zdTGtGPi6rrgpe7dORBl_i6yPh8dLtLsMRzFgEzqvDgWf_D36bA1qGFjGxjvOZxCy5pHPjveaidktc6sMemicDPMlU7tKNQl_gi3vhMuyYx6B0Ua8o2Hb_dEYdOpetBx4al7-HPdClXId5Y5fj1mMvM_rQICtBDNKz28fxfD_JtKuwCtLqv_CN7bn34QdKW1KZK31-GcdibRfr8L9JPk.YLPuqSqduSnnoqoCTdTbvxs2FQYq5eKBIsn7H1RSZg8&dib_tag=se&qid=1727754175&rnid=2941120011&s=apparel&sr=1-6&srs=21411242011&th=1
"Ankle Bracelets for Women, 14k Gold Jewelry Set Waterproof Layered Cuban Figaro Link Chain Anklets Set Gold Anklets Gift Adjustable Size",13.98,,"Recycled materials
This product has sustainability features recognized by trusted certifications.
As certified by
Recycled Claim Standard 100

Recycled materials
Contains at least 95% recycled material.
As certified by
",4.4 out of 5 stars,"1,184 ratings",https://www.amazon.com/Gokeey-Bracelets-Waterproof-Paperclip-Adjustable/dp/B0BV1NDS7V/ref=sr_1_7?dib=eyJ2IjoiMSJ9.Z6cEDbgkwnc8GeM5VLMwkJ8T2DYIysL-N6QCMu-MM7C0amZyEn5o2TIif3Ht8LK0P3a1vYyAhFB269InRgttDu4zdTGtGPi6rrgpe7dORBl_i6yPh8dLtLsMRzFgEzqvDgWf_D36bA1qGFjGxjvOZxCy5pHPjveaidktc6sMemicDPMlU7tKNQl_gi3vhMuyYx6B0Ua8o2Hb_dEYdOpetBx4al7-HPdClXId5Y5fj1mMvM_rQICtBDNKz28fxfD_JtKuwCtLqv_CN7bn34QdKW1KZK31-GcdibRfr8L9JPk.YLPuqSqduSnnoqoCTdTbvxs2FQYq5eKBIsn7H1RSZg8&dib_tag=se&qid=1727754175&rnid=2941120011&s=apparel&sr=1-7&srs=21411242011
Amazon Essentials Men's Full-Zip Fleece Jacket (Available in Big & Tall),29.98,,"Recycled materials
This product has sustainability features recognized by trusted certifications.
As certified by
Recycled Claim Standard 100

Recycled materials
Contains at least 95% recycled material.
As certified by
",4.5 out of 5 stars,"13,654 ratings",https://www.amazon.com/Amazon-Essentials-Full-Zip-Fleece-Jacket-DNU/dp/B096YJV5VT/ref=sr_1_8?dib=eyJ2IjoiMSJ9.Z6cEDbgkwnc8GeM5VLMwkJ8T2DYIysL-N6QCMu-MM7C0amZyEn5o2TIif3Ht8LK0P3a1vYyAhFB269InRgttDu4zdTGtGPi6rrgpe7dORBl_i6yPh8dLtLsMRzFgEzqvDgWf_D36bA1qGFjGxjvOZxCy5pHPjveaidktc6sMemicDPMlU7tKNQl_gi3vhMuyYx6B0Ua8o2Hb_dEYdOpetBx4al7-HPdClXId5Y5fj1mMvM_rQICtBDNKz28fxfD_JtKuwCtLqv_CN7bn34QdKW1KZK31-GcdibRfr8L9JPk.YLPuqSqduSnnoqoCTdTbvxs2FQYq5eKBIsn7H1RSZg8&dib_tag=se&qid=1727754175&rnid=2941120011&s=apparel&sr=1-8&srs=21411242011
Small Gold Huggie Hoop Earrings for Women 14K Gold Plated Lightweight Hoop Earrings Set for Women Hypoallergenic Earrings Gifts,12.98,,"Recycled materials
This product has sustainability features recognized by trusted certifications.
As certified by
Recycled Claim Standard 100

Recycled materials
Contains at least 95% recycled material.
As certified by
",4.5 out of 5 stars,"1,325 ratings",https://www.amazon.com/Gokeey-Huggie-Earrings-Lightweight-Hypoallergenic/dp/B0CXPCMZS6/ref=sr_1_9?dib=eyJ2IjoiMSJ9.Z6cEDbgkwnc8GeM5VLMwkJ8T2DYIysL-N6QCMu-MM7C0amZyEn5o2TIif3Ht8LK0P3a1vYyAhFB269InRgttDu4zdTGtGPi6rrgpe7dORBl_i6yPh8dLtLsMRzFgEzqvDgWf_D36bA1qGFjGxjvOZxCy5pHPjveaidktc6sMemicDPMlU7tKNQl_gi3vhMuyYx6B0Ua8o2Hb_dEYdOpetBx4al7-HPdClXId5Y5fj1mMvM_rQICtBDNKz28fxfD_JtKuwCtLqv_CN7bn34QdKW1KZK31-GcdibRfr8L9JPk.YLPuqSqduSnnoqoCTdTbvxs2FQYq5eKBIsn7H1RSZg8&dib_tag=se&qid=1727754175&rnid=2941120011&s=apparel&sr=1-9&srs=21411242011&th=1&psc=1
"Small Silver Hoop Earrings Set for Women, Dainty Tiny Lightweight Cubic Zirconia Cuff Silver Huggie Earrings Mini Hoops Cartilage Earring Silver Earrings Set for Multiple Piercing Jewelry for Women",14.98,,"Recycled materials
This product has sustainability features recognized by trusted certifications.
As certified by
Recycled Claim Standard 100

Recycled materials
Contains at least 95% recycled material.
As certified by
",4.4 out of 5 stars,652 ratings,https://www.amazon.com/Gokeey-Sterling-Hypoallergenic-Lightweight-Cartilage/dp/B0CKMW6Z6G/ref=sr_1_10?dib=eyJ2IjoiMSJ9.Z6cEDbgkwnc8GeM5VLMwkJ8T2DYIysL-N6QCMu-MM7C0amZyEn5o2TIif3Ht8LK0P3a1vYyAhFB269InRgttDu4zdTGtGPi6rrgpe7dORBl_i6yPh8dLtLsMRzFgEzqvDgWf_D36bA1qGFjGxjvOZxCy5pHPjveaidktc6sMemicDPMlU7tKNQl_gi3vhMuyYx6B0Ua8o2Hb_dEYdOpetBx4al7-HPdClXId5Y5fj1mMvM_rQICtBDNKz28fxfD_JtKuwCtLqv_CN7bn34QdKW1KZK31-GcdibRfr8L9JPk.YLPuqSqduSnnoqoCTdTbvxs2FQYq5eKBIsn7H1RSZg8&dib_tag=se&qid=1727754175&rnid=2941120011&s=apparel&sr=1-10&srs=21411242011&th=1
