name,price,description,sustainability_features,rating_x,number_of_reviews,product_page_url,product_id,url,rating_y,author,date,content,sentiment_score,cot_reasoning
"Dr. Bronner's & All-One Organic Lotion for Hands & Body, Patchouli Lime, 8-Ounce Pump Bottles (Pack of 2)",30.97,,"Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
",3.8 out of 5 stars,53 ratings,https://www.amazon.com/Dr-Bronners-All-One-Organic-Patchouli/dp/B001ET727U/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ehJzilY-h-EMJCiE318dfg7VZydYIWWmW4wI2icvBuD0mmrQnRoVT12mbm6hJZVnd6Hyx06oZb191PYlmcGojYG8fr-0R2YwUWS_dbJhA7xPLvG7__2Xl_qtFMtnHcKC43ldsFn-J7afqqZIn68g-A.Q9MTkOqDQR9PK-AQ9he66oKbWQcGDpaKeRFu8KhGcGg&dib_tag=se&qid=1727753353&rnid=2941120011&s=baby-products&sr=1-7&srs=23176677011,B001ET727U,https://www.amazon.com/product-reviews/B001ET727U/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,one_star,NWOOD,"Reviewed in the United States on October 22, 2012",Lotion smells nothing like lime or patchouli.  Lotion dispenser was broken upon arrival.  The lotion does not absorb well into your skin and leaves a greasy film.  Money wasted on this product!,0,No strong positive or negative words found; marked as neutral.
"Dr. Bronner's & All-One Organic Lotion for Hands & Body, Patchouli Lime, 8-Ounce Pump Bottles (Pack of 2)",30.97,,"Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
",3.8 out of 5 stars,53 ratings,https://www.amazon.com/Dr-Bronners-All-One-Organic-Patchouli/dp/B001ET727U/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ehJzilY-h-EMJCiE318dfg7VZydYIWWmW4wI2icvBuD0mmrQnRoVT12mbm6hJZVnd6Hyx06oZb191PYlmcGojYG8fr-0R2YwUWS_dbJhA7xPLvG7__2Xl_qtFMtnHcKC43ldsFn-J7afqqZIn68g-A.Q9MTkOqDQR9PK-AQ9he66oKbWQcGDpaKeRFu8KhGcGg&dib_tag=se&qid=1727753353&rnid=2941120011&s=baby-products&sr=1-7&srs=23176677011,B001ET727U,https://www.amazon.com/product-reviews/B001ET727U/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,one_star,Amazon Customer,"Reviewed in the United States on September 20, 2015","This lotion when purchased at a retailer, such as a local organic store is lovely.  The item shipped to me is not the same item and stinks like cleaning fluid. Not the same item. took me a while to write a review, but decided to help others not waste there money with this retailer.",0,No strong positive or negative words found; marked as neutral.
"Dr. Bronner's & All-One Organic Lotion for Hands & Body, Patchouli Lime, 8-Ounce Pump Bottles (Pack of 2)",30.97,,"Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
",3.8 out of 5 stars,53 ratings,https://www.amazon.com/Dr-Bronners-All-One-Organic-Patchouli/dp/B001ET727U/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ehJzilY-h-EMJCiE318dfg7VZydYIWWmW4wI2icvBuD0mmrQnRoVT12mbm6hJZVnd6Hyx06oZb191PYlmcGojYG8fr-0R2YwUWS_dbJhA7xPLvG7__2Xl_qtFMtnHcKC43ldsFn-J7afqqZIn68g-A.Q9MTkOqDQR9PK-AQ9he66oKbWQcGDpaKeRFu8KhGcGg&dib_tag=se&qid=1727753353&rnid=2941120011&s=baby-products&sr=1-7&srs=23176677011,B001ET727U,https://www.amazon.com/product-reviews/B001ET727U/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,one_star,dg,"Reviewed in the United States on August 8, 2017","I like many of Dr. Bronner's products, however, this one is far too greasy or oily and I don't care for the fragrance. I think the addition of the lime in the fragrance put me off.",0,No strong positive or negative words found; marked as neutral.
"Dr. Bronner's & All-One Organic Lotion for Hands & Body, Patchouli Lime, 8-Ounce Pump Bottles (Pack of 2)",30.97,,"Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
",3.8 out of 5 stars,53 ratings,https://www.amazon.com/Dr-Bronners-All-One-Organic-Patchouli/dp/B001ET727U/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ehJzilY-h-EMJCiE318dfg7VZydYIWWmW4wI2icvBuD0mmrQnRoVT12mbm6hJZVnd6Hyx06oZb191PYlmcGojYG8fr-0R2YwUWS_dbJhA7xPLvG7__2Xl_qtFMtnHcKC43ldsFn-J7afqqZIn68g-A.Q9MTkOqDQR9PK-AQ9he66oKbWQcGDpaKeRFu8KhGcGg&dib_tag=se&qid=1727753353&rnid=2941120011&s=baby-products&sr=1-7&srs=23176677011,B001ET727U,https://www.amazon.com/product-reviews/B001ET727U/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,one_star,Sal,"Reviewed in the United States on June 17, 2016","Gag, the smell is awful and they are very greasy.  I was hoping for better from Bronner's.  Go with Plant Therapy if you're looking for a good natural lotiion.",1,Identified positive words suggesting satisfaction or recommendation.
"Dr. Bronner's & All-One Organic Lotion for Hands & Body, Patchouli Lime, 8-Ounce Pump Bottles (Pack of 2)",30.97,,"Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
",3.8 out of 5 stars,53 ratings,https://www.amazon.com/Dr-Bronners-All-One-Organic-Patchouli/dp/B001ET727U/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ehJzilY-h-EMJCiE318dfg7VZydYIWWmW4wI2icvBuD0mmrQnRoVT12mbm6hJZVnd6Hyx06oZb191PYlmcGojYG8fr-0R2YwUWS_dbJhA7xPLvG7__2Xl_qtFMtnHcKC43ldsFn-J7afqqZIn68g-A.Q9MTkOqDQR9PK-AQ9he66oKbWQcGDpaKeRFu8KhGcGg&dib_tag=se&qid=1727753353&rnid=2941120011&s=baby-products&sr=1-7&srs=23176677011,B001ET727U,https://www.amazon.com/product-reviews/B001ET727U/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,one_star,mollywog,"Reviewed in the United States on January 16, 2014","I noticed that this lotion smelled overwhelmingly like ethyl alcohol, but tried it anyway. It really sucked all the moisture out of my hands and they were very dry within a few minutes. I went back to my old lotion to re-moisturize! Then I looked at the ingredients and the third thing listed was ethanol! Well there you go. I do not recommend.",-1,Identified negative words suggesting dissatisfaction or complaint.
"Dr. Bronner's & All-One Organic Lotion for Hands & Body, Patchouli Lime, 8-Ounce Pump Bottles (Pack of 2)",30.97,,"Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
",3.8 out of 5 stars,53 ratings,https://www.amazon.com/Dr-Bronners-All-One-Organic-Patchouli/dp/B001ET727U/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ehJzilY-h-EMJCiE318dfg7VZydYIWWmW4wI2icvBuD0mmrQnRoVT12mbm6hJZVnd6Hyx06oZb191PYlmcGojYG8fr-0R2YwUWS_dbJhA7xPLvG7__2Xl_qtFMtnHcKC43ldsFn-J7afqqZIn68g-A.Q9MTkOqDQR9PK-AQ9he66oKbWQcGDpaKeRFu8KhGcGg&dib_tag=se&qid=1727753353&rnid=2941120011&s=baby-products&sr=1-7&srs=23176677011,B001ET727U,https://www.amazon.com/product-reviews/B001ET727U/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,one_star,Kate,"Reviewed in the United States on January 3, 2010","I was seeking a nice, non-oily lotion to soothe my dry hands in this cold winter weather.  I actually had the chance to try before buying (at my local co-op).  The bad part is, I was fooled into thinking this product worked.  It appears to moisturize for about 5 minutes, but I've now come to realize that after those few, spare minutes, I must reapply.  It leaves a sheen of oil on the skin, which makes me think that the ingredients aren't being absorbed.  My skin still feels very dry.  The fragrance is simply OVERPOWERING.  I love patchouli, and I even bought the lavender scented lotion, and they are both extremely loud - some of the most highly scented perfumes I have ever used.  The first time I applied it at home, my boyfriend asked if I had sprayed perfume.  I am so very disappointed in this product.  Never again will I purchase anything from Dr. Bronner's.  I think there is so much fragrance in this, it is actually stinging my skin.",-1,Identified negative words suggesting dissatisfaction or complaint.
"Dr. Bronner's & All-One Organic Lotion for Hands & Body, Patchouli Lime, 8-Ounce Pump Bottles (Pack of 2)",30.97,,"Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
",3.8 out of 5 stars,53 ratings,https://www.amazon.com/Dr-Bronners-All-One-Organic-Patchouli/dp/B001ET727U/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ehJzilY-h-EMJCiE318dfg7VZydYIWWmW4wI2icvBuD0mmrQnRoVT12mbm6hJZVnd6Hyx06oZb191PYlmcGojYG8fr-0R2YwUWS_dbJhA7xPLvG7__2Xl_qtFMtnHcKC43ldsFn-J7afqqZIn68g-A.Q9MTkOqDQR9PK-AQ9he66oKbWQcGDpaKeRFu8KhGcGg&dib_tag=se&qid=1727753353&rnid=2941120011&s=baby-products&sr=1-7&srs=23176677011,B001ET727U,https://www.amazon.com/product-reviews/B001ET727U/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,two_star,RaVo,"Reviewed in the United States on July 24, 2014","This lotion is more greasy than I like and has a very strong, pungent scent.",0,No strong positive or negative words found; marked as neutral.
"Dr. Bronner's & All-One Organic Lotion for Hands & Body, Patchouli Lime, 8-Ounce Pump Bottles (Pack of 2)",30.97,,"Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
",3.8 out of 5 stars,53 ratings,https://www.amazon.com/Dr-Bronners-All-One-Organic-Patchouli/dp/B001ET727U/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ehJzilY-h-EMJCiE318dfg7VZydYIWWmW4wI2icvBuD0mmrQnRoVT12mbm6hJZVnd6Hyx06oZb191PYlmcGojYG8fr-0R2YwUWS_dbJhA7xPLvG7__2Xl_qtFMtnHcKC43ldsFn-J7afqqZIn68g-A.Q9MTkOqDQR9PK-AQ9he66oKbWQcGDpaKeRFu8KhGcGg&dib_tag=se&qid=1727753353&rnid=2941120011&s=baby-products&sr=1-7&srs=23176677011,B001ET727U,https://www.amazon.com/product-reviews/B001ET727U/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,two_star,Bruskie,"Reviewed in the United States on January 14, 2016","Good product but quite pricy, of course we pay for the convenience of home delivery.  .  Next time I will shop around.",1,Identified positive words suggesting satisfaction or recommendation.
"Dr. Bronner's & All-One Organic Lotion for Hands & Body, Patchouli Lime, 8-Ounce Pump Bottles (Pack of 2)",30.97,,"Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
",3.8 out of 5 stars,53 ratings,https://www.amazon.com/Dr-Bronners-All-One-Organic-Patchouli/dp/B001ET727U/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ehJzilY-h-EMJCiE318dfg7VZydYIWWmW4wI2icvBuD0mmrQnRoVT12mbm6hJZVnd6Hyx06oZb191PYlmcGojYG8fr-0R2YwUWS_dbJhA7xPLvG7__2Xl_qtFMtnHcKC43ldsFn-J7afqqZIn68g-A.Q9MTkOqDQR9PK-AQ9he66oKbWQcGDpaKeRFu8KhGcGg&dib_tag=se&qid=1727753353&rnid=2941120011&s=baby-products&sr=1-7&srs=23176677011,B001ET727U,https://www.amazon.com/product-reviews/B001ET727U/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,two_star,J. Cartledge,"Reviewed in the United States on December 5, 2012",I love how this treats my skin but the smell is so extremely strong. I can't wear this to work.,0,No strong positive or negative words found; marked as neutral.
"Dr. Bronner's & All-One Organic Lotion for Hands & Body, Patchouli Lime, 8-Ounce Pump Bottles (Pack of 2)",30.97,,"Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
",3.8 out of 5 stars,53 ratings,https://www.amazon.com/Dr-Bronners-All-One-Organic-Patchouli/dp/B001ET727U/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ehJzilY-h-EMJCiE318dfg7VZydYIWWmW4wI2icvBuD0mmrQnRoVT12mbm6hJZVnd6Hyx06oZb191PYlmcGojYG8fr-0R2YwUWS_dbJhA7xPLvG7__2Xl_qtFMtnHcKC43ldsFn-J7afqqZIn68g-A.Q9MTkOqDQR9PK-AQ9he66oKbWQcGDpaKeRFu8KhGcGg&dib_tag=se&qid=1727753353&rnid=2941120011&s=baby-products&sr=1-7&srs=23176677011,B001ET727U,https://www.amazon.com/product-reviews/B001ET727U/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,two_star,Cody Pequin,"Reviewed in the United States on May 20, 2015","After reading great reviews about the product I decided to try a bottle. Upon arrival I was overwhelmed with the extremely strong scent this product had (overpowering almost). It comes out very runny to the point you may need to wipe some off, but dries very fast, leaving your hands feeling like they did before you applied it. My biggest grievance would be the oily residue it leaves, both my hands and everywhere they've touched has a shine to it now.If you're looking for a moisturizer, there are many products which far exceed this one. Even as I write this I am becoming overwhelmed with scent. Will not buy again!",1,Identified positive words suggesting satisfaction or recommendation.
"Dr. Bronner's & All-One Organic Lotion for Hands & Body, Patchouli Lime, 8-Ounce Pump Bottles (Pack of 2)",30.97,,"Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
",3.8 out of 5 stars,53 ratings,https://www.amazon.com/Dr-Bronners-All-One-Organic-Patchouli/dp/B001ET727U/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ehJzilY-h-EMJCiE318dfg7VZydYIWWmW4wI2icvBuD0mmrQnRoVT12mbm6hJZVnd6Hyx06oZb191PYlmcGojYG8fr-0R2YwUWS_dbJhA7xPLvG7__2Xl_qtFMtnHcKC43ldsFn-J7afqqZIn68g-A.Q9MTkOqDQR9PK-AQ9he66oKbWQcGDpaKeRFu8KhGcGg&dib_tag=se&qid=1727753353&rnid=2941120011&s=baby-products&sr=1-7&srs=23176677011,B001ET727U,https://www.amazon.com/product-reviews/B001ET727U/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,three_star,inforshoe,"Reviewed in the United States on January 4, 2015","I was hoping this would have a nice strong scent to mask the cooking oil-like smell of my aloe vera oil, and it definitely does. They actually mix well together for what I think is the perfect moisturizer, and the heavy patchouli scent is much more understated and wearable when diluted, in my opinion. The lotion has a great, smooth consistency on its own, and it smells wonderful, it's just statement-making strong.",1,Identified positive words suggesting satisfaction or recommendation.
"Dr. Bronner's & All-One Organic Lotion for Hands & Body, Patchouli Lime, 8-Ounce Pump Bottles (Pack of 2)",30.97,,"Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
",3.8 out of 5 stars,53 ratings,https://www.amazon.com/Dr-Bronners-All-One-Organic-Patchouli/dp/B001ET727U/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ehJzilY-h-EMJCiE318dfg7VZydYIWWmW4wI2icvBuD0mmrQnRoVT12mbm6hJZVnd6Hyx06oZb191PYlmcGojYG8fr-0R2YwUWS_dbJhA7xPLvG7__2Xl_qtFMtnHcKC43ldsFn-J7afqqZIn68g-A.Q9MTkOqDQR9PK-AQ9he66oKbWQcGDpaKeRFu8KhGcGg&dib_tag=se&qid=1727753353&rnid=2941120011&s=baby-products&sr=1-7&srs=23176677011,B001ET727U,https://www.amazon.com/product-reviews/B001ET727U/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,three_star,Roger S Makepeace Jr.,"Reviewed in the United States on January 17, 2022",This product is very fragrant a little expensive,0,No strong positive or negative words found; marked as neutral.
