name,price,description,sustainability_features,rating_x,number_of_reviews,product_page_url,product_id,url,rating_y,author,date,content,sentiment
"Ergotron – DS100 Quad Monitor Stand for Desk, Four Monitor VESA Mount – for 4 Monitors Up to 24 Inches, 0 to 31 lbs Each",479.00,"Broad compatibility: Fits four screens up to 24 inches diagonal and 31 pounds each; compatible with VESA patterns 75x75mm and 100x100mm
Compact design: Includes 28-inch pole, base, two paraview poles, four sliding monitor brackets and cable management hardware; install displays with 4-degree inward, outward, upward or downward off-set to optimize viewing
Ergonomic comfort: Supports four monitors positioned in a quad formation; customize how you tackle each project with 360 degrees of rotation to view monitors in portrait or landscape mode
Instant upgrade: Keep monitors steady from one low-profile, stable base that frees up more workspace; creates a neat work area with cable management; modular design is easy to customize with accessories
Durable by design: Extensive quality testing ensures your monitors stay stable and secure; Ergotron products set the standard for quality with a 5-year warranty and expert technical support","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.2 out of 5 stars,45 ratings,https://www.amazon.com/Ergotron-33-324-200-DS100-Quad-Monitor-Stand/dp/B000SUM0LO/ref=sr_1_10?dib=eyJ2IjoiMSJ9.NWFyqGEVkTee2TwuHJroqpnPqab17m4my8yw49uJL198-ApepTjbJb23kcyMAgfI74m4XeLp7wf5XQZk0PvpZ-YTBx-zCO0u_aQOj6Y81IDumgjiFKRlcu3-GinBBPoGPYxC6lF98vBVTEu4N7p7EzYvynQNOi7ZokmXnC778vt-6xJnEfS456wKL0aC-VFryaDWq1UNtiNbwhYZ5ug6QoHsyXDDGicerbJPSJxyhpFg2dmt4DyHV-d3K0Ro7fTuw-RgXNw9Fi9RwFnGaY3ypga50Xwh9yUt4-uc3vG80tU.m710_-ErbkbVsKB4aTjSFdadyKn8Gzrf113uCngdHCw&dib_tag=se&qid=1727752345&rnid=2941120011&s=electronics&sr=1-10&srs=24000582011&th=1,B000SUM0LO,https://www.amazon.com/product-reviews/B000SUM0LO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,one_star,Susan,"Reviewed in the United States on January 5, 2008",I love the old product with the adjustable pivots. We have 6 of them in our office.The new fixed pivots 4 degree are horrible. It doesnt allow enough adjustability. For the bottom row it is not angled enough upwards.  For the top row it is not angled enough down.It appears that they tried to save money and increase margins on the product.  In the process they have ruined the functionality.  I will not buy them again,-2
"Ergotron – DS100 Quad Monitor Stand for Desk, Four Monitor VESA Mount – for 4 Monitors Up to 24 Inches, 0 to 31 lbs Each",479.00,"Broad compatibility: Fits four screens up to 24 inches diagonal and 31 pounds each; compatible with VESA patterns 75x75mm and 100x100mm
Compact design: Includes 28-inch pole, base, two paraview poles, four sliding monitor brackets and cable management hardware; install displays with 4-degree inward, outward, upward or downward off-set to optimize viewing
Ergonomic comfort: Supports four monitors positioned in a quad formation; customize how you tackle each project with 360 degrees of rotation to view monitors in portrait or landscape mode
Instant upgrade: Keep monitors steady from one low-profile, stable base that frees up more workspace; creates a neat work area with cable management; modular design is easy to customize with accessories
Durable by design: Extensive quality testing ensures your monitors stay stable and secure; Ergotron products set the standard for quality with a 5-year warranty and expert technical support","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.2 out of 5 stars,45 ratings,https://www.amazon.com/Ergotron-33-324-200-DS100-Quad-Monitor-Stand/dp/B000SUM0LO/ref=sr_1_10?dib=eyJ2IjoiMSJ9.NWFyqGEVkTee2TwuHJroqpnPqab17m4my8yw49uJL198-ApepTjbJb23kcyMAgfI74m4XeLp7wf5XQZk0PvpZ-YTBx-zCO0u_aQOj6Y81IDumgjiFKRlcu3-GinBBPoGPYxC6lF98vBVTEu4N7p7EzYvynQNOi7ZokmXnC778vt-6xJnEfS456wKL0aC-VFryaDWq1UNtiNbwhYZ5ug6QoHsyXDDGicerbJPSJxyhpFg2dmt4DyHV-d3K0Ro7fTuw-RgXNw9Fi9RwFnGaY3ypga50Xwh9yUt4-uc3vG80tU.m710_-ErbkbVsKB4aTjSFdadyKn8Gzrf113uCngdHCw&dib_tag=se&qid=1727752345&rnid=2941120011&s=electronics&sr=1-10&srs=24000582011&th=1,B000SUM0LO,https://www.amazon.com/product-reviews/B000SUM0LO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,one_star,Natural Gas Trader,"Reviewed in the United States on December 29, 2007","I bought one of these a year ago and it came with ADJUSTABLE monitor mounts (tilt up/tilt down) and that stand is fantastic. This version you get now has FIXED angles for the monitors, which is fine if you have another head (or set of eyes) mounted on your chest! The pre-set angles are absolutely horrible. I called the manufacturer to inquire about this and they confirmed dropping the adjustable monitor mounts for this stand. They dont even sell/make the adjustable mounts anymore! The manufacturer did put me onto a couple places that might still have them in stock, which one did, and for another $170.00 for 4 of the adjustable mounts got this stand working like it should. My rating is simple: as is out of the box 1 star, with the adjustable mounts 5 stars.",-1
"Ergotron – DS100 Quad Monitor Stand for Desk, Four Monitor VESA Mount – for 4 Monitors Up to 24 Inches, 0 to 31 lbs Each",479.00,"Broad compatibility: Fits four screens up to 24 inches diagonal and 31 pounds each; compatible with VESA patterns 75x75mm and 100x100mm
Compact design: Includes 28-inch pole, base, two paraview poles, four sliding monitor brackets and cable management hardware; install displays with 4-degree inward, outward, upward or downward off-set to optimize viewing
Ergonomic comfort: Supports four monitors positioned in a quad formation; customize how you tackle each project with 360 degrees of rotation to view monitors in portrait or landscape mode
Instant upgrade: Keep monitors steady from one low-profile, stable base that frees up more workspace; creates a neat work area with cable management; modular design is easy to customize with accessories
Durable by design: Extensive quality testing ensures your monitors stay stable and secure; Ergotron products set the standard for quality with a 5-year warranty and expert technical support","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.2 out of 5 stars,45 ratings,https://www.amazon.com/Ergotron-33-324-200-DS100-Quad-Monitor-Stand/dp/B000SUM0LO/ref=sr_1_10?dib=eyJ2IjoiMSJ9.NWFyqGEVkTee2TwuHJroqpnPqab17m4my8yw49uJL198-ApepTjbJb23kcyMAgfI74m4XeLp7wf5XQZk0PvpZ-YTBx-zCO0u_aQOj6Y81IDumgjiFKRlcu3-GinBBPoGPYxC6lF98vBVTEu4N7p7EzYvynQNOi7ZokmXnC778vt-6xJnEfS456wKL0aC-VFryaDWq1UNtiNbwhYZ5ug6QoHsyXDDGicerbJPSJxyhpFg2dmt4DyHV-d3K0Ro7fTuw-RgXNw9Fi9RwFnGaY3ypga50Xwh9yUt4-uc3vG80tU.m710_-ErbkbVsKB4aTjSFdadyKn8Gzrf113uCngdHCw&dib_tag=se&qid=1727752345&rnid=2941120011&s=electronics&sr=1-10&srs=24000582011&th=1,B000SUM0LO,https://www.amazon.com/product-reviews/B000SUM0LO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,one_star,fernando,"Reviewed in Spain on June 9, 2015",Me lo han cobrado y no lo han entregado. He presentado reclamación y de momento no me dicen nada. MAL,-2
"Ergotron – DS100 Quad Monitor Stand for Desk, Four Monitor VESA Mount – for 4 Monitors Up to 24 Inches, 0 to 31 lbs Each",479.00,"Broad compatibility: Fits four screens up to 24 inches diagonal and 31 pounds each; compatible with VESA patterns 75x75mm and 100x100mm
Compact design: Includes 28-inch pole, base, two paraview poles, four sliding monitor brackets and cable management hardware; install displays with 4-degree inward, outward, upward or downward off-set to optimize viewing
Ergonomic comfort: Supports four monitors positioned in a quad formation; customize how you tackle each project with 360 degrees of rotation to view monitors in portrait or landscape mode
Instant upgrade: Keep monitors steady from one low-profile, stable base that frees up more workspace; creates a neat work area with cable management; modular design is easy to customize with accessories
Durable by design: Extensive quality testing ensures your monitors stay stable and secure; Ergotron products set the standard for quality with a 5-year warranty and expert technical support","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.2 out of 5 stars,45 ratings,https://www.amazon.com/Ergotron-33-324-200-DS100-Quad-Monitor-Stand/dp/B000SUM0LO/ref=sr_1_10?dib=eyJ2IjoiMSJ9.NWFyqGEVkTee2TwuHJroqpnPqab17m4my8yw49uJL198-ApepTjbJb23kcyMAgfI74m4XeLp7wf5XQZk0PvpZ-YTBx-zCO0u_aQOj6Y81IDumgjiFKRlcu3-GinBBPoGPYxC6lF98vBVTEu4N7p7EzYvynQNOi7ZokmXnC778vt-6xJnEfS456wKL0aC-VFryaDWq1UNtiNbwhYZ5ug6QoHsyXDDGicerbJPSJxyhpFg2dmt4DyHV-d3K0Ro7fTuw-RgXNw9Fi9RwFnGaY3ypga50Xwh9yUt4-uc3vG80tU.m710_-ErbkbVsKB4aTjSFdadyKn8Gzrf113uCngdHCw&dib_tag=se&qid=1727752345&rnid=2941120011&s=electronics&sr=1-10&srs=24000582011&th=1,B000SUM0LO,https://www.amazon.com/product-reviews/B000SUM0LO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,two_star,JDL,"Reviewed in the United States on February 26, 2015",The height on one of the arms was manufactured with one side higher than the other. Clearly not good QC.,-1
"Ergotron – DS100 Quad Monitor Stand for Desk, Four Monitor VESA Mount – for 4 Monitors Up to 24 Inches, 0 to 31 lbs Each",479.00,"Broad compatibility: Fits four screens up to 24 inches diagonal and 31 pounds each; compatible with VESA patterns 75x75mm and 100x100mm
Compact design: Includes 28-inch pole, base, two paraview poles, four sliding monitor brackets and cable management hardware; install displays with 4-degree inward, outward, upward or downward off-set to optimize viewing
Ergonomic comfort: Supports four monitors positioned in a quad formation; customize how you tackle each project with 360 degrees of rotation to view monitors in portrait or landscape mode
Instant upgrade: Keep monitors steady from one low-profile, stable base that frees up more workspace; creates a neat work area with cable management; modular design is easy to customize with accessories
Durable by design: Extensive quality testing ensures your monitors stay stable and secure; Ergotron products set the standard for quality with a 5-year warranty and expert technical support","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.2 out of 5 stars,45 ratings,https://www.amazon.com/Ergotron-33-324-200-DS100-Quad-Monitor-Stand/dp/B000SUM0LO/ref=sr_1_10?dib=eyJ2IjoiMSJ9.NWFyqGEVkTee2TwuHJroqpnPqab17m4my8yw49uJL198-ApepTjbJb23kcyMAgfI74m4XeLp7wf5XQZk0PvpZ-YTBx-zCO0u_aQOj6Y81IDumgjiFKRlcu3-GinBBPoGPYxC6lF98vBVTEu4N7p7EzYvynQNOi7ZokmXnC778vt-6xJnEfS456wKL0aC-VFryaDWq1UNtiNbwhYZ5ug6QoHsyXDDGicerbJPSJxyhpFg2dmt4DyHV-d3K0Ro7fTuw-RgXNw9Fi9RwFnGaY3ypga50Xwh9yUt4-uc3vG80tU.m710_-ErbkbVsKB4aTjSFdadyKn8Gzrf113uCngdHCw&dib_tag=se&qid=1727752345&rnid=2941120011&s=electronics&sr=1-10&srs=24000582011&th=1,B000SUM0LO,https://www.amazon.com/product-reviews/B000SUM0LO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,three_star,Pseudo Nym,"Reviewed in Germany on January 20, 2012","Gut:* Sehr stabil, nichts kippelt* Displays sind in großem Bereich nach oben/unten und links/rechts schwenkbar sowie auch drehbar (vertikal).  Widerstand dabei ist einstellbar (aber im voreingestellten Zustand bereits optimal.)* Einfache Montage mit mitgelieferten Inbus-Schlüsseln* Für VESA-Monitorbefestigung sowohl im 10x10cm als auch 7x7cm-FormatNicht so gut:* Halterungen am Standarm sind auch im lose geschraubten Zustand sehr eng und deshalb bei der Erstmontage nur schwer auf den Arm zu schieben.  Ich habe trotz sorgfältigem Aufschieben den schwarzen Lack am oberen Ende komplett zer- und teilweise abgekratzt* Durch die Halterungen gibt es einen Abstand von rund 16cm zwischen Rückseite des Displays und Standarm.  Zum einen schade um den Platz auf dem Schreibtisch, zum anderen braucht der Schreibtisch dann schon eine gewisse Tiefe damit man bei großen Monitoren noch einen komfortablen Abstand von den Monitoren halten kann.* Der Abstand ist auch nicht verstellbar. Wenn das obere Display gerade eingestellt ist (weil auf Augenhöhe) und das untere dementsprechend etwas nach oben gekippt, dann gibt es zwangsweise einen Versatz zwischen Unterkante des oberen und Oberkante des unteren Displays.* Die montierten Monitore sind nur sehr schlecht nach oben und unten verschiebbar. Am besten noch mit zwei Personen.  Ein Hand wird zum los- und festschrauben benötigt ... und dann bitte mit der anderen Hand einen 24-Zoll-Schirm ohne das kleinste Verkanten auf die richtige Position schieben.  Ginge das nicht irgendwie besser (vor allem bei dem Preis) zum Beispiel mit einer Kurbel?* Zur Kabelführung liegen ein paar schwarze Kabelbinder dabei. Naja. Klettbänder oder eine andere Lösung wären praktischer (weil wieder lösbar).",0
"Ergotron – DS100 Quad Monitor Stand for Desk, Four Monitor VESA Mount – for 4 Monitors Up to 24 Inches, 0 to 31 lbs Each",479.00,"Broad compatibility: Fits four screens up to 24 inches diagonal and 31 pounds each; compatible with VESA patterns 75x75mm and 100x100mm
Compact design: Includes 28-inch pole, base, two paraview poles, four sliding monitor brackets and cable management hardware; install displays with 4-degree inward, outward, upward or downward off-set to optimize viewing
Ergonomic comfort: Supports four monitors positioned in a quad formation; customize how you tackle each project with 360 degrees of rotation to view monitors in portrait or landscape mode
Instant upgrade: Keep monitors steady from one low-profile, stable base that frees up more workspace; creates a neat work area with cable management; modular design is easy to customize with accessories
Durable by design: Extensive quality testing ensures your monitors stay stable and secure; Ergotron products set the standard for quality with a 5-year warranty and expert technical support","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.2 out of 5 stars,45 ratings,https://www.amazon.com/Ergotron-33-324-200-DS100-Quad-Monitor-Stand/dp/B000SUM0LO/ref=sr_1_10?dib=eyJ2IjoiMSJ9.NWFyqGEVkTee2TwuHJroqpnPqab17m4my8yw49uJL198-ApepTjbJb23kcyMAgfI74m4XeLp7wf5XQZk0PvpZ-YTBx-zCO0u_aQOj6Y81IDumgjiFKRlcu3-GinBBPoGPYxC6lF98vBVTEu4N7p7EzYvynQNOi7ZokmXnC778vt-6xJnEfS456wKL0aC-VFryaDWq1UNtiNbwhYZ5ug6QoHsyXDDGicerbJPSJxyhpFg2dmt4DyHV-d3K0Ro7fTuw-RgXNw9Fi9RwFnGaY3ypga50Xwh9yUt4-uc3vG80tU.m710_-ErbkbVsKB4aTjSFdadyKn8Gzrf113uCngdHCw&dib_tag=se&qid=1727752345&rnid=2941120011&s=electronics&sr=1-10&srs=24000582011&th=1,B000SUM0LO,https://www.amazon.com/product-reviews/B000SUM0LO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,four_star,Thomas H.,"Reviewed in the United States on April 14, 2018","Sturdy, fairly heavy, and very stable.About the only shortcoming, and it's not a deal breaker, is the monitor tilt adjustment:  it needs 3 hands and is not especially convenient.The bolt & nut that locks the tilt mechanism, needs 2 wrenches (ie, 2 hands) to loosen or tighten.  You need a 2nd person, or contort your arm or shoulder, to hold the monitor tilt at desired setting.When loosening the tilt bolt, you  *must*  support the monitor or it can crash down without warning -- it's either full tight or full loose -- it doesn't have an intermediate ""high friction"" point.This could all have been avoided if the nut for tilt adjust was held captive in a fixed position, then you'd only need 1 wrench (1 hand) for tighetning the bolt",0
"Ergotron – DS100 Quad Monitor Stand for Desk, Four Monitor VESA Mount – for 4 Monitors Up to 24 Inches, 0 to 31 lbs Each",479.00,"Broad compatibility: Fits four screens up to 24 inches diagonal and 31 pounds each; compatible with VESA patterns 75x75mm and 100x100mm
Compact design: Includes 28-inch pole, base, two paraview poles, four sliding monitor brackets and cable management hardware; install displays with 4-degree inward, outward, upward or downward off-set to optimize viewing
Ergonomic comfort: Supports four monitors positioned in a quad formation; customize how you tackle each project with 360 degrees of rotation to view monitors in portrait or landscape mode
Instant upgrade: Keep monitors steady from one low-profile, stable base that frees up more workspace; creates a neat work area with cable management; modular design is easy to customize with accessories
Durable by design: Extensive quality testing ensures your monitors stay stable and secure; Ergotron products set the standard for quality with a 5-year warranty and expert technical support","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.2 out of 5 stars,45 ratings,https://www.amazon.com/Ergotron-33-324-200-DS100-Quad-Monitor-Stand/dp/B000SUM0LO/ref=sr_1_10?dib=eyJ2IjoiMSJ9.NWFyqGEVkTee2TwuHJroqpnPqab17m4my8yw49uJL198-ApepTjbJb23kcyMAgfI74m4XeLp7wf5XQZk0PvpZ-YTBx-zCO0u_aQOj6Y81IDumgjiFKRlcu3-GinBBPoGPYxC6lF98vBVTEu4N7p7EzYvynQNOi7ZokmXnC778vt-6xJnEfS456wKL0aC-VFryaDWq1UNtiNbwhYZ5ug6QoHsyXDDGicerbJPSJxyhpFg2dmt4DyHV-d3K0Ro7fTuw-RgXNw9Fi9RwFnGaY3ypga50Xwh9yUt4-uc3vG80tU.m710_-ErbkbVsKB4aTjSFdadyKn8Gzrf113uCngdHCw&dib_tag=se&qid=1727752345&rnid=2941120011&s=electronics&sr=1-10&srs=24000582011&th=1,B000SUM0LO,https://www.amazon.com/product-reviews/B000SUM0LO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,four_star,Nate Lowrie,"Reviewed in the United States on December 3, 2011","Great monitor stand.  I am using 4x 22"" Acer monitors on it. Is sturdy and low profile. The reason why I gave it 1 star off is it's a pain in the butt to adjust monitors and get the rotation right.",1
"Ergotron – DS100 Quad Monitor Stand for Desk, Four Monitor VESA Mount – for 4 Monitors Up to 24 Inches, 0 to 31 lbs Each",479.00,"Broad compatibility: Fits four screens up to 24 inches diagonal and 31 pounds each; compatible with VESA patterns 75x75mm and 100x100mm
Compact design: Includes 28-inch pole, base, two paraview poles, four sliding monitor brackets and cable management hardware; install displays with 4-degree inward, outward, upward or downward off-set to optimize viewing
Ergonomic comfort: Supports four monitors positioned in a quad formation; customize how you tackle each project with 360 degrees of rotation to view monitors in portrait or landscape mode
Instant upgrade: Keep monitors steady from one low-profile, stable base that frees up more workspace; creates a neat work area with cable management; modular design is easy to customize with accessories
Durable by design: Extensive quality testing ensures your monitors stay stable and secure; Ergotron products set the standard for quality with a 5-year warranty and expert technical support","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.2 out of 5 stars,45 ratings,https://www.amazon.com/Ergotron-33-324-200-DS100-Quad-Monitor-Stand/dp/B000SUM0LO/ref=sr_1_10?dib=eyJ2IjoiMSJ9.NWFyqGEVkTee2TwuHJroqpnPqab17m4my8yw49uJL198-ApepTjbJb23kcyMAgfI74m4XeLp7wf5XQZk0PvpZ-YTBx-zCO0u_aQOj6Y81IDumgjiFKRlcu3-GinBBPoGPYxC6lF98vBVTEu4N7p7EzYvynQNOi7ZokmXnC778vt-6xJnEfS456wKL0aC-VFryaDWq1UNtiNbwhYZ5ug6QoHsyXDDGicerbJPSJxyhpFg2dmt4DyHV-d3K0Ro7fTuw-RgXNw9Fi9RwFnGaY3ypga50Xwh9yUt4-uc3vG80tU.m710_-ErbkbVsKB4aTjSFdadyKn8Gzrf113uCngdHCw&dib_tag=se&qid=1727752345&rnid=2941120011&s=electronics&sr=1-10&srs=24000582011&th=1,B000SUM0LO,https://www.amazon.com/product-reviews/B000SUM0LO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,four_star,RadiantBuyer,"Reviewed in the United States on January 3, 2017",Great product. Really heavy duty. Would be nice to reduce gap between first and second row.,1
"Ergotron – DS100 Quad Monitor Stand for Desk, Four Monitor VESA Mount – for 4 Monitors Up to 24 Inches, 0 to 31 lbs Each",479.00,"Broad compatibility: Fits four screens up to 24 inches diagonal and 31 pounds each; compatible with VESA patterns 75x75mm and 100x100mm
Compact design: Includes 28-inch pole, base, two paraview poles, four sliding monitor brackets and cable management hardware; install displays with 4-degree inward, outward, upward or downward off-set to optimize viewing
Ergonomic comfort: Supports four monitors positioned in a quad formation; customize how you tackle each project with 360 degrees of rotation to view monitors in portrait or landscape mode
Instant upgrade: Keep monitors steady from one low-profile, stable base that frees up more workspace; creates a neat work area with cable management; modular design is easy to customize with accessories
Durable by design: Extensive quality testing ensures your monitors stay stable and secure; Ergotron products set the standard for quality with a 5-year warranty and expert technical support","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.2 out of 5 stars,45 ratings,https://www.amazon.com/Ergotron-33-324-200-DS100-Quad-Monitor-Stand/dp/B000SUM0LO/ref=sr_1_10?dib=eyJ2IjoiMSJ9.NWFyqGEVkTee2TwuHJroqpnPqab17m4my8yw49uJL198-ApepTjbJb23kcyMAgfI74m4XeLp7wf5XQZk0PvpZ-YTBx-zCO0u_aQOj6Y81IDumgjiFKRlcu3-GinBBPoGPYxC6lF98vBVTEu4N7p7EzYvynQNOi7ZokmXnC778vt-6xJnEfS456wKL0aC-VFryaDWq1UNtiNbwhYZ5ug6QoHsyXDDGicerbJPSJxyhpFg2dmt4DyHV-d3K0Ro7fTuw-RgXNw9Fi9RwFnGaY3ypga50Xwh9yUt4-uc3vG80tU.m710_-ErbkbVsKB4aTjSFdadyKn8Gzrf113uCngdHCw&dib_tag=se&qid=1727752345&rnid=2941120011&s=electronics&sr=1-10&srs=24000582011&th=1,B000SUM0LO,https://www.amazon.com/product-reviews/B000SUM0LO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,four_star,Doug B,"Reviewed in the United States on May 25, 2013",Not inexpensive but worth itHad a bolt break and support was VERY easy to work with an promptly sent replacement,1
"Ergotron – DS100 Quad Monitor Stand for Desk, Four Monitor VESA Mount – for 4 Monitors Up to 24 Inches, 0 to 31 lbs Each",479.00,"Broad compatibility: Fits four screens up to 24 inches diagonal and 31 pounds each; compatible with VESA patterns 75x75mm and 100x100mm
Compact design: Includes 28-inch pole, base, two paraview poles, four sliding monitor brackets and cable management hardware; install displays with 4-degree inward, outward, upward or downward off-set to optimize viewing
Ergonomic comfort: Supports four monitors positioned in a quad formation; customize how you tackle each project with 360 degrees of rotation to view monitors in portrait or landscape mode
Instant upgrade: Keep monitors steady from one low-profile, stable base that frees up more workspace; creates a neat work area with cable management; modular design is easy to customize with accessories
Durable by design: Extensive quality testing ensures your monitors stay stable and secure; Ergotron products set the standard for quality with a 5-year warranty and expert technical support","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.2 out of 5 stars,45 ratings,https://www.amazon.com/Ergotron-33-324-200-DS100-Quad-Monitor-Stand/dp/B000SUM0LO/ref=sr_1_10?dib=eyJ2IjoiMSJ9.NWFyqGEVkTee2TwuHJroqpnPqab17m4my8yw49uJL198-ApepTjbJb23kcyMAgfI74m4XeLp7wf5XQZk0PvpZ-YTBx-zCO0u_aQOj6Y81IDumgjiFKRlcu3-GinBBPoGPYxC6lF98vBVTEu4N7p7EzYvynQNOi7ZokmXnC778vt-6xJnEfS456wKL0aC-VFryaDWq1UNtiNbwhYZ5ug6QoHsyXDDGicerbJPSJxyhpFg2dmt4DyHV-d3K0Ro7fTuw-RgXNw9Fi9RwFnGaY3ypga50Xwh9yUt4-uc3vG80tU.m710_-ErbkbVsKB4aTjSFdadyKn8Gzrf113uCngdHCw&dib_tag=se&qid=1727752345&rnid=2941120011&s=electronics&sr=1-10&srs=24000582011&th=1,B000SUM0LO,https://www.amazon.com/product-reviews/B000SUM0LO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,four_star,Fern10,"Reviewed in the United States on April 28, 2014",perfect fit,2
