name,price,description,sustainability_features,product_features,product_affordances,rating_product,product_page_url,product_id,review_url,author,date,rating_customer,content,BERT_sentiment,GPT_sentiment,GPT_ABSA
"Melitta Size 102 Aroma Zones Filterbags, Pack of 80",9.99,"Balanced Filter Coffee Taste
Aroma Zones allowing for the perfect release of flavours
Natural paper (unbleached)
Paper sourced from responsible source
Melitta Coffee experts since 1908","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Balanced Filter Coffee Taste"", ""Aroma Zones"", ""Flavours"", ""Natural paper"", ""Paper"", ""Responsible source"", ""Melitta Coffee experts""]","Product Affordances: [""Balanced"", ""Filter"", ""Release"", ""Natural"", ""Responsible"", ""Experts""]",4.6,https://www.amazon.com/Melitta-Size-Aroma-Zones-Filterbags/dp/B0007VJMM4/ref=sr_1_1?dib=eyJ2IjoiMSJ9.LqB6UFpcQV6Ytvd8OwWRTfJ5o69pVWaIyAuxA_in5nlTZn2DNwt8f5VjOiXrkMVKkHfvPc5DEzuhNT0RzgMbLg.2un3j-YEFK0J9ogV2k0h4tyIEx9UaweEHOdxSuOQP-0&dib_tag=se&qid=1727752923&rnid=2941120011&s=appliances&sr=1-1&srs=24229290011,B0007VJMM4,https://www.amazon.com/product-reviews/B0007VJMM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Naoo,"Reviewed in India on February 3, 2023",1,The box is crushed and unsanitary,-2,-2,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": -1, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": -1, ""User Experience: Safety"": 0}"
"Melitta Size 102 Aroma Zones Filterbags, Pack of 80",9.99,"Balanced Filter Coffee Taste
Aroma Zones allowing for the perfect release of flavours
Natural paper (unbleached)
Paper sourced from responsible source
Melitta Coffee experts since 1908","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Balanced Filter Coffee Taste"", ""Aroma Zones"", ""Flavours"", ""Natural paper"", ""Paper"", ""Responsible source"", ""Melitta Coffee experts""]","Product Affordances: [""Balanced"", ""Filter"", ""Release"", ""Natural"", ""Responsible"", ""Experts""]",4.6,https://www.amazon.com/Melitta-Size-Aroma-Zones-Filterbags/dp/B0007VJMM4/ref=sr_1_1?dib=eyJ2IjoiMSJ9.LqB6UFpcQV6Ytvd8OwWRTfJ5o69pVWaIyAuxA_in5nlTZn2DNwt8f5VjOiXrkMVKkHfvPc5DEzuhNT0RzgMbLg.2un3j-YEFK0J9ogV2k0h4tyIEx9UaweEHOdxSuOQP-0&dib_tag=se&qid=1727752923&rnid=2941120011&s=appliances&sr=1-1&srs=24229290011,B0007VJMM4,https://www.amazon.com/product-reviews/B0007VJMM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Placeholder,"Reviewed in India on August 17, 2022",1,Bad product,-2,-2,"{""General Sustainability"": -1, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": 0, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": -1, ""User Experience: Safety"": 0}"
"Melitta Size 102 Aroma Zones Filterbags, Pack of 80",9.99,"Balanced Filter Coffee Taste
Aroma Zones allowing for the perfect release of flavours
Natural paper (unbleached)
Paper sourced from responsible source
Melitta Coffee experts since 1908","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Balanced Filter Coffee Taste"", ""Aroma Zones"", ""Flavours"", ""Natural paper"", ""Paper"", ""Responsible source"", ""Melitta Coffee experts""]","Product Affordances: [""Balanced"", ""Filter"", ""Release"", ""Natural"", ""Responsible"", ""Experts""]",4.6,https://www.amazon.com/Melitta-Size-Aroma-Zones-Filterbags/dp/B0007VJMM4/ref=sr_1_1?dib=eyJ2IjoiMSJ9.LqB6UFpcQV6Ytvd8OwWRTfJ5o69pVWaIyAuxA_in5nlTZn2DNwt8f5VjOiXrkMVKkHfvPc5DEzuhNT0RzgMbLg.2un3j-YEFK0J9ogV2k0h4tyIEx9UaweEHOdxSuOQP-0&dib_tag=se&qid=1727752923&rnid=2941120011&s=appliances&sr=1-1&srs=24229290011,B0007VJMM4,https://www.amazon.com/product-reviews/B0007VJMM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Anupam,"Reviewed in India on July 7, 2023",3,"The product quality is good. The box was delivered crushed, but the filters inside are fine. Amazon says this is a 2-Cup filter paper. However, the size is too big even for my 4 cup coffee maker. The 1X2 coffee filter fits it correctly. I have been buying 102 size for some time. Sometimes Amazon sends 1X2 size for 2-cup coffee filter, and this size is correct. But this time they sent 102 size, and this is too big.",0,-1,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": -1, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": -1, ""User Experience: Safety"": 0}"
"Melitta Size 102 Aroma Zones Filterbags, Pack of 80",9.99,"Balanced Filter Coffee Taste
Aroma Zones allowing for the perfect release of flavours
Natural paper (unbleached)
Paper sourced from responsible source
Melitta Coffee experts since 1908","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Balanced Filter Coffee Taste"", ""Aroma Zones"", ""Flavours"", ""Natural paper"", ""Paper"", ""Responsible source"", ""Melitta Coffee experts""]","Product Affordances: [""Balanced"", ""Filter"", ""Release"", ""Natural"", ""Responsible"", ""Experts""]",4.6,https://www.amazon.com/Melitta-Size-Aroma-Zones-Filterbags/dp/B0007VJMM4/ref=sr_1_1?dib=eyJ2IjoiMSJ9.LqB6UFpcQV6Ytvd8OwWRTfJ5o69pVWaIyAuxA_in5nlTZn2DNwt8f5VjOiXrkMVKkHfvPc5DEzuhNT0RzgMbLg.2un3j-YEFK0J9ogV2k0h4tyIEx9UaweEHOdxSuOQP-0&dib_tag=se&qid=1727752923&rnid=2941120011&s=appliances&sr=1-1&srs=24229290011,B0007VJMM4,https://www.amazon.com/product-reviews/B0007VJMM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Jane,"Reviewed in Germany on September 28, 2018",3,"I don't like this item not because of the quality but because of the design of this whole filtering method. Although it is for 2 cups, I would still suggest that you pour water into it several times. Why? It's just the speed that water flows through is not even. If you pour 2 cups of water inside all at once, you'll surely get coffee that is too watery, because the water flows through very very quickly. Yet when the water reaches the bottom, it flows too slowly. I have to honestly say that this design is not as smart as the Japanese drip bags made of paper. It costs an extra ceramic cup, is clumsy, but doesn't do the job perfectly.",-1,-2,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": -1, ""Packaging"": 0, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": -1, ""User Experience: Safety"": 0}"
"Melitta Size 102 Aroma Zones Filterbags, Pack of 80",9.99,"Balanced Filter Coffee Taste
Aroma Zones allowing for the perfect release of flavours
Natural paper (unbleached)
Paper sourced from responsible source
Melitta Coffee experts since 1908","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Balanced Filter Coffee Taste"", ""Aroma Zones"", ""Flavours"", ""Natural paper"", ""Paper"", ""Responsible source"", ""Melitta Coffee experts""]","Product Affordances: [""Balanced"", ""Filter"", ""Release"", ""Natural"", ""Responsible"", ""Experts""]",4.6,https://www.amazon.com/Melitta-Size-Aroma-Zones-Filterbags/dp/B0007VJMM4/ref=sr_1_1?dib=eyJ2IjoiMSJ9.LqB6UFpcQV6Ytvd8OwWRTfJ5o69pVWaIyAuxA_in5nlTZn2DNwt8f5VjOiXrkMVKkHfvPc5DEzuhNT0RzgMbLg.2un3j-YEFK0J9ogV2k0h4tyIEx9UaweEHOdxSuOQP-0&dib_tag=se&qid=1727752923&rnid=2941120011&s=appliances&sr=1-1&srs=24229290011,B0007VJMM4,https://www.amazon.com/product-reviews/B0007VJMM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Amazon Customer,"Reviewed in the United Kingdom on September 1, 2016",3,Box was damaged when we got but still the filters were good.,0,-1,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": -1, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": 1, ""User Experience: Safety"": 0}"
"Melitta Size 102 Aroma Zones Filterbags, Pack of 80",9.99,"Balanced Filter Coffee Taste
Aroma Zones allowing for the perfect release of flavours
Natural paper (unbleached)
Paper sourced from responsible source
Melitta Coffee experts since 1908","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Balanced Filter Coffee Taste"", ""Aroma Zones"", ""Flavours"", ""Natural paper"", ""Paper"", ""Responsible source"", ""Melitta Coffee experts""]","Product Affordances: [""Balanced"", ""Filter"", ""Release"", ""Natural"", ""Responsible"", ""Experts""]",4.6,https://www.amazon.com/Melitta-Size-Aroma-Zones-Filterbags/dp/B0007VJMM4/ref=sr_1_1?dib=eyJ2IjoiMSJ9.LqB6UFpcQV6Ytvd8OwWRTfJ5o69pVWaIyAuxA_in5nlTZn2DNwt8f5VjOiXrkMVKkHfvPc5DEzuhNT0RzgMbLg.2un3j-YEFK0J9ogV2k0h4tyIEx9UaweEHOdxSuOQP-0&dib_tag=se&qid=1727752923&rnid=2941120011&s=appliances&sr=1-1&srs=24229290011,B0007VJMM4,https://www.amazon.com/product-reviews/B0007VJMM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,A purchaser,"Reviewed in India on September 12, 2021",4,Package is delivered with damaged as photos while product is fine. This is a area to be improved as it is important to keep clean as it is not a washable product.,1,-1,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": -1, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": 0, ""User Experience: Safety"": 0}"
"Melitta Size 102 Aroma Zones Filterbags, Pack of 80",9.99,"Balanced Filter Coffee Taste
Aroma Zones allowing for the perfect release of flavours
Natural paper (unbleached)
Paper sourced from responsible source
Melitta Coffee experts since 1908","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Balanced Filter Coffee Taste"", ""Aroma Zones"", ""Flavours"", ""Natural paper"", ""Paper"", ""Responsible source"", ""Melitta Coffee experts""]","Product Affordances: [""Balanced"", ""Filter"", ""Release"", ""Natural"", ""Responsible"", ""Experts""]",4.6,https://www.amazon.com/Melitta-Size-Aroma-Zones-Filterbags/dp/B0007VJMM4/ref=sr_1_1?dib=eyJ2IjoiMSJ9.LqB6UFpcQV6Ytvd8OwWRTfJ5o69pVWaIyAuxA_in5nlTZn2DNwt8f5VjOiXrkMVKkHfvPc5DEzuhNT0RzgMbLg.2un3j-YEFK0J9ogV2k0h4tyIEx9UaweEHOdxSuOQP-0&dib_tag=se&qid=1727752923&rnid=2941120011&s=appliances&sr=1-1&srs=24229290011,B0007VJMM4,https://www.amazon.com/product-reviews/B0007VJMM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,sacmellin,"Reviewed in India on September 5, 2024",5,"The papers are of good quality, with a natural brown color, and they are free from any chemical residue. The size is perfect, and the brand name is well-regarded. Overall, everything seems great—these are awesome papers and definitely worth it.",2,2,"{""General Sustainability"": 1, ""Material: Bio Friendly"": 1, ""Material: Chemical Contents"": 1, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": 0, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 1, ""User Experience: Quality/Performance"": 1, ""User Experience: Safety"": 0}"
"Melitta Size 102 Aroma Zones Filterbags, Pack of 80",9.99,"Balanced Filter Coffee Taste
Aroma Zones allowing for the perfect release of flavours
Natural paper (unbleached)
Paper sourced from responsible source
Melitta Coffee experts since 1908","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Balanced Filter Coffee Taste"", ""Aroma Zones"", ""Flavours"", ""Natural paper"", ""Paper"", ""Responsible source"", ""Melitta Coffee experts""]","Product Affordances: [""Balanced"", ""Filter"", ""Release"", ""Natural"", ""Responsible"", ""Experts""]",4.6,https://www.amazon.com/Melitta-Size-Aroma-Zones-Filterbags/dp/B0007VJMM4/ref=sr_1_1?dib=eyJ2IjoiMSJ9.LqB6UFpcQV6Ytvd8OwWRTfJ5o69pVWaIyAuxA_in5nlTZn2DNwt8f5VjOiXrkMVKkHfvPc5DEzuhNT0RzgMbLg.2un3j-YEFK0J9ogV2k0h4tyIEx9UaweEHOdxSuOQP-0&dib_tag=se&qid=1727752923&rnid=2941120011&s=appliances&sr=1-1&srs=24229290011,B0007VJMM4,https://www.amazon.com/product-reviews/B0007VJMM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,cliff,"Reviewed in the United Kingdom on January 8, 2021",5,Good value for the money. I like that it is not bleached paper.,1,2,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 1, ""Material: Chemical Contents"": 1, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": 0, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 1, ""User Experience: Quality/Performance"": 0, ""User Experience: Safety"": 0}"
"Melitta Size 102 Aroma Zones Filterbags, Pack of 80",9.99,"Balanced Filter Coffee Taste
Aroma Zones allowing for the perfect release of flavours
Natural paper (unbleached)
Paper sourced from responsible source
Melitta Coffee experts since 1908","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Balanced Filter Coffee Taste"", ""Aroma Zones"", ""Flavours"", ""Natural paper"", ""Paper"", ""Responsible source"", ""Melitta Coffee experts""]","Product Affordances: [""Balanced"", ""Filter"", ""Release"", ""Natural"", ""Responsible"", ""Experts""]",4.6,https://www.amazon.com/Melitta-Size-Aroma-Zones-Filterbags/dp/B0007VJMM4/ref=sr_1_1?dib=eyJ2IjoiMSJ9.LqB6UFpcQV6Ytvd8OwWRTfJ5o69pVWaIyAuxA_in5nlTZn2DNwt8f5VjOiXrkMVKkHfvPc5DEzuhNT0RzgMbLg.2un3j-YEFK0J9ogV2k0h4tyIEx9UaweEHOdxSuOQP-0&dib_tag=se&qid=1727752923&rnid=2941120011&s=appliances&sr=1-1&srs=24229290011,B0007VJMM4,https://www.amazon.com/product-reviews/B0007VJMM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,pip,"Reviewed in the United Kingdom on August 23, 2018",5,t hese are just perfect for my new melitta coffee machine and eco friendly.will stick with these.,2,2,"{""General Sustainability"": 1, ""Material: Bio Friendly"": 1, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": 0, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": 1, ""User Experience: Safety"": 0}"
Melitta Coffee Filters 100/40 Natural Brown (Pack of 40 Filters),14.0,"Aromatic and full-bodied coffee taste: original filter bags natural brown for a balanced and aromatic taste experience of your filter coffee, size 100
For a full aroma of your filter coffee: optimal enjoyment development using Aromapor paper, permeability of the finest flavours thanks to micro-fine pores
Particularly tear-resistant thanks to extra-stable double stitching, perfect fit
Environmentally friendly coffee preparation: production of filter bags according to FSC certification, compostable
Box contents: 1 Melitta filter bags 100, natural brown, pack of 40","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
","Product Features: [""Aromatic and full-bodied coffee taste"", ""original filter bags"", ""natural brown"", ""balanced and aromatic taste experience"", ""size 100"", ""full aroma"", ""Aromapor paper"", ""permeability"", ""micro-fine pores"", ""tear-resistant"", ""extra-stable double stitching"", ""perfect fit"", ""Environmentally friendly coffee preparation"", ""FSC certification"", ""compostable"", ""Box contents"", ""Melitta filter bags 100"", ""pack of 40""]","Product Affordances: [""Aromatic"", ""Full-bodied"", ""Balanced"", ""Aromatic taste experience"", ""Optimal enjoyment"", ""Permeability"", ""Tear-resistant"", ""Stable"", ""Perfect fit"", ""Environmentally friendly"", ""Compostable""]",4.4,https://www.amazon.com/Melitta-Coffee-Filters-Natural-Brown/dp/B005HBUZHK/ref=sr_1_3?dib=eyJ2IjoiMSJ9.LqB6UFpcQV6Ytvd8OwWRTfJ5o69pVWaIyAuxA_in5nlTZn2DNwt8f5VjOiXrkMVKkHfvPc5DEzuhNT0RzgMbLg.2un3j-YEFK0J9ogV2k0h4tyIEx9UaweEHOdxSuOQP-0&dib_tag=se&qid=1727752923&rnid=2941120011&s=appliances&sr=1-3&srs=24229290011,B005HBUZHK,https://www.amazon.com/product-reviews/B005HBUZHK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,A. Barlow,"Reviewed in the United Kingdom on September 28, 2024",1,"These were tiny. Very annoyed about the waste of time and money. The size should be made far clearer. Even going back now, only the comments give any clue...and why would you read the reviews for a product you think you already know.",-2,-2,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": -1, ""Packaging"": 0, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": -1, ""User Experience: Quality/Performance"": -1, ""User Experience: Safety"": 0}"
