name,price,description,sustainability_features,product_features,product_affordances,rating_product,product_page_url,product_id,review_url,author,date,rating_customer,content,BERT_sentiment,GPT_sentiment,GPT_ABSA
"Melitta Size 102 Aroma Zones Filterbags, Pack of 80",9.99,"Balanced Filter Coffee Taste
Aroma Zones allowing for the perfect release of flavours
Natural paper (unbleached)
Paper sourced from responsible source
Melitta Coffee experts since 1908","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Balanced Filter Coffee Taste"", ""Aroma Zones"", ""flavours"", ""Natural paper"", ""unbleached"", ""source"", ""Melitta Coffee experts""]","Product Affordances: [""Balanced"", ""Release"", ""Responsible"", ""Interact""]",4.6,https://www.amazon.com/Melitta-Size-Aroma-Zones-Filterbags/dp/B0007VJMM4/ref=sr_1_1?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-1&srs=24229290011,B0007VJMM4,https://www.amazon.com/product-reviews/B0007VJMM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Naoo,"Reviewed in India on February 3, 2023",1.0,The box is crushed and unsanitary,-2,-2,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": -1, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": -1, ""User Experience: Safety"": -1}"
"Melitta Size 102 Aroma Zones Filterbags, Pack of 80",9.99,"Balanced Filter Coffee Taste
Aroma Zones allowing for the perfect release of flavours
Natural paper (unbleached)
Paper sourced from responsible source
Melitta Coffee experts since 1908","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Balanced Filter Coffee Taste"", ""Aroma Zones"", ""flavours"", ""Natural paper"", ""unbleached"", ""source"", ""Melitta Coffee experts""]","Product Affordances: [""Balanced"", ""Release"", ""Responsible"", ""Interact""]",4.6,https://www.amazon.com/Melitta-Size-Aroma-Zones-Filterbags/dp/B0007VJMM4/ref=sr_1_1?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-1&srs=24229290011,B0007VJMM4,https://www.amazon.com/product-reviews/B0007VJMM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Anupam,"Reviewed in India on July 7, 2023",3.0,"The product quality is good. The box was delivered crushed, but the filters inside are fine. Amazon says this is a 2-Cup filter paper. However, the size is too big even for my 4 cup coffee maker. The 1X2 coffee filter fits it correctly. I have been buying 102 size for some time. Sometimes Amazon sends 1X2 size for 2-cup coffee filter, and this size is correct. But this time they sent 102 size, and this is too big.",0,0,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": -1, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": 1, ""User Experience: Safety"": 0}"
"Melitta Size 102 Aroma Zones Filterbags, Pack of 80",9.99,"Balanced Filter Coffee Taste
Aroma Zones allowing for the perfect release of flavours
Natural paper (unbleached)
Paper sourced from responsible source
Melitta Coffee experts since 1908","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Balanced Filter Coffee Taste"", ""Aroma Zones"", ""flavours"", ""Natural paper"", ""unbleached"", ""source"", ""Melitta Coffee experts""]","Product Affordances: [""Balanced"", ""Release"", ""Responsible"", ""Interact""]",4.6,https://www.amazon.com/Melitta-Size-Aroma-Zones-Filterbags/dp/B0007VJMM4/ref=sr_1_1?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-1&srs=24229290011,B0007VJMM4,https://www.amazon.com/product-reviews/B0007VJMM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Amazon Customer,"Reviewed in the United Kingdom on September 1, 2016",3.0,Box was damaged when we got but still the filters were good.,0,0,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": -1, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": 1, ""User Experience: Safety"": 0}"
"Melitta Size 102 Aroma Zones Filterbags, Pack of 80",9.99,"Balanced Filter Coffee Taste
Aroma Zones allowing for the perfect release of flavours
Natural paper (unbleached)
Paper sourced from responsible source
Melitta Coffee experts since 1908","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Balanced Filter Coffee Taste"", ""Aroma Zones"", ""flavours"", ""Natural paper"", ""unbleached"", ""source"", ""Melitta Coffee experts""]","Product Affordances: [""Balanced"", ""Release"", ""Responsible"", ""Interact""]",4.6,https://www.amazon.com/Melitta-Size-Aroma-Zones-Filterbags/dp/B0007VJMM4/ref=sr_1_1?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-1&srs=24229290011,B0007VJMM4,https://www.amazon.com/product-reviews/B0007VJMM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,A purchaser,"Reviewed in India on September 12, 2021",4.0,Package is delivered with damaged as photos while product is fine. This is a area to be improved as it is important to keep clean as it is not a washable product.,1,-1,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": -1, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": 0, ""User Experience: Safety"": 0}"
"Melitta Size 102 Aroma Zones Filterbags, Pack of 80",9.99,"Balanced Filter Coffee Taste
Aroma Zones allowing for the perfect release of flavours
Natural paper (unbleached)
Paper sourced from responsible source
Melitta Coffee experts since 1908","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Balanced Filter Coffee Taste"", ""Aroma Zones"", ""flavours"", ""Natural paper"", ""unbleached"", ""source"", ""Melitta Coffee experts""]","Product Affordances: [""Balanced"", ""Release"", ""Responsible"", ""Interact""]",4.6,https://www.amazon.com/Melitta-Size-Aroma-Zones-Filterbags/dp/B0007VJMM4/ref=sr_1_1?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-1&srs=24229290011,B0007VJMM4,https://www.amazon.com/product-reviews/B0007VJMM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,sacmellin,"Reviewed in India on September 5, 2024",5.0,"The papers are of good quality, with a natural brown color, and they are free from any chemical residue. The size is perfect, and the brand name is well-regarded. Overall, everything seems great—these are awesome papers and definitely worth it.",2,2,"{""General Sustainability"": 1, ""Material: Bio Friendly"": 1, ""Material: Chemical Contents"": 1, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": 0, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 1, ""User Experience: Quality/Performance"": 1, ""User Experience: Safety"": 0}"
"Melitta Size 102 Aroma Zones Filterbags, Pack of 80",9.99,"Balanced Filter Coffee Taste
Aroma Zones allowing for the perfect release of flavours
Natural paper (unbleached)
Paper sourced from responsible source
Melitta Coffee experts since 1908","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Balanced Filter Coffee Taste"", ""Aroma Zones"", ""flavours"", ""Natural paper"", ""unbleached"", ""source"", ""Melitta Coffee experts""]","Product Affordances: [""Balanced"", ""Release"", ""Responsible"", ""Interact""]",4.6,https://www.amazon.com/Melitta-Size-Aroma-Zones-Filterbags/dp/B0007VJMM4/ref=sr_1_1?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-1&srs=24229290011,B0007VJMM4,https://www.amazon.com/product-reviews/B0007VJMM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,cliff,"Reviewed in the United Kingdom on January 8, 2021",5.0,Good value for the money. I like that it is not bleached paper.,1,1,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 1, ""Material: Chemical Contents"": 1, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": 0, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 1, ""User Experience: Quality/Performance"": 0, ""User Experience: Safety"": 0}"
"Melitta Size 102 Aroma Zones Filterbags, Pack of 80",9.99,"Balanced Filter Coffee Taste
Aroma Zones allowing for the perfect release of flavours
Natural paper (unbleached)
Paper sourced from responsible source
Melitta Coffee experts since 1908","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Balanced Filter Coffee Taste"", ""Aroma Zones"", ""flavours"", ""Natural paper"", ""unbleached"", ""source"", ""Melitta Coffee experts""]","Product Affordances: [""Balanced"", ""Release"", ""Responsible"", ""Interact""]",4.6,https://www.amazon.com/Melitta-Size-Aroma-Zones-Filterbags/dp/B0007VJMM4/ref=sr_1_1?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-1&srs=24229290011,B0007VJMM4,https://www.amazon.com/product-reviews/B0007VJMM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,pip,"Reviewed in the United Kingdom on August 23, 2018",5.0,t hese are just perfect for my new melitta coffee machine and eco friendly.will stick with these.,2,2,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 1, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": 0, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": 1, ""User Experience: Safety"": 0}"
Melitta Coffee Filters 100/40 Natural Brown (Pack of 40 Filters),14.0,"Aromatic and full-bodied coffee taste: original filter bags natural brown for a balanced and aromatic taste experience of your filter coffee, size 100
For a full aroma of your filter coffee: optimal enjoyment development using Aromapor paper, permeability of the finest flavours thanks to micro-fine pores
Particularly tear-resistant thanks to extra-stable double stitching, perfect fit
Environmentally friendly coffee preparation: production of filter bags according to FSC certification, compostable
Box contents: 1 Melitta filter bags 100, natural brown, pack of 40","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
","Product Features: [""Aromatic and full-bodied coffee taste"", ""original filter bags"", ""natural brown"", ""size 100"", ""balanced and aromatic taste experience"", ""optimal enjoyment development"", ""Aromapor paper"", ""permeability"", ""micro-fine pores"", ""tear-resistant"", ""extra-stable double stitching"", ""perfect fit"", ""Environmentally friendly coffee preparation"", ""FSC certification"", ""compostable"", ""Box contents"", ""Melitta filter bags"", ""pack of 40""]","Product Affordances: [""Aromatic taste"", ""Full-bodied taste"", ""Balanced taste experience"", ""Aromatic taste experience"", ""Optimal enjoyment development"", ""Permeability"", ""Tear-resistant"", ""Extra-stable"", ""Perfect fit"", ""Environmentally friendly"", ""Compostable""]",4.4,https://www.amazon.com/Melitta-Coffee-Filters-Natural-Brown/dp/B005HBUZHK/ref=sr_1_8?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-8&srs=24229290011,B005HBUZHK,https://www.amazon.com/product-reviews/B005HBUZHK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,pianopedals,"Reviewed in the United Kingdom on April 13, 2024",1.0,"LORT Count of the number times we had to rinse the filters with boiled water before any papery flavor and taste were gone. Usually with white paper filters it's only a couple of times.Unfortunately,  they've now added these aroma pur holes which let in cafestol & kahweol coffee oils.The whole point of choosing the paper filter method is to filter out this gunk these compounds. They might add extra flavor they might add a fraction of extra fiber for some people, but these harmful coffee oils Skyrocket your blood pressure and upset your insides. Stick with the bleached filters",-1,-2,"{""General Sustainability"": -1, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": -1, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": 0, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": -1, ""User Experience: Safety"": -1}"
Melitta Coffee Filters 100/40 Natural Brown (Pack of 40 Filters),14.0,"Aromatic and full-bodied coffee taste: original filter bags natural brown for a balanced and aromatic taste experience of your filter coffee, size 100
For a full aroma of your filter coffee: optimal enjoyment development using Aromapor paper, permeability of the finest flavours thanks to micro-fine pores
Particularly tear-resistant thanks to extra-stable double stitching, perfect fit
Environmentally friendly coffee preparation: production of filter bags according to FSC certification, compostable
Box contents: 1 Melitta filter bags 100, natural brown, pack of 40","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
","Product Features: [""Aromatic and full-bodied coffee taste"", ""original filter bags"", ""natural brown"", ""size 100"", ""balanced and aromatic taste experience"", ""optimal enjoyment development"", ""Aromapor paper"", ""permeability"", ""micro-fine pores"", ""tear-resistant"", ""extra-stable double stitching"", ""perfect fit"", ""Environmentally friendly coffee preparation"", ""FSC certification"", ""compostable"", ""Box contents"", ""Melitta filter bags"", ""pack of 40""]","Product Affordances: [""Aromatic taste"", ""Full-bodied taste"", ""Balanced taste experience"", ""Aromatic taste experience"", ""Optimal enjoyment development"", ""Permeability"", ""Tear-resistant"", ""Extra-stable"", ""Perfect fit"", ""Environmentally friendly"", ""Compostable""]",4.4,https://www.amazon.com/Melitta-Coffee-Filters-Natural-Brown/dp/B005HBUZHK/ref=sr_1_8?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-8&srs=24229290011,B005HBUZHK,https://www.amazon.com/product-reviews/B005HBUZHK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,E Scott,"Reviewed in the United Kingdom on October 24, 2022",1.0,"Amazon to blame for this one - I searched for size 4 filter papers and this came up as the 1st option, so I didn't really bother to check the sizes properly.They are NOT size 4 filters! They're tiny. It's also not really made clear anywhere in the description.Waste of time and money unless you have a machine that takes these tiny papers!",-2,-2,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": -1, ""Packaging"": 0, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": -1, ""User Experience: Quality/Performance"": -1, ""User Experience: Safety"": 0}"
Melitta Coffee Filters 100/40 Natural Brown (Pack of 40 Filters),14.0,"Aromatic and full-bodied coffee taste: original filter bags natural brown for a balanced and aromatic taste experience of your filter coffee, size 100
For a full aroma of your filter coffee: optimal enjoyment development using Aromapor paper, permeability of the finest flavours thanks to micro-fine pores
Particularly tear-resistant thanks to extra-stable double stitching, perfect fit
Environmentally friendly coffee preparation: production of filter bags according to FSC certification, compostable
Box contents: 1 Melitta filter bags 100, natural brown, pack of 40","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
","Product Features: [""Aromatic and full-bodied coffee taste"", ""original filter bags"", ""natural brown"", ""size 100"", ""balanced and aromatic taste experience"", ""optimal enjoyment development"", ""Aromapor paper"", ""permeability"", ""micro-fine pores"", ""tear-resistant"", ""extra-stable double stitching"", ""perfect fit"", ""Environmentally friendly coffee preparation"", ""FSC certification"", ""compostable"", ""Box contents"", ""Melitta filter bags"", ""pack of 40""]","Product Affordances: [""Aromatic taste"", ""Full-bodied taste"", ""Balanced taste experience"", ""Aromatic taste experience"", ""Optimal enjoyment development"", ""Permeability"", ""Tear-resistant"", ""Extra-stable"", ""Perfect fit"", ""Environmentally friendly"", ""Compostable""]",4.4,https://www.amazon.com/Melitta-Coffee-Filters-Natural-Brown/dp/B005HBUZHK/ref=sr_1_8?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-8&srs=24229290011,B005HBUZHK,https://www.amazon.com/product-reviews/B005HBUZHK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Tucker143,"Reviewed in the United Kingdom on April 14, 2024",4.0,Perfect for the Aromaboy! I only wish there were more in the box to make the packaging and shipping more worthwhile.Do exactly what you expect,2,1,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": -1, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": 1, ""User Experience: Safety"": 0}"
