name,price,description,sustainability_features,product_features,product_affordances,rating_product,product_page_url,product_id,review_url,author,date,rating_customer,content,BERT_sentiment,GPT_sentiment,GPT_ABSA
"Neenah Premium Cardstock, 8.5"" x 11"", 65 lb/176 gsm, Bright White, 250 Sheets (91904)",14.29,"Bright Whiteâ€”a 96 brightness rating.
Inkjet, laser and copier guaranteed.
Acid- and lignin-free.","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
","Product Features: [""Brightness rating"", ""Inkjet"", ""Laser"", ""Copier"", ""Acid-free"", ""Lignin-free""]","Product Affordances: [""Bright"", ""Inkjet"", ""Laser"", ""Copier"", ""Guaranteed"", ""Acid-free"", ""Lignin-free""]",4.7,https://www.amazon.com/Neenah-Bright-White-Cardstock-Inches/dp/B00006IDRW/ref=sr_1_10?dib=eyJ2IjoiMSJ9.3RFSCMaBQ3JRj6IP5R_FBpHuL_sIEyVx3dpcJW2VTBY6k-HFxy89wOlGm62R0gJafDnNcuFXeYW1t0DvC93zRxBdrjz6z0L-yy7j_jWwJGZcoYVtJRI1-95ByJlHeWt_il5U8O0lcd_dxhOaVYX3Zxn1fpuDTAMzlbk-yNqhgYRlJ3p5EQrD44o-MH2iyeCcRki3CxCx9IyIvkbqeLz8knpA-Dl6e1Ml0cUMoMOIA9yttCL3szPZ6gqBDZoK7VGXsJRlFQ6i0_7LY5rWUkyUcBP8uPBejFPdBGkN25-lt0M.sBHIjKL2aQhRa96UH2KpjKiBaV6F5g4CHCCph7jWo44&dib_tag=se&qid=1727753962&rnid=2941120011&s=office-products&sr=1-10&srs=21417082011&th=1,B00006IDRW,https://www.amazon.com/product-reviews/B00006IDRW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Jacqueline Murillo,"Reviewed in the United States on August 5, 2024",1,The package came in ripped and some of the papers were folded. I’m not sure if the full amount of paper was in the package because on how badly ripped it was.,-1,-1,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": -1, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": -1, ""User Experience: Safety"": 0}"
"Neenah Premium Cardstock, 8.5"" x 11"", 65 lb/176 gsm, Bright White, 250 Sheets (91904)",14.29,"Bright Whiteâ€”a 96 brightness rating.
Inkjet, laser and copier guaranteed.
Acid- and lignin-free.","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
","Product Features: [""Brightness rating"", ""Inkjet"", ""Laser"", ""Copier"", ""Acid-free"", ""Lignin-free""]","Product Affordances: [""Bright"", ""Inkjet"", ""Laser"", ""Copier"", ""Guaranteed"", ""Acid-free"", ""Lignin-free""]",4.7,https://www.amazon.com/Neenah-Bright-White-Cardstock-Inches/dp/B00006IDRW/ref=sr_1_10?dib=eyJ2IjoiMSJ9.3RFSCMaBQ3JRj6IP5R_FBpHuL_sIEyVx3dpcJW2VTBY6k-HFxy89wOlGm62R0gJafDnNcuFXeYW1t0DvC93zRxBdrjz6z0L-yy7j_jWwJGZcoYVtJRI1-95ByJlHeWt_il5U8O0lcd_dxhOaVYX3Zxn1fpuDTAMzlbk-yNqhgYRlJ3p5EQrD44o-MH2iyeCcRki3CxCx9IyIvkbqeLz8knpA-Dl6e1Ml0cUMoMOIA9yttCL3szPZ6gqBDZoK7VGXsJRlFQ6i0_7LY5rWUkyUcBP8uPBejFPdBGkN25-lt0M.sBHIjKL2aQhRa96UH2KpjKiBaV6F5g4CHCCph7jWo44&dib_tag=se&qid=1727753962&rnid=2941120011&s=office-products&sr=1-10&srs=21417082011&th=1,B00006IDRW,https://www.amazon.com/product-reviews/B00006IDRW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,TheBerb,"Reviewed in the United States on December 1, 2022",1,"The shipping box looked fine but paper was damaged as shown in the picture I provided.  Damage couldn't be seen until I removed manufactures plastic wrapping.  I can only assume damage was present prior to being wrapped.  There was no evidence of damage on manufacturing wrap or on the shipping box.  Although, there was no care taken to ensure no damage.  The ream was just loose inside an oversized cardboard box.  The only option I was given was to send the ream of paper back which seems dumb to me.  You'd think manufacturer would be interested in damage and send me another ream.  I can get paper elsewhere in the future.",-1,-1,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": -1, ""Packaging"": -1, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": -1, ""User Experience: Safety"": 0}"
"Neenah Premium Cardstock, 8.5"" x 11"", 65 lb/176 gsm, Bright White, 250 Sheets (91904)",14.29,"Bright Whiteâ€”a 96 brightness rating.
Inkjet, laser and copier guaranteed.
Acid- and lignin-free.","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
","Product Features: [""Brightness rating"", ""Inkjet"", ""Laser"", ""Copier"", ""Acid-free"", ""Lignin-free""]","Product Affordances: [""Bright"", ""Inkjet"", ""Laser"", ""Copier"", ""Guaranteed"", ""Acid-free"", ""Lignin-free""]",4.7,https://www.amazon.com/Neenah-Bright-White-Cardstock-Inches/dp/B00006IDRW/ref=sr_1_10?dib=eyJ2IjoiMSJ9.3RFSCMaBQ3JRj6IP5R_FBpHuL_sIEyVx3dpcJW2VTBY6k-HFxy89wOlGm62R0gJafDnNcuFXeYW1t0DvC93zRxBdrjz6z0L-yy7j_jWwJGZcoYVtJRI1-95ByJlHeWt_il5U8O0lcd_dxhOaVYX3Zxn1fpuDTAMzlbk-yNqhgYRlJ3p5EQrD44o-MH2iyeCcRki3CxCx9IyIvkbqeLz8knpA-Dl6e1Ml0cUMoMOIA9yttCL3szPZ6gqBDZoK7VGXsJRlFQ6i0_7LY5rWUkyUcBP8uPBejFPdBGkN25-lt0M.sBHIjKL2aQhRa96UH2KpjKiBaV6F5g4CHCCph7jWo44&dib_tag=se&qid=1727753962&rnid=2941120011&s=office-products&sr=1-10&srs=21417082011&th=1,B00006IDRW,https://www.amazon.com/product-reviews/B00006IDRW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Meredith,"Reviewed in the United States on February 5, 2024",1,"Disappointed to open the packaging and find the cardstock (inside the plastic packaging!) was dirty, damaged and not white. Don't buy, waste of money.",-2,-2,"{""General Sustainability"": -1, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": -1, ""Packaging"": -1, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": -1, ""User Experience: Quality/Performance"": -1, ""User Experience: Safety"": 0}"
"Neenah Premium Cardstock, 8.5"" x 11"", 65 lb/176 gsm, Bright White, 250 Sheets (91904)",14.29,"Bright Whiteâ€”a 96 brightness rating.
Inkjet, laser and copier guaranteed.
Acid- and lignin-free.","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
","Product Features: [""Brightness rating"", ""Inkjet"", ""Laser"", ""Copier"", ""Acid-free"", ""Lignin-free""]","Product Affordances: [""Bright"", ""Inkjet"", ""Laser"", ""Copier"", ""Guaranteed"", ""Acid-free"", ""Lignin-free""]",4.7,https://www.amazon.com/Neenah-Bright-White-Cardstock-Inches/dp/B00006IDRW/ref=sr_1_10?dib=eyJ2IjoiMSJ9.3RFSCMaBQ3JRj6IP5R_FBpHuL_sIEyVx3dpcJW2VTBY6k-HFxy89wOlGm62R0gJafDnNcuFXeYW1t0DvC93zRxBdrjz6z0L-yy7j_jWwJGZcoYVtJRI1-95ByJlHeWt_il5U8O0lcd_dxhOaVYX3Zxn1fpuDTAMzlbk-yNqhgYRlJ3p5EQrD44o-MH2iyeCcRki3CxCx9IyIvkbqeLz8knpA-Dl6e1Ml0cUMoMOIA9yttCL3szPZ6gqBDZoK7VGXsJRlFQ6i0_7LY5rWUkyUcBP8uPBejFPdBGkN25-lt0M.sBHIjKL2aQhRa96UH2KpjKiBaV6F5g4CHCCph7jWo44&dib_tag=se&qid=1727753962&rnid=2941120011&s=office-products&sr=1-10&srs=21417082011&th=1,B00006IDRW,https://www.amazon.com/product-reviews/B00006IDRW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Natalie De La Rosa,"Reviewed in the United States on January 28, 2024",1,Upon opening th box  packaging  the paper was moving all over and packaging  was ripped.,-2,-1,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": -1, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": 0, ""User Experience: Safety"": 0}"
"Neenah Premium Cardstock, 8.5"" x 11"", 65 lb/176 gsm, Bright White, 250 Sheets (91904)",14.29,"Bright Whiteâ€”a 96 brightness rating.
Inkjet, laser and copier guaranteed.
Acid- and lignin-free.","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
","Product Features: [""Brightness rating"", ""Inkjet"", ""Laser"", ""Copier"", ""Acid-free"", ""Lignin-free""]","Product Affordances: [""Bright"", ""Inkjet"", ""Laser"", ""Copier"", ""Guaranteed"", ""Acid-free"", ""Lignin-free""]",4.7,https://www.amazon.com/Neenah-Bright-White-Cardstock-Inches/dp/B00006IDRW/ref=sr_1_10?dib=eyJ2IjoiMSJ9.3RFSCMaBQ3JRj6IP5R_FBpHuL_sIEyVx3dpcJW2VTBY6k-HFxy89wOlGm62R0gJafDnNcuFXeYW1t0DvC93zRxBdrjz6z0L-yy7j_jWwJGZcoYVtJRI1-95ByJlHeWt_il5U8O0lcd_dxhOaVYX3Zxn1fpuDTAMzlbk-yNqhgYRlJ3p5EQrD44o-MH2iyeCcRki3CxCx9IyIvkbqeLz8knpA-Dl6e1Ml0cUMoMOIA9yttCL3szPZ6gqBDZoK7VGXsJRlFQ6i0_7LY5rWUkyUcBP8uPBejFPdBGkN25-lt0M.sBHIjKL2aQhRa96UH2KpjKiBaV6F5g4CHCCph7jWo44&dib_tag=se&qid=1727753962&rnid=2941120011&s=office-products&sr=1-10&srs=21417082011&th=1,B00006IDRW,https://www.amazon.com/product-reviews/B00006IDRW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Fluffy Cloudwkr,"Reviewed in the United States on December 2, 2023",1,Received late. Box was fine but paper appeared used and was dirty. Didn’t return due to health. Will not order again!,-2,-2,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": -1, ""Packaging"": -1, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": -1, ""User Experience: Safety"": -1}"
"Neenah Premium Cardstock, 8.5"" x 11"", 65 lb/176 gsm, Bright White, 250 Sheets (91904)",14.29,"Bright Whiteâ€”a 96 brightness rating.
Inkjet, laser and copier guaranteed.
Acid- and lignin-free.","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
","Product Features: [""Brightness rating"", ""Inkjet"", ""Laser"", ""Copier"", ""Acid-free"", ""Lignin-free""]","Product Affordances: [""Bright"", ""Inkjet"", ""Laser"", ""Copier"", ""Guaranteed"", ""Acid-free"", ""Lignin-free""]",4.7,https://www.amazon.com/Neenah-Bright-White-Cardstock-Inches/dp/B00006IDRW/ref=sr_1_10?dib=eyJ2IjoiMSJ9.3RFSCMaBQ3JRj6IP5R_FBpHuL_sIEyVx3dpcJW2VTBY6k-HFxy89wOlGm62R0gJafDnNcuFXeYW1t0DvC93zRxBdrjz6z0L-yy7j_jWwJGZcoYVtJRI1-95ByJlHeWt_il5U8O0lcd_dxhOaVYX3Zxn1fpuDTAMzlbk-yNqhgYRlJ3p5EQrD44o-MH2iyeCcRki3CxCx9IyIvkbqeLz8knpA-Dl6e1Ml0cUMoMOIA9yttCL3szPZ6gqBDZoK7VGXsJRlFQ6i0_7LY5rWUkyUcBP8uPBejFPdBGkN25-lt0M.sBHIjKL2aQhRa96UH2KpjKiBaV6F5g4CHCCph7jWo44&dib_tag=se&qid=1727753962&rnid=2941120011&s=office-products&sr=1-10&srs=21417082011&th=1,B00006IDRW,https://www.amazon.com/product-reviews/B00006IDRW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Laurie Odens,"Reviewed in the United States on December 17, 2023",1,"The box was torn, the plastic around the paper was torn and part of the stack of paper was crumpled.",-2,-2,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": -1, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": -1, ""User Experience: Safety"": 0}"
"Neenah Premium Cardstock, 8.5"" x 11"", 65 lb/176 gsm, Bright White, 250 Sheets (91904)",14.29,"Bright Whiteâ€”a 96 brightness rating.
Inkjet, laser and copier guaranteed.
Acid- and lignin-free.","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
","Product Features: [""Brightness rating"", ""Inkjet"", ""Laser"", ""Copier"", ""Acid-free"", ""Lignin-free""]","Product Affordances: [""Bright"", ""Inkjet"", ""Laser"", ""Copier"", ""Guaranteed"", ""Acid-free"", ""Lignin-free""]",4.7,https://www.amazon.com/Neenah-Bright-White-Cardstock-Inches/dp/B00006IDRW/ref=sr_1_10?dib=eyJ2IjoiMSJ9.3RFSCMaBQ3JRj6IP5R_FBpHuL_sIEyVx3dpcJW2VTBY6k-HFxy89wOlGm62R0gJafDnNcuFXeYW1t0DvC93zRxBdrjz6z0L-yy7j_jWwJGZcoYVtJRI1-95ByJlHeWt_il5U8O0lcd_dxhOaVYX3Zxn1fpuDTAMzlbk-yNqhgYRlJ3p5EQrD44o-MH2iyeCcRki3CxCx9IyIvkbqeLz8knpA-Dl6e1Ml0cUMoMOIA9yttCL3szPZ6gqBDZoK7VGXsJRlFQ6i0_7LY5rWUkyUcBP8uPBejFPdBGkN25-lt0M.sBHIjKL2aQhRa96UH2KpjKiBaV6F5g4CHCCph7jWo44&dib_tag=se&qid=1727753962&rnid=2941120011&s=office-products&sr=1-10&srs=21417082011&th=1,B00006IDRW,https://www.amazon.com/product-reviews/B00006IDRW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Insanecatlady,"Reviewed in the United States on December 19, 2022",1,Paper does seem to be good quality however when you order a gift for someone you don't want it ripped open and damaged like that .I had to take the entire package together because it was too close to xmas. Disappointing,-1,-1,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": -1, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": 1, ""User Experience: Safety"": 0}"
"Neenah Premium Cardstock, 8.5"" x 11"", 65 lb/176 gsm, Bright White, 250 Sheets (91904)",14.29,"Bright Whiteâ€”a 96 brightness rating.
Inkjet, laser and copier guaranteed.
Acid- and lignin-free.","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
","Product Features: [""Brightness rating"", ""Inkjet"", ""Laser"", ""Copier"", ""Acid-free"", ""Lignin-free""]","Product Affordances: [""Bright"", ""Inkjet"", ""Laser"", ""Copier"", ""Guaranteed"", ""Acid-free"", ""Lignin-free""]",4.7,https://www.amazon.com/Neenah-Bright-White-Cardstock-Inches/dp/B00006IDRW/ref=sr_1_10?dib=eyJ2IjoiMSJ9.3RFSCMaBQ3JRj6IP5R_FBpHuL_sIEyVx3dpcJW2VTBY6k-HFxy89wOlGm62R0gJafDnNcuFXeYW1t0DvC93zRxBdrjz6z0L-yy7j_jWwJGZcoYVtJRI1-95ByJlHeWt_il5U8O0lcd_dxhOaVYX3Zxn1fpuDTAMzlbk-yNqhgYRlJ3p5EQrD44o-MH2iyeCcRki3CxCx9IyIvkbqeLz8knpA-Dl6e1Ml0cUMoMOIA9yttCL3szPZ6gqBDZoK7VGXsJRlFQ6i0_7LY5rWUkyUcBP8uPBejFPdBGkN25-lt0M.sBHIjKL2aQhRa96UH2KpjKiBaV6F5g4CHCCph7jWo44&dib_tag=se&qid=1727753962&rnid=2941120011&s=office-products&sr=1-10&srs=21417082011&th=1,B00006IDRW,https://www.amazon.com/product-reviews/B00006IDRW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Steve Mancuso,"Reviewed in the United States on December 13, 2023",1,"Paper ream arrived damaged, split open.",-2,-1,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": -1, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": -1, ""User Experience: Safety"": 0}"
"Neenah Premium Cardstock, 8.5"" x 11"", 65 lb/176 gsm, Bright White, 250 Sheets (91904)",14.29,"Bright Whiteâ€”a 96 brightness rating.
Inkjet, laser and copier guaranteed.
Acid- and lignin-free.","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
","Product Features: [""Brightness rating"", ""Inkjet"", ""Laser"", ""Copier"", ""Acid-free"", ""Lignin-free""]","Product Affordances: [""Bright"", ""Inkjet"", ""Laser"", ""Copier"", ""Guaranteed"", ""Acid-free"", ""Lignin-free""]",4.7,https://www.amazon.com/Neenah-Bright-White-Cardstock-Inches/dp/B00006IDRW/ref=sr_1_10?dib=eyJ2IjoiMSJ9.3RFSCMaBQ3JRj6IP5R_FBpHuL_sIEyVx3dpcJW2VTBY6k-HFxy89wOlGm62R0gJafDnNcuFXeYW1t0DvC93zRxBdrjz6z0L-yy7j_jWwJGZcoYVtJRI1-95ByJlHeWt_il5U8O0lcd_dxhOaVYX3Zxn1fpuDTAMzlbk-yNqhgYRlJ3p5EQrD44o-MH2iyeCcRki3CxCx9IyIvkbqeLz8knpA-Dl6e1Ml0cUMoMOIA9yttCL3szPZ6gqBDZoK7VGXsJRlFQ6i0_7LY5rWUkyUcBP8uPBejFPdBGkN25-lt0M.sBHIjKL2aQhRa96UH2KpjKiBaV6F5g4CHCCph7jWo44&dib_tag=se&qid=1727753962&rnid=2941120011&s=office-products&sr=1-10&srs=21417082011&th=1,B00006IDRW,https://www.amazon.com/product-reviews/B00006IDRW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Shelby,"Reviewed in the United States on March 14, 2023",1,I love this paper BUT this is the second time it has been delivered completely opened and damaged. Corners are bent and dirty!,-2,-1,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": -1, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": -1, ""User Experience: Safety"": 0}"
"Neenah Premium Cardstock, 8.5"" x 11"", 65 lb/176 gsm, Bright White, 250 Sheets (91904)",14.29,"Bright Whiteâ€”a 96 brightness rating.
Inkjet, laser and copier guaranteed.
Acid- and lignin-free.","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
","Product Features: [""Brightness rating"", ""Inkjet"", ""Laser"", ""Copier"", ""Acid-free"", ""Lignin-free""]","Product Affordances: [""Bright"", ""Inkjet"", ""Laser"", ""Copier"", ""Guaranteed"", ""Acid-free"", ""Lignin-free""]",4.7,https://www.amazon.com/Neenah-Bright-White-Cardstock-Inches/dp/B00006IDRW/ref=sr_1_10?dib=eyJ2IjoiMSJ9.3RFSCMaBQ3JRj6IP5R_FBpHuL_sIEyVx3dpcJW2VTBY6k-HFxy89wOlGm62R0gJafDnNcuFXeYW1t0DvC93zRxBdrjz6z0L-yy7j_jWwJGZcoYVtJRI1-95ByJlHeWt_il5U8O0lcd_dxhOaVYX3Zxn1fpuDTAMzlbk-yNqhgYRlJ3p5EQrD44o-MH2iyeCcRki3CxCx9IyIvkbqeLz8knpA-Dl6e1Ml0cUMoMOIA9yttCL3szPZ6gqBDZoK7VGXsJRlFQ6i0_7LY5rWUkyUcBP8uPBejFPdBGkN25-lt0M.sBHIjKL2aQhRa96UH2KpjKiBaV6F5g4CHCCph7jWo44&dib_tag=se&qid=1727753962&rnid=2941120011&s=office-products&sr=1-10&srs=21417082011&th=1,B00006IDRW,https://www.amazon.com/product-reviews/B00006IDRW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,William Greene,"Reviewed in the United States on June 8, 2023",1,The covering was ripped open and numerous pages were bent and unusable,-2,-2,"{""General Sustainability"": 0, ""Material: Bio Friendly"": 0, ""Material: Chemical Contents"": 0, ""Material: Recyclability"": 0, ""Material: Waste"": 0, ""Packaging"": -1, ""Environment: Bioenvironment"": 0, ""Environment: Climate"": 0, ""Energy: Consumption"": 0, ""Energy: Renewability"": 0, ""Manufacturing Process: Production"": 0, ""Manufacturing Process: Worker"": 0, ""Manufacturing Process: Supply"": 0, ""User Experience: Price"": 0, ""User Experience: Quality/Performance"": -1, ""User Experience: Safety"": 0}"
