name,price,description,sustainability_features,product_features,product_affordances,rating_product,product_page_url,product_id,review_url,author,date,rating_customer,content,BERT_sentiment,GPT_sentiment
"Element 790 Table Lamp with Dimmer Mount: Access Rail, Finish: Black",318.0,,"Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",Product Features: [],Product Affordances: [],4.1,https://www.amazon.com/Element-Table-Lamp-Dimmer-Mount/dp/B00584T8DI/ref=sr_1_11?dib=eyJ2IjoiMSJ9.SYWUxC_0mpD2pX1ZUGasZANBnd18c7xswV5PEvNaAKUOKUvS7YfBghFtY1osBelS2_2lC3_ETTe1fg9E_hZ_ZZrIthfbbb3SSlhVshQ0JMZTMydMMr95hF1hETeprhu8b_KdHhZRuXx_KUGBC7km5bS5Oznc8IFqayDnSaaqGbL_t_UP9zfXzE9dhgCXICz9.asVuXo1LOgio5xJ5rWgfDIoxfrRGDVHthRFq5rMJiQg&dib_tag=se&qid=1727752676&rnid=2941120011&s=industrial&sr=1-11&srs=24000582011,B00584T8DI,,,,,,-1,0
"Element 790 Table Lamp with Dimmer Mount: Access Rail, Finish: White",287.0,,"Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",Product Features: [],"The provided product description is ""nan"", which typically stands for ""not a number"" or may indicate missing information. Therefore, there are no product affordances to extract from this description. 

Product Affordances: []",4.4,https://www.amazon.com/Element-Table-Lamp-Dimmer-Mount/dp/B00584T99G/ref=sr_1_10?dib=eyJ2IjoiMSJ9.SYWUxC_0mpD2pX1ZUGasZANBnd18c7xswV5PEvNaAKUOKUvS7YfBghFtY1osBelS2_2lC3_ETTe1fg9E_hZ_ZZrIthfbbb3SSlhVshQ0JMZTMydMMr95hF1hETeprhu8b_KdHhZRuXx_KUGBC7km5bS5Oznc8IFqayDnSaaqGbL_t_UP9zfXzE9dhgCXICz9.asVuXo1LOgio5xJ5rWgfDIoxfrRGDVHthRFq5rMJiQg&dib_tag=se&qid=1727752676&rnid=2941120011&s=industrial&sr=1-10&srs=24000582011,B00584T99G,,,,,,-1,0
Humanscale Horizon Light Black,500.0,,"Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",Product Features: [],Product Affordances: [],5.0,https://www.amazon.com/Horizon-HNBEW-Humanscale-Light-Black/dp/B007R7I5NS/ref=sr_1_9?dib=eyJ2IjoiMSJ9.SYWUxC_0mpD2pX1ZUGasZANBnd18c7xswV5PEvNaAKUOKUvS7YfBghFtY1osBelS2_2lC3_ETTe1fg9E_hZ_ZZrIthfbbb3SSlhVshQ0JMZTMydMMr95hF1hETeprhu8b_KdHhZRuXx_KUGBC7km5bS5Oznc8IFqayDnSaaqGbL_t_UP9zfXzE9dhgCXICz9.asVuXo1LOgio5xJ5rWgfDIoxfrRGDVHthRFq5rMJiQg&dib_tag=se&qid=1727752676&rnid=2941120011&s=industrial&sr=1-9&srs=24000582011,B007R7I5NS,https://www.amazon.com/product-reviews/B007R7I5NS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,D. Howland,"Reviewed in the United States on July 17, 2018",5.0,This is a very fine product and well worth the money.  Sleek and reliable.  Never gets hot as some lamps tend to do.,2,2
"The HON Company Vertical File Cabinet,2 Drw w/Lock,Ltr,15""x26-1/2""x29"",CCL",562.22,,"Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",Product Features: [],Product Affordances: [],3.8,https://www.amazon.com/HON-Company-Vertical-Cabinet-x26-1/dp/B00CUTE4OM/ref=sr_1_8?dib=eyJ2IjoiMSJ9.SYWUxC_0mpD2pX1ZUGasZANBnd18c7xswV5PEvNaAKUOKUvS7YfBghFtY1osBelS2_2lC3_ETTe1fg9E_hZ_ZZrIthfbbb3SSlhVshQ0JMZTMydMMr95hF1hETeprhu8b_KdHhZRuXx_KUGBC7km5bS5Oznc8IFqayDnSaaqGbL_t_UP9zfXzE9dhgCXICz9.asVuXo1LOgio5xJ5rWgfDIoxfrRGDVHthRFq5rMJiQg&dib_tag=se&qid=1727752676&rnid=2941120011&s=industrial&sr=1-8&srs=24000582011,B00CUTE4OM,,,,,,-1,0
"HON Motivate Seating Nesting/Stacking Flex-Back Chair, Black/Onyx/Platinum",567.29,,"Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
","The product description provided (""nan"") does not contain any information or descriptive content to extract product features from. 

Product Features: []",Product Affordances: [],3.8,https://www.amazon.com/HON-Motivate-Stacking-Flex-Back-Platinum/dp/B00LMBMB4E/ref=sr_1_7?dib=eyJ2IjoiMSJ9.SYWUxC_0mpD2pX1ZUGasZANBnd18c7xswV5PEvNaAKUOKUvS7YfBghFtY1osBelS2_2lC3_ETTe1fg9E_hZ_ZZrIthfbbb3SSlhVshQ0JMZTMydMMr95hF1hETeprhu8b_KdHhZRuXx_KUGBC7km5bS5Oznc8IFqayDnSaaqGbL_t_UP9zfXzE9dhgCXICz9.asVuXo1LOgio5xJ5rWgfDIoxfrRGDVHthRFq5rMJiQg&dib_tag=se&qid=1727752676&rnid=2941120011&s=industrial&sr=1-7&srs=24000582011,B00LMBMB4E,,,,,,-1,0
Ergotron Neo-Flex Mobile MediaCenter UHD,29.0,,"Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",Product Features: [],"The product description ""nan"" does not provide any specific information or context to extract affordances. It's essential to have a more detailed product description to identify affordances based on action verbs, nouns, and adjectives.

If you can provide another product description, I'd be happy to help extract the affordances from it.",,https://www.amazon.com/Ergotron-Neo-Flex-Mobile-MediaCenter-UHD/dp/B00T3SZK9Q/ref=sr_1_2?dib=eyJ2IjoiMSJ9.SYWUxC_0mpD2pX1ZUGasZANBnd18c7xswV5PEvNaAKUOKUvS7YfBghFtY1osBelS2_2lC3_ETTe1fg9E_hZ_ZZrIthfbbb3SSlhVshQ0JMZTMydMMr95hF1hETeprhu8b_KdHhZRuXx_KUGBC7km5bS5Oznc8IFqayDnSaaqGbL_t_UP9zfXzE9dhgCXICz9.asVuXo1LOgio5xJ5rWgfDIoxfrRGDVHthRFq5rMJiQg&dib_tag=se&qid=1727752676&rnid=2941120011&s=industrial&sr=1-2&srs=24000582011,B00T3SZK9Q,,,,,,-1,0
Receptacle for Herman Miller® AO2® & Ethospace® Systems,9.95,"Duplex Receptacle Circuit D
8 Wire, 4 Circuit. 3+1 system use with OEM Power and other clone systems
Circuit D (# 4)
Receptacle, Duplex, 15 amp for AO2 Version 1 & 2 Power and Ethospace
FOR Ethopspace Panels. HMP555.04BK","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
","Product Features: [""Duplex Receptacle"", ""Circuit D"", ""8 Wire"", ""4 Circuit"", ""3+1 system"", ""OEM Power"", ""clone systems"", ""Receptacle"", ""15 amp"", ""AO2 Version 1 & 2"", ""Power"", ""Ethospace"", ""Ethopspace Panels"", ""HMP555.04BK""]","Product Affordances: [""Use"", ""Circuit"", ""Plug"", ""Connect"", ""For""]",4.5,https://www.amazon.com/Receptacle-Herman-MIller-Ethospace-Systems/dp/B01N7KLPK5/ref=sr_1_1?dib=eyJ2IjoiMSJ9.SYWUxC_0mpD2pX1ZUGasZANBnd18c7xswV5PEvNaAKUOKUvS7YfBghFtY1osBelS2_2lC3_ETTe1fg9E_hZ_ZZrIthfbbb3SSlhVshQ0JMZTMydMMr95hF1hETeprhu8b_KdHhZRuXx_KUGBC7km5bS5Oznc8IFqayDnSaaqGbL_t_UP9zfXzE9dhgCXICz9.asVuXo1LOgio5xJ5rWgfDIoxfrRGDVHthRFq5rMJiQg&dib_tag=se&qid=1727752676&rnid=2941120011&s=industrial&sr=1-1&srs=24000582011,B01N7KLPK5,,,,,,-1,0
"Evolve Series Dual Monitor Arm with 2 Motion Limbs, Silver: ESI Ergo EVOLVE2-M-SLV (1 Monitor Arm)",449.0,"Evolve Series Dual Monitor Arm with 2 Motion Limbs, Silver: ESI Ergo EVOLVE2-M-SLV
(Qty of 1 in Cart = 1 Monitor Arm)
Dual Monitor Arm.
Dynamic Height Adjustment.
Monitor Extension, 16.25"", Monitor Retraction, 3"".","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
","Product Features: [""Evolve Series"", ""Dual Monitor Arm"", ""2 Motion Limbs"", ""Silver"", ""ESI Ergo"", ""EVOLVE2-M-SLV"", ""Dynamic Height Adjustment"", ""Monitor Extension, 16.25\"""", ""Monitor Retraction, 3\""""]","Product Affordances: [""Adjust"", ""Extend"", ""Retract"", ""Dynamic"", ""Height Adjustment"", ""Monitor Extension"", ""Monitor Retraction""]",4.3,https://www.amazon.com/Evolve-Monitor-Motion-Limbs-Silver/dp/B079VSJMKL/ref=sr_1_6?dib=eyJ2IjoiMSJ9.SYWUxC_0mpD2pX1ZUGasZANBnd18c7xswV5PEvNaAKUOKUvS7YfBghFtY1osBelS2_2lC3_ETTe1fg9E_hZ_ZZrIthfbbb3SSlhVshQ0JMZTMydMMr95hF1hETeprhu8b_KdHhZRuXx_KUGBC7km5bS5Oznc8IFqayDnSaaqGbL_t_UP9zfXzE9dhgCXICz9.asVuXo1LOgio5xJ5rWgfDIoxfrRGDVHthRFq5rMJiQg&dib_tag=se&qid=1727752676&rnid=2941120011&s=industrial&sr=1-6&srs=24000582011&th=1,B079VSJMKL,,,,,,-1,0
"Humanscale - M81CMWB2B - M8.1-Dual Mtr, Clamp Mt (Alum/wht)",686.0,"Upc: 810008200421
Weight: 10.000 lbs
Package Dimension : 20.0 inches L x 10.0 inches W x 7.0 inches H
Country of Origin: CHINA","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
","Product Features: [""UPC"", ""Weight"", ""Package Dimension"", ""Country of Origin""]","Product Affordances: [""Portable"", ""Storable"", ""Transportable"", ""Liftable""]",3.7,https://www.amazon.com/Humanscale-M81CMWB2B-M8-1-Dual-Clamp-Alum/dp/B07VNYDP3V/ref=sr_1_12?dib=eyJ2IjoiMSJ9.SYWUxC_0mpD2pX1ZUGasZANBnd18c7xswV5PEvNaAKUOKUvS7YfBghFtY1osBelS2_2lC3_ETTe1fg9E_hZ_ZZrIthfbbb3SSlhVshQ0JMZTMydMMr95hF1hETeprhu8b_KdHhZRuXx_KUGBC7km5bS5Oznc8IFqayDnSaaqGbL_t_UP9zfXzE9dhgCXICz9.asVuXo1LOgio5xJ5rWgfDIoxfrRGDVHthRFq5rMJiQg&dib_tag=se&qid=1727752676&rnid=2941120011&s=industrial&sr=1-12&srs=24000582011,B07VNYDP3V,,,,,,-1,0
"Humanscale Diffrient World Task Chair | Black Pinstrip Mesh Seat and Back | Black Frame, Black Trim | Height-Adjustable Duron Arms | Standard Foam Seat, 3"" Carpet Casters, 5"" Cylinder",169.99,"The Different World chair has just two manual settings: one each for seat height and seat depth, all other are automatic
Package Dimensions: 74.422 H x 59.69 L x 69.85 W (centimeters)
Package Weight: 17.645 kilograms
Country of Origin : China","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
","Product Features: [""chair"", ""manual settings"", ""seat height"", ""seat depth"", ""Package Dimensions"", ""centimeters"", ""Package Weight"", ""kilograms"", ""Country of Origin"", ""China""]","Product Affordances: [""Adjustable"", ""Automatic"", ""Height"", ""Depth"", ""Manual""]",4.7,https://www.amazon.com/Humanscale-Diffrient-World-Office-Chair/dp/B07XWH47FZ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.SYWUxC_0mpD2pX1ZUGasZANBnd18c7xswV5PEvNaAKUOKUvS7YfBghFtY1osBelS2_2lC3_ETTe1fg9E_hZ_ZZrIthfbbb3SSlhVshQ0JMZTMydMMr95hF1hETeprhu8b_KdHhZRuXx_KUGBC7km5bS5Oznc8IFqayDnSaaqGbL_t_UP9zfXzE9dhgCXICz9.asVuXo1LOgio5xJ5rWgfDIoxfrRGDVHthRFq5rMJiQg&dib_tag=se&qid=1727752676&rnid=2941120011&s=industrial&sr=1-3&srs=24000582011&th=1,B07XWH47FZ,https://www.amazon.com/product-reviews/B07XWH47FZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Lisa,"Reviewed in the United States on January 7, 2021",4.0,"Let me preface by saying that I normally would not spend this type of money on an office chair...or on anything for that matter, LOL!  BUT, I have no regrets.  This chair is perfect in every way.  I suffer from chronic back pain and the support is amazing!  Before I had a large leather name brand chair and it was nice, but wow, nothing compared to this HumanScale chair.  First, it was the easiest thing in the world to assemble.  It came in two parts...simply slide the chair top on top of the wheel assembly and you're done.  No tools needed and I did it myself.  Second, the chair adjustments are very simple.  I can adjust the chair height, the arm rest height and the depth of the seat.  Super easy.  The reline feature is perfect, the chair is not stiff, and unlike some chairs, I've never felt like I was about to flip backwards.  Third, the mesh seat and back truly conform to my body and unlike chairs with memory foam, this one won't ever sag or ""remember"" the impression which is great!  It's like sitting in a new chair every time.  I've only had this chair one week, so who knows what I'll think in a year, but my first impression is all gold stars!  And it has a 5 year warranty so how can you go wrong!?  I would absolutely recommend this chair to anyone that has a home office, has back issues, or just wants a comfortable chair for their desk.  AMAZING!",2,2
