name,price,description,sustainability_features,rating,number_of_reviews,product_page_url
"Dr. Bronner's Pure-Castile Liquid Soap- Made with Regenerative Organic Certified Oils- 18-in-1 Uses for Face, Body, Hand, Hair, Laundry & More- Vegan, Non-GMO- All Natural Body Wash- Peppermint,32oz",16.82,"REGENERATIVE ORGANIC CERTIFIED: Dr. Bronner's products are Regenerative Organic Certiﬁed ensuring they meet the highest standards in organic farming including soil health, animal welfare, and social fairness. *Only products purchased from ""Dr. Bronner's"" as the Amazon Seller are ROC
MADE WITH ORGANIC OILS & CERTIFIED FAIR TRADE INGREDIENTS: Dr. Bronner's Pure-Castile Liquid Soaps are made with over 70% certified organic & fair trade ingredients, promoting healthy communities, ethical working conditions & fair prices. And now sourcing Regenerative Organic Certified coconut, palm, and olive oil
NO SYNTHETIC ADDITIVES: Our pure-castile body wash for women, men and everyone uses plant-based ingredients without synthetic preservatives, thickeners, dyes, or foaming agents, great for the environment and gentle on sensitive skin, providing a clean feel
2-3X MORE CONCENTRATED THAN MOST LIQUID SOAP: Dilute! Dilute! Multiple uses for one product: body, face, hands, and more. More all natural soap per bottle means less waste in packaging
PACKAGED IN 100% POST-CONSUMER RECYCLED PLASTIC BOTTLE:: Dr. Bronner's eco-friendly bottles divert plastic from landfills & support recycling. Our peppermint pure-castile liquid soap delivers effective cleaning while enhancing environmental responsibility","Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
",4.8 out of 5 stars,"52,011 ratings",https://www.amazon.com/Dr-Bronners-bronners-liquid-castile/dp/B00028EYJ8/ref=sr_1_1?dib=eyJ2IjoiMSJ9.WedLHuWuJwJznA44d3TE1XAqTtWJXnZGoMot5ZXQ8qz1eXeHYMa0M-Vdp2opVrkKOLaZSa5YHGMs7ZEtaMrGbLvr_8heTnThsGEOdjn57gt-U_EOt8ZxNCCkfIA-aQxLDk4oOIlgZFdRZhxHWLgWIHlONYvSRUPagH9ljI6Ci_XtwoAqYqfsa9nlZjw6dNriJgEQE4hjcO7aOx8NO6rC2296MJ4GC3liulM6L9VPWWHlY9L6wSQFMYK8N5WruEX9nCBlQzsvhX8ckgqVYorHlotFZ73fNSqdKFuFB1VWcwY.NW_SdrCW5PM3QvVhxGCARKq4TH-TsUJfjd6eZlxYxfQ&dib_tag=se&qid=1727753413&rnid=2941120011&s=beauty&sr=1-1&srs=23176677011
"Dr. Bronner's Pure Castile Liquid Soap - Made with Regenerative Organic Certified Oils - 18-in-1 Uses for Face, Body, Hand - Gentle on Baby & Sensitive Skin - All Natural Body Wash - Unscented,32oz",16.97,"REGENERATIVE ORGANIC CERTIFIED: Dr. Bronner's products are Regenerative Organic Certiﬁed ensuring they meet the highest standards in organic farming including soil health, animal welfare, and social fairness. *Only products purchased from ""Dr. Bronner's"" as the Amazon Seller are ROC
MADE WITH ORGANIC OILS & CERTIFIED FAIR TRADE INGREDIENTS: Dr. Bronner's Pure-Castile Liquid Soaps are made with over 70% certified organic & fair trade ingredients, promoting healthy communities, ethical working conditions & fair prices. And now sourcing Regenerative Organic Certified coconut, palm, and olive oil
NO SYNTHETIC ADDITIVES: Our pure-castile body wash for women, men and everyone uses plant-based ingredients without synthetic preservatives, thickeners, dyes, or foaming agents, great for the environment and gentle on sensitive skin, providing a clean feel
2-3X MORE CONCENTRATED THAN MOST LIQUID SOAP: Dilute! Dilute! Multiple uses for one product: body, face, hands, and more. More all natural soap per bottle means less waste in packaging
PACKAGED IN 100% POST-CONSUMER RECYCLED PLASTIC BOTTLE:: Dr. Bronner's eco-friendly bottles divert plastic from landfills & support recycling. Our peppermint pure-castile liquid soap delivers effective cleaning while enhancing environmental responsibility","Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
",4.7 out of 5 stars,"31,036 ratings",https://www.amazon.com/Dr-Bronners-Pure-Castile-Liquid/dp/B000HK1OOY/ref=sr_1_2?dib=eyJ2IjoiMSJ9.WedLHuWuJwJznA44d3TE1XAqTtWJXnZGoMot5ZXQ8qz1eXeHYMa0M-Vdp2opVrkKOLaZSa5YHGMs7ZEtaMrGbLvr_8heTnThsGEOdjn57gt-U_EOt8ZxNCCkfIA-aQxLDk4oOIlgZFdRZhxHWLgWIHlONYvSRUPagH9ljI6Ci_XtwoAqYqfsa9nlZjw6dNriJgEQE4hjcO7aOx8NO6rC2296MJ4GC3liulM6L9VPWWHlY9L6wSQFMYK8N5WruEX9nCBlQzsvhX8ckgqVYorHlotFZ73fNSqdKFuFB1VWcwY.NW_SdrCW5PM3QvVhxGCARKq4TH-TsUJfjd6eZlxYxfQ&dib_tag=se&qid=1727753413&rnid=2941120011&s=beauty&sr=1-2&srs=23176677011
"Dr. Bronner's - Pure-Castile Bar Soap (Tea Tree, 5 ounce) - Made with Organic Oils, For Face, Body, Hair and Dandruff, Gentle on Acne-Prone Skin, Biodegradable, Vegan, Non-GMO",4.29,"MOISTURIZING LATHER THAT WON'T DRY YOUR FACE, BODY, OR HAIR: Our bar soaps produce a rich lather that won't dry out your skin! Dr. Bronner's is made with only the purest certified organic oils and will leave your skin feeling soft & smooth.
REGENERATIVE ORGANIC CERTIFIED PALM OIL: Grown by fairly-paid farmers to ensure sustainable harvesting through intercropping, biodiversity, & reforestation—providing the smooth & creamy lather of our soaps while benefiting farmers, the planet & you.
NO SYNTHETIC PRESERVATIVES, DETERGENTS, OR FOAMING AGENTS: Our Pure-Castile Bar Soap is made with plant-based ingredients you can pronounce—no synthetic preservatives, thickeners, or foaming agents—good for the environment & great for your skin!
GOOD FOR YOUR BODY & THE PLANET: Dr. Bronner's bars soaps are fully biodegradable & use all-natural, vegan ingredients that pose no threat to the environment. Our products & ingredients are never tested on animals & are cruelty-free.
PACKAGED IN 100% POST-CONSUMER RECYCLED WRAPPERS: Dr. Bronner's is diverting discarded paper waste from landfills by using & increasing demand for recycled materials. This prevents landfill buildup & has a positive environmental impact!","Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
",4.7 out of 5 stars,"3,521 ratings",https://www.amazon.com/Dr-Bronners-Pure-Castile-Acne-Prone-Biodegradable/dp/B000177FXW/ref=sr_1_3_mod_primary_new?dib=eyJ2IjoiMSJ9.WedLHuWuJwJznA44d3TE1XAqTtWJXnZGoMot5ZXQ8qz1eXeHYMa0M-Vdp2opVrkKOLaZSa5YHGMs7ZEtaMrGbLvr_8heTnThsGEOdjn57gt-U_EOt8ZxNCCkfIA-aQxLDk4oOIlgZFdRZhxHWLgWIHlONYvSRUPagH9ljI6Ci_XtwoAqYqfsa9nlZjw6dNriJgEQE4hjcO7aOx8NO6rC2296MJ4GC3liulM6L9VPWWHlY9L6wSQFMYK8N5WruEX9nCBlQzsvhX8ckgqVYorHlotFZ73fNSqdKFuFB1VWcwY.NW_SdrCW5PM3QvVhxGCARKq4TH-TsUJfjd6eZlxYxfQ&dib_tag=se&qid=1727753413&rnid=2941120011&s=beauty&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-3&srs=23176677011
"Dr. Bronner's Pure Castile Liquid Soap - Made with Regenerative Organic Certified Oils - 18-in-1 Uses for Face, Body, Hand, Hair- Gentle on Sensitive Skin - All Natural Body Wash- Lavender,32oz",16.97,"REGENERATIVE ORGANIC CERTIFIED: Dr. Bronner's products are Regenerative Organic Certiﬁed ensuring they meet the highest standards in organic farming including soil health, animal welfare, and social fairness. *Only products purchased from ""Dr. Bronner's"" as the Amazon Seller are ROC
MADE WITH ORGANIC AND FAIR TRADE INGREDIENTS: Our Pure Castile Soaps contain certified organic and fair trade ingredients, with sustainably harvested coconut oil from Sri Lanka, and palm kernel oil grown by fairly-paid smallholder farmers in Ecuador to ensure sustainable harvesting techniques that won't damage local habitats—supporting communities, farmworkers, and the environment
NO SYNTHETIC ADDITIVES: Our pure-castile body wash for women, men and everyone uses plant-based ingredients without synthetic preservatives, thickeners, dyes, or foaming agents, great for the environment and gentle on sensitive skin, providing a clean feel
2-3X MORE CONCENTRATED THAN MOST LIQUID SOAP: Dilute! Dilute! Multiple uses for one product: body, face, hands, and more. More all natural soap per bottle means less waste in packaging
PACKAGED IN 100% POST-CONSUMER RECYCLED PLASTIC BOTTLE:: Dr. Bronner's eco-friendly bottles divert plastic from landfills & support recycling. Our body wash delivers effective cleaning while enhancing environmental responsibility","Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
",4.8 out of 5 stars,"8,143 ratings",https://www.amazon.com/Dr-Bronners-32-oz-Lavendar/dp/B000HK1ON0/ref=sr_1_4?dib=eyJ2IjoiMSJ9.WedLHuWuJwJznA44d3TE1XAqTtWJXnZGoMot5ZXQ8qz1eXeHYMa0M-Vdp2opVrkKOLaZSa5YHGMs7ZEtaMrGbLvr_8heTnThsGEOdjn57gt-U_EOt8ZxNCCkfIA-aQxLDk4oOIlgZFdRZhxHWLgWIHlONYvSRUPagH9ljI6Ci_XtwoAqYqfsa9nlZjw6dNriJgEQE4hjcO7aOx8NO6rC2296MJ4GC3liulM6L9VPWWHlY9L6wSQFMYK8N5WruEX9nCBlQzsvhX8ckgqVYorHlotFZ73fNSqdKFuFB1VWcwY.NW_SdrCW5PM3QvVhxGCARKq4TH-TsUJfjd6eZlxYxfQ&dib_tag=se&qid=1727753413&rnid=2941120011&s=beauty&sr=1-4&srs=23176677011
"Dr. Bronner's - Pure-Castile Bar Soap (Peppermint, 5 ounce, 2-Pack) - Made with Organic Oils, For Face, Body and Hair, Gentle and Moisturizing, Biodegradable, Vegan, Cruelty-free, Non-GMO",9.98,"MOISTURIZING LATHER THAT WON'T DRY YOUR FACE, BODY, OR HAIR: Our bar soaps produce a rich lather that won't dry out your skin! Dr. Bronner's is made with only the purest certified organic oils and will leave your skin feeling soft & smooth.
MADE WITH ORGANIC OILS THAT ARE GENTLE & EFFECTIVE: We don't add any chelating agents, dyes, whiteners, or synthetic fragrances—only all-natural, vegan ingredients that are gentle, effective, & mild. Use on your face, body, or hair!
NO SYNTHETIC PRESERVATIVES, DETERGENTS, OR FOAMING AGENTS: Our Pure-Castile Bar Soap is made with plant-based ingredients you can pronounce—no synthetic preservatives, thickeners, or foaming agents—good for the environment & great for your skin!
NOW SOURCING REGENERATIVE ORGANIC CERTIFIED COCONUT, PALM, AND OLIVE OIL: Grown by fairly-paid farmers to ensure sustainable harvesting through intercropping, biodiversity, & reforestation—providing the smooth & creamy lather of our soaps while benefiting farmers, the planet & you.
PACKAGED IN 100% POST-CONSUMER RECYCLED WRAPPERS: Dr. Bronner's is diverting discarded paper waste from landfills by using & increasing demand for recycled materials. This prevents landfill buildup & has a positive environmental impact!","Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
",4.8 out of 5 stars,"6,154 ratings",https://www.amazon.com/Dr-Bronners-Organic-Castile-Peppermint/dp/B00JF2O4IS/ref=sr_1_5?dib=eyJ2IjoiMSJ9.WedLHuWuJwJznA44d3TE1XAqTtWJXnZGoMot5ZXQ8qz1eXeHYMa0M-Vdp2opVrkKOLaZSa5YHGMs7ZEtaMrGbLvr_8heTnThsGEOdjn57gt-U_EOt8ZxNCCkfIA-aQxLDk4oOIlgZFdRZhxHWLgWIHlONYvSRUPagH9ljI6Ci_XtwoAqYqfsa9nlZjw6dNriJgEQE4hjcO7aOx8NO6rC2296MJ4GC3liulM6L9VPWWHlY9L6wSQFMYK8N5WruEX9nCBlQzsvhX8ckgqVYorHlotFZ73fNSqdKFuFB1VWcwY.NW_SdrCW5PM3QvVhxGCARKq4TH-TsUJfjd6eZlxYxfQ&dib_tag=se&qid=1727753413&rnid=2941120011&s=beauty&sr=1-5&srs=23176677011
"Dr. Bronner's Pure-Castile Bar Soap - Made with Regenerative Certified Organic Oils - For Face, Body, Hair- Gentle on Sensitive Skin - All Natural Soap Bar for Men & Women - Lavender, 2 pack, 10oz",9.99,"NOW SOURCING REGENERATIVE ORGANIC CERTIFIED COCONUT, PALM, AND OLIVE OIL: Grown by fairly-paid farmers using sustainable practices like intercropping and reforestation, our soaps provide a creamy lather while benefiting farmers, the planet, and you
NOURISHING LATHER THAT WON'T DRY YOUR FACE, BODY, OR HAIR- Our pure-castile soap bar produces a rich lather that won't dry out your skin! Dr.Bronner's is made with only the purest certified organic oils and will leave your skin feeling soft & smooth
MADE WITH ORGANIC OILS THAT ARE GENTLE AND EFFECTIVE: We don’t use chelating agents, dyes, whiteners, or synthetic fragrances—just all natural, vegan ingredients that are mild and effective. Safe for use on your face, body, or hair
NO SYNTHETIC PRESERVATIVES, DETERGENTS, OR FOAMING AGENTS: Our pure-castile peppermint bar soap is made with plant-based ingredients you can pronounce—no synthetic preservatives, thickeners, or foaming agents—good for the environment & great for your skin
PACKAGED IN 100% POST-CONSUMER RECYCLED WRAPPERS: Dr. Bronner's is diverting discarded paper waste from landfills by using and increasing demand for recycled materials. This prevents landfill buildup and has a positive environmental impact!","Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
",4.8 out of 5 stars,"5,672 ratings",https://www.amazon.com/Dr-Bronners-Pure-Castile-Moisturizing-Biodegradable/dp/B001E0T740/ref=sr_1_6?dib=eyJ2IjoiMSJ9.WedLHuWuJwJznA44d3TE1XAqTtWJXnZGoMot5ZXQ8qz1eXeHYMa0M-Vdp2opVrkKOLaZSa5YHGMs7ZEtaMrGbLvr_8heTnThsGEOdjn57gt-U_EOt8ZxNCCkfIA-aQxLDk4oOIlgZFdRZhxHWLgWIHlONYvSRUPagH9ljI6Ci_XtwoAqYqfsa9nlZjw6dNriJgEQE4hjcO7aOx8NO6rC2296MJ4GC3liulM6L9VPWWHlY9L6wSQFMYK8N5WruEX9nCBlQzsvhX8ckgqVYorHlotFZ73fNSqdKFuFB1VWcwY.NW_SdrCW5PM3QvVhxGCARKq4TH-TsUJfjd6eZlxYxfQ&dib_tag=se&qid=1727753413&rnid=2941120011&s=beauty&sr=1-6&srs=23176677011
"Dr. Bronner's - Pure-Castile Liquid Soap (Peppermint, 8 ounce) - Made with Organic Oils, 18-in-1 Uses: Face, Body, Hair, Laundry, Pets and Dishes, Concentrated, Vegan, Non-GMO",13.99,"MADE WITH ORGANIC OILS & CERTIFIED FAIR TRADE INGREDIENTS: Dr. Bronner's Pure-Castile Liquid Soaps are made with over 70% certified organic & fair trade ingredients, promoting healthy communities, ethical working conditions & fair prices.
REGENERATIVE ORGANIC CERTIFIED PALM OIL: Grown by fairly-paid farmers to ensure sustainable harvesting through intercropping, biodiversity, & reforestation—providing the smooth & creamy lather of our soaps while benefiting farmers, the planet & you.
NO SYNTHETIC PRESERVATIVES, DETERGENTS, OR FOAMING AGENTS: Our liquid soaps are made with plant-based ingredients you can pronounce—no synthetic preservatives, thickeners, or foaming agents—which is good for the environment & great for your skin!
3X MORE CONCENTRATED THAN MOST LIQUID SOAPS: Dilute! Dilute! Multiple uses for just one product: laundry, mopping, hand-washing dishes, all-purpose cleaning, washing pets & more. More soap per bottle means less waste in packaging!
PACKAGED IN 100% POST-CONSUMER RECYCLED PLASTIC BOTTLES: Dr. Bronner's is diverting discarded plastic from landfills by using & increasing demand for recycled plastic bottles. This eliminates waste & has a positive environmental impact!","Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
",4.7 out of 5 stars,"8,855 ratings",https://www.amazon.com/Dr-Bronners-Pure-Castile-Liquid-Soap/dp/B005Z798TW/ref=sr_1_7?dib=eyJ2IjoiMSJ9.WedLHuWuJwJznA44d3TE1XAqTtWJXnZGoMot5ZXQ8qz1eXeHYMa0M-Vdp2opVrkKOLaZSa5YHGMs7ZEtaMrGbLvr_8heTnThsGEOdjn57gt-U_EOt8ZxNCCkfIA-aQxLDk4oOIlgZFdRZhxHWLgWIHlONYvSRUPagH9ljI6Ci_XtwoAqYqfsa9nlZjw6dNriJgEQE4hjcO7aOx8NO6rC2296MJ4GC3liulM6L9VPWWHlY9L6wSQFMYK8N5WruEX9nCBlQzsvhX8ckgqVYorHlotFZ73fNSqdKFuFB1VWcwY.NW_SdrCW5PM3QvVhxGCARKq4TH-TsUJfjd6eZlxYxfQ&dib_tag=se&qid=1727753413&rnid=2941120011&s=beauty&sr=1-7&srs=23176677011
"Dr. Bronner's Pure-Castile Liquid Soap Refill - Made with Regenerative Organic Certified Oils, 82% Less Plastic - 18-in-1 Uses for Face, Body Wash, Hand Soap Refill & More - Peppermint, 32oz",16.69,"REGENERATIVE ORGANIC CERTIFIED: Dr. Bronner's products are Regenerative Organic Certiﬁed ensuring they meet the highest standards in organic farming including soil health, animal welfare, and social fairness.Only products purchased from ""Dr. Bronner's"" as the Amazon Seller are ROC
MADE WITH ORGANIC AND FAIR TRADE INGREDIENTS: Our Pure Castile Soaps contain certified organic and fair trade ingredients, with sustainably harvested coconut oil from Sri Lanka, and palm kernel oil grown by fairly-paid smallholder farmers in Ecuador to ensure sustainable harvesting techniques that won't damage local habitats—supporting communities, farmworkers, and the environment
NO SYNTHETIC PRESERVATIVES, OR FOAMING AGENTS: Our natural liquid soap refills are made with plant-based ingredients you can pronounce—no synthetic preservatives, thickeners, or foaming agents—good for the environment & great for your skin! It is the same plant-based formula, 82% less plastic per quart!
2-3X MORE CONCENTRATED THAN MOST LIQUID SOAP: Dilute! Dilute! Multiple uses for one product: body, face, hands, and more. More all natural soap per bottle means less waste in packaging
GOOD FOR YOU BODY & THE PLANET: Dr. Bronner's body & hand wash is shown to be readily biodegradable under the testing conditions utilized in accordance with OECD Guideline 310 & uses organic, vegan ingredients that pose no threat to the environment","Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
",4.8 out of 5 stars,470 ratings,https://www.amazon.com/Dr-Bronners-Peppermint-Castile-Refill/dp/B0BQSTSCQH/ref=sr_1_8_mod_primary_new?dib=eyJ2IjoiMSJ9.WedLHuWuJwJznA44d3TE1XAqTtWJXnZGoMot5ZXQ8qz1eXeHYMa0M-Vdp2opVrkKOLaZSa5YHGMs7ZEtaMrGbLvr_8heTnThsGEOdjn57gt-U_EOt8ZxNCCkfIA-aQxLDk4oOIlgZFdRZhxHWLgWIHlONYvSRUPagH9ljI6Ci_XtwoAqYqfsa9nlZjw6dNriJgEQE4hjcO7aOx8NO6rC2296MJ4GC3liulM6L9VPWWHlY9L6wSQFMYK8N5WruEX9nCBlQzsvhX8ckgqVYorHlotFZ73fNSqdKFuFB1VWcwY.NW_SdrCW5PM3QvVhxGCARKq4TH-TsUJfjd6eZlxYxfQ&dib_tag=se&qid=1727753413&rnid=2941120011&s=beauty&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-8&srs=23176677011
"Dr. Bronner's - Pure-Castile Bar Soap (Lavender, 5 ounce, 6-Pack) - Made with Organic Oils, For Face, Body and Hair, Gentle and Moisturizing, Biodegradable, Vegan, Cruelty-free, Non-GMO",29.88,"MOISTURIZING LATHER THAT WON'T DRY YOUR FACE, BODY, OR HAIR: Our bar soaps produce a rich lather that won't dry out your skin! Dr. Bronner's is made with only the purest certified organic oils and will leave your skin feeling soft & smooth.
MADE WITH ORGANIC OILS THAT ARE GENTLE & EFFECTIVE: We don't add any chelating agents, dyes, whiteners, or synthetic fragrances—only all-natural, vegan ingredients that are gentle, effective, & mild. Use on your face, body, or hair!
NO SYNTHETIC PRESERVATIVES, DETERGENTS, OR FOAMING AGENTS: Our Pure-Castile Bar Soap is made with plant-based ingredients you can pronounce—no synthetic preservatives, thickeners, or foaming agents—good for the environment & great for your skin!
REGENERATIVE ORGANIC CERTIFIED PALM OIL: Grown by fairly-paid farmers to ensure sustainable harvesting through intercropping, biodiversity, & reforestation—providing the smooth & creamy lather of our soaps while benefiting farmers, the planet & you.
PACKAGED IN 100% POST-CONSUMER RECYCLED WRAPPERS: Dr. Bronner's is diverting discarded paper waste from landfills by using & increasing demand for recycled materials. This prevents landfill buildup & has a positive environmental impact!","Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
",4.9 out of 5 stars,"1,473 ratings",https://www.amazon.com/Dr-Bronners-Pure-Castile-Bar-Soap/dp/B001ET77OI/ref=sr_1_9?dib=eyJ2IjoiMSJ9.WedLHuWuJwJznA44d3TE1XAqTtWJXnZGoMot5ZXQ8qz1eXeHYMa0M-Vdp2opVrkKOLaZSa5YHGMs7ZEtaMrGbLvr_8heTnThsGEOdjn57gt-U_EOt8ZxNCCkfIA-aQxLDk4oOIlgZFdRZhxHWLgWIHlONYvSRUPagH9ljI6Ci_XtwoAqYqfsa9nlZjw6dNriJgEQE4hjcO7aOx8NO6rC2296MJ4GC3liulM6L9VPWWHlY9L6wSQFMYK8N5WruEX9nCBlQzsvhX8ckgqVYorHlotFZ73fNSqdKFuFB1VWcwY.NW_SdrCW5PM3QvVhxGCARKq4TH-TsUJfjd6eZlxYxfQ&dib_tag=se&qid=1727753413&rnid=2941120011&s=beauty&sr=1-9&srs=23176677011
"Dr. Bronner's - Pure-Castile Bar Soap (Almond, 5 oz, 6-Pack) - Made with Organic Oils, For Face, Body & Hair, Gentle & Moisturizing, Biodegradable, Vegan, Cruelty-free, Non-GMO",29.88,"MOISTURIZING LATHER THAT WON'T DRY YOUR FACE, BODY, OR HAIR: Our bar soaps produce a rich lather that won't dry out your skin! Dr. Bronner's is made with only the purest certified organic oils and will leave your skin feeling soft & smooth.
MADE WITH ORGANIC OILS THAT ARE GENTLE & EFFECTIVE: We don't add any chelating agents, dyes, whiteners, or synthetic fragrances—only all-natural, vegan ingredients that are gentle, effective, & mild. Use on your face, body, or hair!
NO SYNTHETIC PRESERVATIVES, DETERGENTS, OR FOAMING AGENTS: Our Pure-Castile Bar Soap is made with plant-based ingredients you can pronounce—no synthetic preservatives, thickeners, or foaming agents—good for the environment & great for your skin!
REGENERATIVE ORGANIC CERTIFIED PALM OIL: Grown by fairly-paid farmers to ensure sustainable harvesting through intercropping, biodiversity, & reforestation—providing the smooth & creamy lather of our soaps while benefiting farmers, the planet & you.
PACKAGED IN 100% POST-CONSUMER RECYCLED WRAPPERS: Dr. Bronner's is diverting discarded paper waste from landfills by using & increasing demand for recycled materials. This prevents landfill buildup & has a positive environmental impact!","Farming practices
Made with materials harvested from responsibly managed farms.
As certified by
",4.8 out of 5 stars,"2,779 ratings",https://www.amazon.com/Dr-Bronners-Pure-Castile-Moisturizing-Biodegradable/dp/B001ET77NY/ref=sr_1_10?dib=eyJ2IjoiMSJ9.WedLHuWuJwJznA44d3TE1XAqTtWJXnZGoMot5ZXQ8qz1eXeHYMa0M-Vdp2opVrkKOLaZSa5YHGMs7ZEtaMrGbLvr_8heTnThsGEOdjn57gt-U_EOt8ZxNCCkfIA-aQxLDk4oOIlgZFdRZhxHWLgWIHlONYvSRUPagH9ljI6Ci_XtwoAqYqfsa9nlZjw6dNriJgEQE4hjcO7aOx8NO6rC2296MJ4GC3liulM6L9VPWWHlY9L6wSQFMYK8N5WruEX9nCBlQzsvhX8ckgqVYorHlotFZ73fNSqdKFuFB1VWcwY.NW_SdrCW5PM3QvVhxGCARKq4TH-TsUJfjd6eZlxYxfQ&dib_tag=se&qid=1727753413&rnid=2941120011&s=beauty&sr=1-10&srs=23176677011
