name,price,description,sustainability_features,rating,number_of_reviews,product_page_url,product_features
"HP LaserJet MFP M140w Wireless Printer, Print, scan, copy, Fast speeds, Easy setup, Mobile printing, Best-for-small teams",149.00,"FROM AMERICA'S MOST TRUSTED PRINTER BRAND – Perfect for small teams printing, scanning and copying professional-quality black & white documents and reports. Perfect for 1-3 people.
WORLD'S SMALLEST LASER IN ITS CLASS – Precision laser printing, scanning, and copying that fits anywhere
FAST PRINT SPEEDS – Up to 21 black-and-white pages per minute single-sided
WIRELESS WITH SELF-RESET – Helps you stay connected
EASILY COPY ID CARDS AND MORE – Copy both sides of ID cards or other small-size documents onto the same side of one sheet of paper
PRINT FROM ANY DEVICE – Wireless printing from any mobile device, PC or tablet. Works with Microsoft, Mac, AirPrint, Android, Chromebook and more
This printer is intended to work only with cartridges with original HP chips or circuitry and will block cartridges using non-HP chips or circuitry. Periodic firmware updates will maintain the effectiveness of these measures","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",4.5 out of 5 stars,651 ratings,https://www.amazon.com/HP-LaserJet-M140w-Wireless-Printer/dp/B09MSPNYQ2/ref=sr_1_1?dib=eyJ2IjoiMSJ9.J0pd6VMc_nHJN0sbUDqlSu6qpTKip5bMo4YXfcyZN5RTcPOqsUmoAzK2aUmE00w54TpFziUDGvqM5irxLqDNL-RKlvq9ZMWQ7fBcUMPfU-P1w_vC112CzXfCe02n91qyYyx5CBq1fg8DSjYhhVPIiM6_q0bg19Oj20EpdpPc374rRFNZ1rKbe2sfz1iJ1CcrU5FlaxVUtppvdMH2cK_poSNNmGjhZ9XSEtfaCoH2UrRg9DWVwlYhsLJWI_yijdkehRvVarMYEIGZX19hjOz0oCS7AvUVipaw-4WUst5hVJ0.mNczjw5rduO1y1c1rrmSyBykE6VGe1Pfdoa6cktdNFI&dib_tag=se&qid=1727753191&rnid=2941120011&s=office-products&sr=1-1&srs=24229290011,"Product Features: [""printer brand"", ""teams"", ""printing"", ""scanning"", ""copying"", ""black & white documents"", ""reports"", ""laser"", ""speed"", ""wireless"", ""self-reset"", ""ID cards"", ""device"", ""firmware updates"", ""HP chips"", ""circuitry""]"
"HP Color LaserJet Pro Multifunction M479fdw Wireless Laser Printer with One-Year, Next-Business Day, Onsite Warranty (W1A80A), White",449.00,"BUILT TO KEEP YOUR BUSINESS MOVING FORWARD – Print, scan, copy and fax consistently high-quality documents with the HP Color LaserJet Pro Multifunction M479fdw, a wireless printer designed to let you focus on growing your business.Operating temperature range : 10 to 32.5°C
HP WOLF PRO SECURITY – Protect company data and safeguard against cyberattacks with protection built into the printer hardware, firmware and OS
AUTOMATE COMPLICATED WORKFLOWS - Help save time by automating all the steps in a complicated workflow, and apply your saved settings at a touch of a button via the customizable touchscreen control panel
PRINT WITH OR WITHOUT A NETWORK – Use built-in Wi-Fi Direct to connect your smartphone directly to your wireless laser printer for easy mobile printing, even without a local network connection
SPEED THROUGH TASKS – Stay productive with single-pass, 2-sided scanning, 50-sheet auto document feeder, 250-sheet input tray, and print speeds of up to 28 pages per minute from this laser printer
ENHANCED ENERGY EFFICIENCY – Designed with the environment in mind, the HP Color LaserJet Pro MFP M479fdw saves up to 18% energy over prior products, with technologies that help reduce paper waste
TONER CARTRIDGES YOU CAN TRUST – Avoid reprints, wasted supplies, and service calls by using Original HP 414A/414X toner cartridges designed for your multifunction color laser printer","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",4.2 out of 5 stars,"4,242 ratings",https://www.amazon.com/HP-LaserJet-Multifunction-M479fdw-Next-Business/dp/B07RQB5WJW/ref=sr_1_2?dib=eyJ2IjoiMSJ9.J0pd6VMc_nHJN0sbUDqlSu6qpTKip5bMo4YXfcyZN5RTcPOqsUmoAzK2aUmE00w54TpFziUDGvqM5irxLqDNL-RKlvq9ZMWQ7fBcUMPfU-P1w_vC112CzXfCe02n91qyYyx5CBq1fg8DSjYhhVPIiM6_q0bg19Oj20EpdpPc374rRFNZ1rKbe2sfz1iJ1CcrU5FlaxVUtppvdMH2cK_poSNNmGjhZ9XSEtfaCoH2UrRg9DWVwlYhsLJWI_yijdkehRvVarMYEIGZX19hjOz0oCS7AvUVipaw-4WUst5hVJ0.mNczjw5rduO1y1c1rrmSyBykE6VGe1Pfdoa6cktdNFI&dib_tag=se&qid=1727753191&rnid=2941120011&s=office-products&sr=1-2&srs=24229290011,"Product Features: [""Print"", ""Scan"", ""Copy"", ""Fax"", ""Documents"", ""Wireless printer"", ""Operating temperature range"", ""HP WOLF PRO SECURITY"", ""Company data"", ""Cyberattacks"", ""Protection"", ""Printer hardware"", ""Firmware"", ""OS"", ""Workflows"", ""Customizable touchscreen control panel"", ""Built-in Wi-Fi Direct"", ""Smartphone"", ""Mobile printing"", ""Network"", ""Single-pass"", ""2-sided scanning"", ""50-sheet auto document feeder"", ""250-sheet input tray"", ""Print speeds"", ""28 pages per minute"", ""Energy efficiency"", ""Environment"", ""HP Color LaserJet Pro MFP M479fdw"", ""Paper waste"", ""Original HP 414A/414X toner cartridges""]"
"Schneider Job Highlighter Pastel, Chisel Tip, 1 + 5 mm, Black Barrel, Assorted Ink Colors, Pack of 6 Highlighters: Turquoise, Mint, Vanilla, Peach, Lavender, Light Pink (115097)",8.65,"Soothing, fade and light-resistant ink in six trendy pastel colors; includes reusable wallet with one each of: Turquoise, Mint, Vanilla, Peach Lavender and Light Pink
Chisel tip for line widths approximately 1 mm and 5 mm
Barrel shape allows for larger ink capacity and won't roll off the edge of a desk
Anti-evaporation polypropylene barrel guaranteed to keep the highlighter fresh for 2 years
Smart highlighter for brilliant results; works on standard, copy and fax papers. Awarded the if and Red Dot design awards. Made in Germany","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",4.2 out of 5 stars,"9,166 ratings",https://www.amazon.com/Schneider-Highlighter-Turquoise-Lavender-115097/dp/B07VS5GQCP/ref=sr_1_3?dib=eyJ2IjoiMSJ9.J0pd6VMc_nHJN0sbUDqlSu6qpTKip5bMo4YXfcyZN5RTcPOqsUmoAzK2aUmE00w54TpFziUDGvqM5irxLqDNL-RKlvq9ZMWQ7fBcUMPfU-P1w_vC112CzXfCe02n91qyYyx5CBq1fg8DSjYhhVPIiM6_q0bg19Oj20EpdpPc374rRFNZ1rKbe2sfz1iJ1CcrU5FlaxVUtppvdMH2cK_poSNNmGjhZ9XSEtfaCoH2UrRg9DWVwlYhsLJWI_yijdkehRvVarMYEIGZX19hjOz0oCS7AvUVipaw-4WUst5hVJ0.mNczjw5rduO1y1c1rrmSyBykE6VGe1Pfdoa6cktdNFI&dib_tag=se&qid=1727753191&rnid=2941120011&s=office-products&sr=1-3&srs=24229290011&th=1,"Product Features: [""Soothing ink"", ""Fade-resistant ink"", ""Light-resistant ink"", ""Trendy pastel colors"", ""Reusable wallet"", ""Turquoise"", ""Mint"", ""Vanilla"", ""Peach"", ""Lavender"", ""Light Pink"", ""Chisel tip"", ""Line widths"", ""Barrel shape"", ""Larger ink capacity"", ""Anti-evaporation polypropylene barrel"", ""Highlighter freshness"", ""2 years"", ""Smart highlighter"", ""Brilliant results"", ""Standard paper"", ""Copy paper"", ""Fax papers"", ""if design award"", ""Red Dot design award"", ""Made in Germany""]"
"HP LaserJet Pro MFP M428fdw Wireless Monochrome All-in-One Printer with built-in Ethernet & 2-sided printing, works with Alexa (W1A30A)","2,088.90","Built to keep your business moving forward – Print, scan, copy and fax consistently high-quality documents with the HP LaserJet Pro Multifunction M428fdw, A wireless printer designed to let you focus on growing your business
HP WOLF PRO SECURITY – Protect company data and safeguard against cyberattacks with protection built into the printer hardware, firmware and OS
Automate complicated workflows - help save time by automating steps in a complicated workflow, and apply your saved settings at a touch of a button via the customizable control panel
Print with or without a network – use Built-in Wi-Fi Direct to connect your smartphone directly to your wireless laser printer for easy mobile printing, even without a local network connection
Speed through tasks – stay productive with single-pass, 2-sided scanning, 50-sheet auto document feeder, 250-sheet input tray, and Print speeds of up to 40 pages a minute from this multifunction Laser printer
Enhanced energy efficiency – designed with the environment in mind, HP LaserJet Pro MFP M428fdw saves up to 22% energy over prior products, with technologies that help reduce paper waste
Toner Cartridges you can trust – avoid reprints, wasted Supplies, and service calls by using original HP 58a/58x toner cartridges designed for your Multifunction Laser printer","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",4.4 out of 5 stars,"1,694 ratings",https://www.amazon.com/HP-LaserJet-Multifunction-M428fdw-Wireless/dp/B07RRFFMNN/ref=sr_1_4?dib=eyJ2IjoiMSJ9.J0pd6VMc_nHJN0sbUDqlSu6qpTKip5bMo4YXfcyZN5RTcPOqsUmoAzK2aUmE00w54TpFziUDGvqM5irxLqDNL-RKlvq9ZMWQ7fBcUMPfU-P1w_vC112CzXfCe02n91qyYyx5CBq1fg8DSjYhhVPIiM6_q0bg19Oj20EpdpPc374rRFNZ1rKbe2sfz1iJ1CcrU5FlaxVUtppvdMH2cK_poSNNmGjhZ9XSEtfaCoH2UrRg9DWVwlYhsLJWI_yijdkehRvVarMYEIGZX19hjOz0oCS7AvUVipaw-4WUst5hVJ0.mNczjw5rduO1y1c1rrmSyBykE6VGe1Pfdoa6cktdNFI&dib_tag=se&qid=1727753191&rnid=2941120011&s=office-products&sr=1-4&srs=24229290011,"Product Features: [""Print"", ""Scan"", ""Copy"", ""Fax"", ""HP LaserJet Pro Multifunction M428fdw"", ""Wireless printer"", ""HP WOLF PRO SECURITY"", ""Protection"", ""Printer hardware"", ""Firmware"", ""OS"", ""Automate"", ""Workflows"", ""Customizable control panel"", ""Wi-Fi Direct"", ""Smartphone"", ""Mobile printing"", ""Single-pass"", ""2-sided scanning"", ""50-sheet auto document feeder"", ""250-sheet input tray"", ""Print speeds of up to 40 pages a minute"", ""Enhanced energy efficiency"", ""Environment"", ""HP LaserJet Pro MFP M428fdw"", ""22% energy"", ""Technologies"", ""Paper waste"", ""Toner Cartridges"", ""Original HP 58a/58x toner cartridges""]"
"Xerox C310DNI Color Printer, Laser, Wireless, Print, Letter, Energy Star Certified, UP to 35PPM",369.99,"Perfect for small teams or home offices that need technology that fits in tight spaces and is easy to setup.
The Xerox C310 Color Printer is perfect for anyone looking for a small, reliable, wireless color printer.
1 Year Warranty","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",4.2 out of 5 stars,51 ratings,https://www.amazon.com/Xerox-C310-DNI-Wireless-Printer/dp/B09MVLBTZM/ref=sr_1_5?dib=eyJ2IjoiMSJ9.J0pd6VMc_nHJN0sbUDqlSu6qpTKip5bMo4YXfcyZN5RTcPOqsUmoAzK2aUmE00w54TpFziUDGvqM5irxLqDNL-RKlvq9ZMWQ7fBcUMPfU-P1w_vC112CzXfCe02n91qyYyx5CBq1fg8DSjYhhVPIiM6_q0bg19Oj20EpdpPc374rRFNZ1rKbe2sfz1iJ1CcrU5FlaxVUtppvdMH2cK_poSNNmGjhZ9XSEtfaCoH2UrRg9DWVwlYhsLJWI_yijdkehRvVarMYEIGZX19hjOz0oCS7AvUVipaw-4WUst5hVJ0.mNczjw5rduO1y1c1rrmSyBykE6VGe1Pfdoa6cktdNFI&dib_tag=se&qid=1727753191&rnid=2941120011&s=office-products&sr=1-5&srs=24229290011,"Product Features: [""small teams"", ""home offices"", ""technology"", ""spaces"", ""setup"", ""Xerox C310 Color Printer"", ""anyone"", ""small"", ""printer"", ""year"", ""warranty""]"
HP LaserJet Pro M404n Monochrome Printer with built-in Ethernet (W1A52A),570.99,"BUILT TO KEEP YOUR BUSINESS MOVING FORWARD – Print consistently high-quality documents with the HP LaserJet Pro M404n, a monochrome laser printer designed to let you focus on growing your business
HP WOLF PRO SECURITY – Protect company data and safeguard against cyberattacks with protection built into the printer hardware, firmware and OS
SPEED THROUGH TASKS – Stay productive with a 250-sheet input tray, fast first page out time, and print speeds of up to 40 pages per minute from this black and white laser printer
SHARE RESOURCES ON YOUR NETWORK – Easily access, print, and share resources with built-in Ethernet capabilities
ENHANCED ENERGY EFFICIENCY – Designed with the environment in mind, the HP LaserJet Pro M404n saves up to 18% energy over prior products, with technologies that help reduce paper waste
COMPACT SIZE - Make the most of your office space with a compact printer that conveniently fits into your shared work area
TONER CARTRIDGES YOU CAN TRUST – Avoid reprints, wasted supplies, and service calls by using Original HP 58A/58X toner cartridges designed for your monochrome laser printer","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",4.0 out of 5 stars,"1,102 ratings",https://www.amazon.com/HP-LaserJet-M404n-Monochrome-Printer/dp/B07RRFJ15R/ref=sr_1_6?dib=eyJ2IjoiMSJ9.J0pd6VMc_nHJN0sbUDqlSu6qpTKip5bMo4YXfcyZN5RTcPOqsUmoAzK2aUmE00w54TpFziUDGvqM5irxLqDNL-RKlvq9ZMWQ7fBcUMPfU-P1w_vC112CzXfCe02n91qyYyx5CBq1fg8DSjYhhVPIiM6_q0bg19Oj20EpdpPc374rRFNZ1rKbe2sfz1iJ1CcrU5FlaxVUtppvdMH2cK_poSNNmGjhZ9XSEtfaCoH2UrRg9DWVwlYhsLJWI_yijdkehRvVarMYEIGZX19hjOz0oCS7AvUVipaw-4WUst5hVJ0.mNczjw5rduO1y1c1rrmSyBykE6VGe1Pfdoa6cktdNFI&dib_tag=se&qid=1727753191&rnid=2941120011&s=office-products&sr=1-6&srs=24229290011,"Product Features: [""high-quality documents"", ""HP LaserJet Pro M404n"", ""monochrome laser printer"", ""HP WOLF PRO SECURITY"", ""protection"", ""printer hardware"", ""firmware"", ""OS"", ""250-sheet input tray"", ""first page out time"", ""print speeds"", ""40 pages per minute"", ""black and white laser printer"", ""built-in Ethernet capabilities"", ""energy efficiency"", ""environment"", ""HP LaserJet Pro M404n"", ""18% energy"", ""paper waste"", ""compact size"", ""office space"", ""compact printer"", ""Original HP 58A/58X toner cartridges"", ""monochrome laser printer""]"
"HP LaserJet Pro M404dn Monochrome Printer with built-in Ethernet & 2-sided printing, works with Alexa (W1A53A)",649.99,"Built to keep your business moving forward: Print consistently high-quality documents with the HP LaserJet Pro M404dn, A monochrome laser printer designed to let you focus on growing your business
HP WOLF PRO SECURITY – Protect company data and safeguard against cyberattacks with protection built into the printer hardware, firmware and OS
Speed through tasks: stay productive with automatic 2 sided printing, A 250 sheet input tray, fast first page out time, and Print speeds of up to 40 pages a minute from this Black and White laser printer
Share resources on your network: easily access, Print, and share resources with built in Ethernet capabilities
Enhanced energy efficiency: designed with the environment in mind, the HP LaserJet Pro M404dn saves up to 18 Percent energy over prior products, with technologies that help reduce paper waste
Compact size: make the most of your office space with a compact printer that conveniently fits into your shared work area
Toner Cartridges you can trust: avoid reprints, wasted Supplies, and service calls by using original HP 58a/58x toner cartridges designed for your monochrome laser printer","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",3.9 out of 5 stars,"1,237 ratings",https://www.amazon.com/HP-LaserJet-M404dn-Monochrome-Double-Sided/dp/B07RPCQX25/ref=sr_1_7?dib=eyJ2IjoiMSJ9.J0pd6VMc_nHJN0sbUDqlSu6qpTKip5bMo4YXfcyZN5RTcPOqsUmoAzK2aUmE00w54TpFziUDGvqM5irxLqDNL-RKlvq9ZMWQ7fBcUMPfU-P1w_vC112CzXfCe02n91qyYyx5CBq1fg8DSjYhhVPIiM6_q0bg19Oj20EpdpPc374rRFNZ1rKbe2sfz1iJ1CcrU5FlaxVUtppvdMH2cK_poSNNmGjhZ9XSEtfaCoH2UrRg9DWVwlYhsLJWI_yijdkehRvVarMYEIGZX19hjOz0oCS7AvUVipaw-4WUst5hVJ0.mNczjw5rduO1y1c1rrmSyBykE6VGe1Pfdoa6cktdNFI&dib_tag=se&qid=1727753191&rnid=2941120011&s=office-products&sr=1-7&srs=24229290011,"Product Features: [""high-quality documents"", ""HP LaserJet Pro M404dn"", ""monochrome laser printer"", ""HP WOLF PRO SECURITY"", ""company data"", ""cyberattacks"", ""printer hardware"", ""firmware"", ""OS"", ""automatic 2 sided printing"", ""250 sheet input tray"", ""first page out time"", ""Print speeds"", ""Black and White laser printer"", ""Ethernet capabilities"", ""energy efficiency"", ""environment"", ""paper waste"", ""compact size"", ""office space"", ""compact printer"", ""shared work area"", ""Toner Cartridges"", ""HP 58a/58x toner cartridges"", ""monochrome laser printer"", ""wasted Supplies"", ""service calls""]"
"KYOCERA ECOSYS M5526cdw All-in-One Color Laser Printer (Print/Copy/Scan/Fax), 27 ppm, Up to Fine 1200 dpi, Gigabit Ethernet, Wireless & Wi-Fi Direct, Standard Duplex, 4.3in Touchscreen Panel, 512 MB",759.00,"SPEED: Fast Output Speed at up to 27 Pages per Minute in Black and Color
ALL-IN-ONE: Standard Color Print, Copy, Scan and Black and White Fax
RESOLUTION: Up to 1200 x 1200 dpi
FEATURES: Standard Wireless and Wi-Fi Direct. Standard Duplex. Standard 50-sheet Dual Scan Document Processor for Quick Scanning of 2-sided Originals
MOBILE PRINTING: Apple AirPrint, Google Cloud Print, KYOCERA Mobile Print, Mopria","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",3.9 out of 5 stars,836 ratings,https://www.amazon.com/M5526cdw-Standard-Document-Processor-Interface/dp/B01M7Y6TWG/ref=sr_1_8?dib=eyJ2IjoiMSJ9.J0pd6VMc_nHJN0sbUDqlSu6qpTKip5bMo4YXfcyZN5RTcPOqsUmoAzK2aUmE00w54TpFziUDGvqM5irxLqDNL-RKlvq9ZMWQ7fBcUMPfU-P1w_vC112CzXfCe02n91qyYyx5CBq1fg8DSjYhhVPIiM6_q0bg19Oj20EpdpPc374rRFNZ1rKbe2sfz1iJ1CcrU5FlaxVUtppvdMH2cK_poSNNmGjhZ9XSEtfaCoH2UrRg9DWVwlYhsLJWI_yijdkehRvVarMYEIGZX19hjOz0oCS7AvUVipaw-4WUst5hVJ0.mNczjw5rduO1y1c1rrmSyBykE6VGe1Pfdoa6cktdNFI&dib_tag=se&qid=1727753191&rnid=2941120011&s=office-products&sr=1-8&srs=24229290011,"Product Features: [""Speed"", ""Output Speed"", ""Pages per Minute"", ""Color"", ""All-In-One"", ""Standard Color Print"", ""Copy"", ""Scan"", ""Black and White Fax"", ""Resolution"", ""dpi"", ""Features"", ""Standard Wireless"", ""Wi-Fi Direct"", ""Standard Duplex"", ""Standard 50-sheet Dual Scan Document Processor"", ""Quick Scanning"", ""2-sided Originals"", ""Mobile Printing"", ""Apple AirPrint"", ""Google Cloud Print"", ""KYOCERA Mobile Print"", ""Mopria""]"
Brother Hl-L5000D Business Laser Printer Duplex,279.98,"Design that delivers High availability, scalability, and for maximum flexibility and price/performance
Easy to install
The country of Origin is Viet name","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",4.3 out of 5 stars,135 ratings,https://www.amazon.com/Brother-HL-L5000D-Business-Printer-Duplex/dp/B01BHSL980/ref=sr_1_9?dib=eyJ2IjoiMSJ9.J0pd6VMc_nHJN0sbUDqlSu6qpTKip5bMo4YXfcyZN5RTcPOqsUmoAzK2aUmE00w54TpFziUDGvqM5irxLqDNL-RKlvq9ZMWQ7fBcUMPfU-P1w_vC112CzXfCe02n91qyYyx5CBq1fg8DSjYhhVPIiM6_q0bg19Oj20EpdpPc374rRFNZ1rKbe2sfz1iJ1CcrU5FlaxVUtppvdMH2cK_poSNNmGjhZ9XSEtfaCoH2UrRg9DWVwlYhsLJWI_yijdkehRvVarMYEIGZX19hjOz0oCS7AvUVipaw-4WUst5hVJ0.mNczjw5rduO1y1c1rrmSyBykE6VGe1Pfdoa6cktdNFI&dib_tag=se&qid=1727753191&rnid=2941120011&s=office-products&sr=1-9&srs=24229290011,"Product Features: [""Design"", ""High availability"", ""Scalability"", ""Flexibility"", ""Price/performance"", ""Easy installation"", ""Country of Origin""]"
"Xerox B310DNI Printer, Laser, B&W, Wireless, Print, Letter, Energy Star Certified, UP to 36PPM",268.50,"WORK FROM HOME: Perfect for small teams or home offices that need technology that fits in tight spaces and is easy to set up. The Xerox B310 Printer is perfect for anyone looking for a small, heavy-duty, reliable, wireless printer.
OUTSTANDING PERFORMANCE: Wireless printer, with print speeds of up to 40 A4-sized pages per minute, automatic two-sided printing, 250-sheet paper capacity and high-resolution image quality.
CONVENIENCE AND CONNECTIVITY: Built-in Wi-Fi and support for Apple AirPrint, Mopria Print Service and Chromebook printing means the B310 is made for users who print from a wide range of mobile devices. And, simple installation without the need for local IT support means you are up and running right out of the box
STAY SECURE: Comprehensive security features protect against rising and increasingly; sophisticated cyber threats by safeguarding access and protecting sensitive data and documents.
LESS WASTE: This printer minimises environmental impacts with features like automatic 2-sided and N-up printing to save paper. And, achieving EPEAT certification means the B310 meets comprehensive criteria for design, production, energy use and recycling. And our Green World Alliance programme offers hassle-free toner cartridge recycling.","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",4.3 out of 5 stars,13 ratings,https://www.amazon.com/Xerox-B310-Printer-Black-Wireless/dp/B09HRH7BKJ/ref=sr_1_10?dib=eyJ2IjoiMSJ9.J0pd6VMc_nHJN0sbUDqlSu6qpTKip5bMo4YXfcyZN5RTcPOqsUmoAzK2aUmE00w54TpFziUDGvqM5irxLqDNL-RKlvq9ZMWQ7fBcUMPfU-P1w_vC112CzXfCe02n91qyYyx5CBq1fg8DSjYhhVPIiM6_q0bg19Oj20EpdpPc374rRFNZ1rKbe2sfz1iJ1CcrU5FlaxVUtppvdMH2cK_poSNNmGjhZ9XSEtfaCoH2UrRg9DWVwlYhsLJWI_yijdkehRvVarMYEIGZX19hjOz0oCS7AvUVipaw-4WUst5hVJ0.mNczjw5rduO1y1c1rrmSyBykE6VGe1Pfdoa6cktdNFI&dib_tag=se&qid=1727753191&rnid=2941120011&s=office-products&sr=1-10&srs=24229290011,"Product Features: [""small teams"", ""home offices"", ""technology"", ""tight spaces"", ""Xerox B310 Printer"", ""heavy-duty"", ""reliable"", ""wireless printer"", ""print speeds"", ""A4-sized pages"", ""automatic two-sided printing"", ""250-sheet paper capacity"", ""high-resolution image quality"", ""built-in Wi-Fi"", ""Apple AirPrint"", ""Mopria Print Service"", ""Chromebook printing"", ""simple installation"", ""local IT support"", ""security features"", ""cyber threats"", ""sensitive data"", ""documents"", ""environmental impacts"", ""automatic 2-sided printing"", ""N-up printing"", ""EPEAT certification"", ""design"", ""production"", ""energy use"", ""recycling"", ""Green World Alliance programme"", ""toner cartridge recycling""]"
