name,price,description,sustainability_features,rating,number_of_reviews,product_page_url,product_features
Receptacle for Herman Miller® AO2® & Ethospace® Systems,9.95,"Duplex Receptacle Circuit D
8 Wire, 4 Circuit. 3+1 system use with OEM Power and other clone systems
Circuit D (# 4)
Receptacle, Duplex, 15 amp for AO2 Version 1 & 2 Power and Ethospace
FOR Ethopspace Panels. HMP555.04BK","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.5 out of 5 stars.,,https://www.amazon.com/Receptacle-Herman-MIller-Ethospace-Systems/dp/B01N7KLPK5/ref=sr_1_1?dib=eyJ2IjoiMSJ9.SYWUxC_0mpD2pX1ZUGasZANBnd18c7xswV5PEvNaAKUOKUvS7YfBghFtY1osBelS2_2lC3_ETTe1fg9E_hZ_ZZrIthfbbb3SSlhVshQ0JMZTMydMMr95hF1hETeprhu8b_KdHhZRuXx_KUGBC7km5bS5Oznc8IFqayDnSaaqGbL_t_UP9zfXzE9dhgCXICz9.asVuXo1LOgio5xJ5rWgfDIoxfrRGDVHthRFq5rMJiQg&dib_tag=se&qid=1727752676&rnid=2941120011&s=industrial&sr=1-1&srs=24000582011,"Product Features: [""Duplex Receptacle"", ""Circuit D"", ""8 Wire"", ""4 Circuit"", ""3+1 system"", ""OEM Power"", ""clone systems"", ""Receptacle"", ""15 amp"", ""AO2 Version 1 & 2"", ""Power"", ""Ethospace"", ""Ethopspace Panels"", ""HMP555.04BK""]"
Ergotron Neo-Flex Mobile MediaCenter UHD,29.0,,"Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",Previous page of related Sponsored Products,,https://www.amazon.com/Ergotron-Neo-Flex-Mobile-MediaCenter-UHD/dp/B00T3SZK9Q/ref=sr_1_2?dib=eyJ2IjoiMSJ9.SYWUxC_0mpD2pX1ZUGasZANBnd18c7xswV5PEvNaAKUOKUvS7YfBghFtY1osBelS2_2lC3_ETTe1fg9E_hZ_ZZrIthfbbb3SSlhVshQ0JMZTMydMMr95hF1hETeprhu8b_KdHhZRuXx_KUGBC7km5bS5Oznc8IFqayDnSaaqGbL_t_UP9zfXzE9dhgCXICz9.asVuXo1LOgio5xJ5rWgfDIoxfrRGDVHthRFq5rMJiQg&dib_tag=se&qid=1727752676&rnid=2941120011&s=industrial&sr=1-2&srs=24000582011,Product Features: []
"Humanscale Diffrient World Task Chair | Black Pinstrip Mesh Seat and Back | Black Frame, Black Trim | Height-Adjustable Duron Arms | Standard Foam Seat, 3"" Carpet Casters, 5"" Cylinder",169.99,"The Different World chair has just two manual settings: one each for seat height and seat depth, all other are automatic
Package Dimensions: 74.422 H x 59.69 L x 69.85 W (centimeters)
Package Weight: 17.645 kilograms
Country of Origin : China","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.7 out of 5 stars,16 ratings,https://www.amazon.com/Humanscale-Diffrient-World-Office-Chair/dp/B07XWH47FZ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.SYWUxC_0mpD2pX1ZUGasZANBnd18c7xswV5PEvNaAKUOKUvS7YfBghFtY1osBelS2_2lC3_ETTe1fg9E_hZ_ZZrIthfbbb3SSlhVshQ0JMZTMydMMr95hF1hETeprhu8b_KdHhZRuXx_KUGBC7km5bS5Oznc8IFqayDnSaaqGbL_t_UP9zfXzE9dhgCXICz9.asVuXo1LOgio5xJ5rWgfDIoxfrRGDVHthRFq5rMJiQg&dib_tag=se&qid=1727752676&rnid=2941120011&s=industrial&sr=1-3&srs=24000582011&th=1,"Product Features: [""chair"", ""manual settings"", ""seat height"", ""seat depth"", ""Package Dimensions"", ""centimeters"", ""Package Weight"", ""kilograms"", ""Country of Origin"", ""China""]"
"HON Fuse HAUFHR15N Storage Cube, Black",97.86,"Lockable door safely secures everything from personal valuables to private work
Hang Fuse Workplace Tools from the side to provide easy access to personal items
Storage on the side frees up valuable space inside the cubby for larger pieces
Mounts flush with the front of the worksurface for a tighter fit and finish
Moves with your height-adjustable workstation for easy access to your stored items","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.1 out of 5 stars,,https://www.amazon.com/HON-Undermount-Storage-Cubby-Charcoal/dp/B082B1TJQQ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.SYWUxC_0mpD2pX1ZUGasZANBnd18c7xswV5PEvNaAKUOKUvS7YfBghFtY1osBelS2_2lC3_ETTe1fg9E_hZ_ZZrIthfbbb3SSlhVshQ0JMZTMydMMr95hF1hETeprhu8b_KdHhZRuXx_KUGBC7km5bS5Oznc8IFqayDnSaaqGbL_t_UP9zfXzE9dhgCXICz9.asVuXo1LOgio5xJ5rWgfDIoxfrRGDVHthRFq5rMJiQg&dib_tag=se&qid=1727752676&rnid=2941120011&s=industrial&sr=1-4&srs=24000582011,"Product Features: [""Lockable door"", ""Personal valuables"", ""Private work"", ""Hang Fuse Workplace Tools"", ""Storage"", ""Side"", ""Valuable space"", ""Cubby"", ""Larger pieces"", ""Mounts"", ""Worksurface"", ""Tighter fit"", ""Finish"", ""Height-adjustable workstation"", ""Stored items""]"
"HON Fuse HAUFHR15N Storage Cube, White",101.21,"Lockable door safely secures everything from personal valuables to private work
Hang Fuse Workplace Tools from the side to provide easy access to personal items
Storage on the side frees up valuable space inside the cubby for larger pieces
Mounts flush with the front of the worksurface for a tighter fit and finish
Moves with your height-adjustable workstation for easy access to your stored items","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.2 out of 5 stars,1 rating,https://www.amazon.com/HON-Fuse-Undermount-Storage-Cubby/dp/B082B2Q5BD/ref=sr_1_5?dib=eyJ2IjoiMSJ9.SYWUxC_0mpD2pX1ZUGasZANBnd18c7xswV5PEvNaAKUOKUvS7YfBghFtY1osBelS2_2lC3_ETTe1fg9E_hZ_ZZrIthfbbb3SSlhVshQ0JMZTMydMMr95hF1hETeprhu8b_KdHhZRuXx_KUGBC7km5bS5Oznc8IFqayDnSaaqGbL_t_UP9zfXzE9dhgCXICz9.asVuXo1LOgio5xJ5rWgfDIoxfrRGDVHthRFq5rMJiQg&dib_tag=se&qid=1727752676&rnid=2941120011&s=industrial&sr=1-5&srs=24000582011,"Product Features: [""Lockable door"", ""personal valuables"", ""private work"", ""Fuse Workplace Tools"", ""personal items"", ""Storage"", ""space"", ""cubby"", ""larger pieces"", ""front"", ""worksurface"", ""fit"", ""finish"", ""height-adjustable workstation"", ""stored items""]"
"Evolve Series Dual Monitor Arm with 2 Motion Limbs, Silver: ESI Ergo EVOLVE2-M-SLV (1 Monitor Arm)",449.0,"Evolve Series Dual Monitor Arm with 2 Motion Limbs, Silver: ESI Ergo EVOLVE2-M-SLV
(Qty of 1 in Cart = 1 Monitor Arm)
Dual Monitor Arm.
Dynamic Height Adjustment.
Monitor Extension, 16.25"", Monitor Retraction, 3"".","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.3 out of 5 stars,,https://www.amazon.com/Evolve-Monitor-Motion-Limbs-Silver/dp/B079VSJMKL/ref=sr_1_6?dib=eyJ2IjoiMSJ9.SYWUxC_0mpD2pX1ZUGasZANBnd18c7xswV5PEvNaAKUOKUvS7YfBghFtY1osBelS2_2lC3_ETTe1fg9E_hZ_ZZrIthfbbb3SSlhVshQ0JMZTMydMMr95hF1hETeprhu8b_KdHhZRuXx_KUGBC7km5bS5Oznc8IFqayDnSaaqGbL_t_UP9zfXzE9dhgCXICz9.asVuXo1LOgio5xJ5rWgfDIoxfrRGDVHthRFq5rMJiQg&dib_tag=se&qid=1727752676&rnid=2941120011&s=industrial&sr=1-6&srs=24000582011&th=1,"Product Features: [""Evolve Series"", ""Dual Monitor Arm"", ""2 Motion Limbs"", ""Silver"", ""ESI Ergo"", ""EVOLVE2-M-SLV"", ""Dynamic Height Adjustment"", ""Monitor Extension, 16.25\"""", ""Monitor Retraction, 3\""""]"
"HON Motivate Seating Nesting/Stacking Flex-Back Chair, Black/Onyx/Platinum",567.29,,"Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",3.8 out of 5 stars,,https://www.amazon.com/HON-Motivate-Stacking-Flex-Back-Platinum/dp/B00LMBMB4E/ref=sr_1_7?dib=eyJ2IjoiMSJ9.SYWUxC_0mpD2pX1ZUGasZANBnd18c7xswV5PEvNaAKUOKUvS7YfBghFtY1osBelS2_2lC3_ETTe1fg9E_hZ_ZZrIthfbbb3SSlhVshQ0JMZTMydMMr95hF1hETeprhu8b_KdHhZRuXx_KUGBC7km5bS5Oznc8IFqayDnSaaqGbL_t_UP9zfXzE9dhgCXICz9.asVuXo1LOgio5xJ5rWgfDIoxfrRGDVHthRFq5rMJiQg&dib_tag=se&qid=1727752676&rnid=2941120011&s=industrial&sr=1-7&srs=24000582011,"The product description provided (""nan"") does not contain any information or descriptive content to extract product features from. 

Product Features: []"
"The HON Company Vertical File Cabinet,2 Drw w/Lock,Ltr,15""x26-1/2""x29"",CCL",562.22,,"Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",3.8 out of 5 stars,,https://www.amazon.com/HON-Company-Vertical-Cabinet-x26-1/dp/B00CUTE4OM/ref=sr_1_8?dib=eyJ2IjoiMSJ9.SYWUxC_0mpD2pX1ZUGasZANBnd18c7xswV5PEvNaAKUOKUvS7YfBghFtY1osBelS2_2lC3_ETTe1fg9E_hZ_ZZrIthfbbb3SSlhVshQ0JMZTMydMMr95hF1hETeprhu8b_KdHhZRuXx_KUGBC7km5bS5Oznc8IFqayDnSaaqGbL_t_UP9zfXzE9dhgCXICz9.asVuXo1LOgio5xJ5rWgfDIoxfrRGDVHthRFq5rMJiQg&dib_tag=se&qid=1727752676&rnid=2941120011&s=industrial&sr=1-8&srs=24000582011,Product Features: []
Humanscale Horizon Light Black,500.0,,"Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",5.0 out of 5 stars,1 rating,https://www.amazon.com/Horizon-HNBEW-Humanscale-Light-Black/dp/B007R7I5NS/ref=sr_1_9?dib=eyJ2IjoiMSJ9.SYWUxC_0mpD2pX1ZUGasZANBnd18c7xswV5PEvNaAKUOKUvS7YfBghFtY1osBelS2_2lC3_ETTe1fg9E_hZ_ZZrIthfbbb3SSlhVshQ0JMZTMydMMr95hF1hETeprhu8b_KdHhZRuXx_KUGBC7km5bS5Oznc8IFqayDnSaaqGbL_t_UP9zfXzE9dhgCXICz9.asVuXo1LOgio5xJ5rWgfDIoxfrRGDVHthRFq5rMJiQg&dib_tag=se&qid=1727752676&rnid=2941120011&s=industrial&sr=1-9&srs=24000582011,Product Features: []
"Element 790 Table Lamp with Dimmer Mount: Access Rail, Finish: White",287.0,,"Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.4 out of 5 stars,,https://www.amazon.com/Element-Table-Lamp-Dimmer-Mount/dp/B00584T99G/ref=sr_1_10?dib=eyJ2IjoiMSJ9.SYWUxC_0mpD2pX1ZUGasZANBnd18c7xswV5PEvNaAKUOKUvS7YfBghFtY1osBelS2_2lC3_ETTe1fg9E_hZ_ZZrIthfbbb3SSlhVshQ0JMZTMydMMr95hF1hETeprhu8b_KdHhZRuXx_KUGBC7km5bS5Oznc8IFqayDnSaaqGbL_t_UP9zfXzE9dhgCXICz9.asVuXo1LOgio5xJ5rWgfDIoxfrRGDVHthRFq5rMJiQg&dib_tag=se&qid=1727752676&rnid=2941120011&s=industrial&sr=1-10&srs=24000582011,Product Features: []
