name,price,description,sustainability_features,rating,number_of_reviews,product_page_url,product_features
Humanscale NTLGG Cable Management,139.0,,"Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.3 out of 5 stars,4 ratings,https://www.amazon.com/Humanscale-NTLGG-HumanScale-Cable-Management/dp/B012X8AGSW/ref=sr_1_1?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-1&srs=24000582011,"The product description provided is ""nan"", which does not contain any describable features or attributes. Therefore: 

Product Features: []"
Humanscale Element Disk Task Light: Desktop Base - Silver,399.99,"PIR occupancy sensor automatically turns the unit off when not in use, and back on when the user returns
Dimmer switch provides seven adjustable illumination levels for energyefficiency and ergonomic function
Smart dimming memory saves the last selected lighting level, even after the light has been shut off
Perfect internal counterbalance provides effortless, one-touch positioning
Slender, futuristic form folds into a compact nesting position","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.3 out of 5 stars,11 ratings,https://www.amazon.com/Humanscale-Element-Disk-Task-Light/dp/B00KEN8ZTQ/ref=sr_1_2?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-2&srs=24000582011&th=1,"Product Features: [""PIR occupancy sensor"", ""unit"", ""Dimmer switch"", ""illumination levels"", ""Smart dimming memory"", ""lighting level"", ""internal counterbalance"", ""form""]"
Humanscale Horizon 2.0 LED Task Light - Jet Black (Semi-Matte),299.0,"Touch dimming feature allows the user to adjust brightness level exactly to their preference.
Buttonless interface prevents buildup of dirt and liquids from entering the fixture.
Even plane LED illumination is ultra-wide and glare-free, casting a single shadow, and removing visual clutter.
Achieves Energy Star 2.0 certification
Lifespan of 50,000 hours (or approximately 10 years)","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.4 out of 5 stars,1 rating,https://www.amazon.com/Humanscale-Horizon-Task-Light-Black/dp/B086TWGF6X/ref=sr_1_3?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-3&srs=24000582011&th=1,"Product Features: [""Touch dimming feature"", ""Buttonless interface"", ""Even plane LED illumination"", ""Energy Star 2.0 certification"", ""Lifespan of 50,000 hours""]"
"Element 790 Table Lamp with Dimmer Mount: No Mount, Finish: Silver",287.0,,"Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.4 out of 5 stars,,https://www.amazon.com/Element-Table-Lamp-Dimmer-Mount/dp/B00FNA9PN0/ref=sr_1_4?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-4&srs=24000582011,Product Features: []
"HON Fuse HAUFHR15N Storage Cube, Black",97.86,"Lockable door safely secures everything from personal valuables to private work
Hang Fuse Workplace Tools from the side to provide easy access to personal items
Storage on the side frees up valuable space inside the cubby for larger pieces
Mounts flush with the front of the worksurface for a tighter fit and finish
Moves with your height-adjustable workstation for easy access to your stored items","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.1 out of 5 stars,,https://www.amazon.com/HON-Undermount-Storage-Cubby-Charcoal/dp/B082B1TJQQ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-5&srs=24000582011,"Product Features: [""Lockable door"", ""personal valuables"", ""private work"", ""Hang Fuse Workplace Tools"", ""Storage on the side"", ""cubby"", ""larger pieces"", ""worksurface"", ""tighter fit and finish"", ""height-adjustable workstation"", ""stored items""]"
"Element 790 Table Lamp with Dimmer Mount: Clamp, Finish: Silver",229.0,"Element 790 Table Lamp with Dimmer Mount: Clamp, Finish: Silver","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.3 out of 5 stars,,https://www.amazon.com/Element-Table-Lamp-Dimmer-Mount/dp/B00FNAA35O/ref=sr_1_6?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-6&srs=24000582011,"Product Features: [""Table Lamp"", ""Dimmer"", ""Mount"", ""Clamp"", ""Finish"", ""Silver""]"
"HON Fuse HAUFHR15N Storage Cube, White",101.21,"Lockable door safely secures everything from personal valuables to private work
Hang Fuse Workplace Tools from the side to provide easy access to personal items
Storage on the side frees up valuable space inside the cubby for larger pieces
Mounts flush with the front of the worksurface for a tighter fit and finish
Moves with your height-adjustable workstation for easy access to your stored items","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.2 out of 5 stars,1 rating,https://www.amazon.com/HON-Fuse-Undermount-Storage-Cubby/dp/B082B2Q5BD/ref=sr_1_7?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-7&srs=24000582011,"Product Features: [""Lockable door"", ""personal valuables"", ""private work"", ""Fuse Workplace Tools"", ""side"", ""personal items"", ""storage"", ""cubby"", ""larger pieces"", ""worksurface"", ""tighter fit"", ""finish"", ""height-adjustable workstation"", ""stored items""]"
"Quick Crank Base with 30"" Feet, Silver: ESI Ergo QCRANK-30S-SLV (1 Crank Table Base)",615.0,"Quick Crank Base With 30"" Feet, Silver: ESI Ergo QCRANK-30S-SLV
(Qty of 1 in Cart = 1 Crank Table Base)
Hand Crank Table Base.
This non-electric table base is ideal for mobile workstations, training rooms, and classrooms.
Height Adjustment Range 17.7"", Low, 24.8"", High, 42.5"".","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.2 out of 5 stars,,https://www.amazon.com/Quick-Crank-Base-Feet-Silver/dp/B079VR3D1T/ref=sr_1_8?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-8&srs=24000582011,"Product Features: [""Quick Crank Base"", ""30\"" Feet"", ""Silver"", ""ESI Ergo QCRANK-30S-SLV"", ""Crank Table Base"", ""non-electric table base"", ""mobile workstations"", ""training rooms"", ""classrooms"", ""Height Adjustment Range 17.7\"""", ""Low 24.8\"""", ""High 42.5\""""]"
"File Buddy Vinyl Swivel Stool Black Vinyl/Black Base Dimensions: 16.25-21.25""H x 14"" Diameter Seat Dimensions: 16.25-21.25""Hx14""DIA",249.0,"Global Furniture, File Buddy Collection, Dimensions: 16.25-21.25""H x 14"" Diameter. Seat Dimensions: 16.25-21.25""Hx14""DIA. Weight: 70 lbs.
Adjustable seat height. Upholstery: vinyl. Ships fully assembled.
Complete any job with ease using the File Buddy swivel stool. This stool is ideal for use while completing tasks like filing, where movement is necessary. It is easy to roll on any type of flooring and the seat can be adjusted from 16.25"" up to 21.25""H. This stool features a 14""DIA vinyl upholstered seat that allows for easy cleaning.
The sturdy 20"" base is made of an injection molding and features five casters for easy movement on carpets and hard floors. Ships fully assembled. This product has been Level 3 certified. Level certified means the product, production processes, and the manufacturer have met sustainability standards through a multi-attribute scorecard. The scorecard takes into account materials, energy and atmosphere, human and ecosystem health, and social responsibility.
The furniture color is subject to the title and description, pictures for reference only. We still have other available color, please contact us to get best offer. Available option: Black Vinyl/Black Base","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",4.2 out of 5 stars,,https://www.amazon.com/Buddy-Vinyl-Swivel-Stool-Dimensions/dp/B075VPR4BW/ref=sr_1_9?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-9&srs=24000582011,"Product Features: [""Global Furniture"", ""File Buddy Collection"", ""Dimensions"", ""Seat Dimensions"", ""Weight"", ""Adjustable seat height"", ""Upholstery"", ""vinyl"", ""Ships fully assembled"", ""swivel stool"", ""movement"", ""easy"", ""seat"", ""adjusted"", ""vinyl upholstered seat"", ""easy cleaning"", ""sturdy"", ""base"", ""injection molding"", ""casters"", ""movement"", ""carpets"", ""hard floors"", ""Level 3 certified"", ""sustainability standards"", ""multi-attribute scorecard"", ""furniture color"", ""available color"", ""Black Vinyl/Black Base""]"
ACPD01 Pencil Drawer,99.0,"Black Pencil Drawer, 20.5""W x 16.25""D x 2""H: ESI Ergo ACPD01
(Qty of 1 in Cart = 1 Pencil Drawer)
Pencil Drawer in Black with Inside drawer dimensions, 20.5""W X 16.25""D X 2"" H.
Pencil Drawer Opening requirements, 23""W X 16.25""D X 2""H.
Black Pencil Drawer retracts on 16"" ball bearing slides.","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
",Previous page,,https://www.amazon.com/ESI-Ergo-ACPD01-Pencil-Drawer/dp/B01ASEGYZW/ref=sr_1_10?dib=eyJ2IjoiMSJ9.nxEIQuY-Cqkel0XOS0bAZCLdpJPT7y7n3ccTL1v55HSvbhOQa-RzbCnPLcwTAZ4XCQlK0oAYaAv7oJoTyWVYZe627X36TDyRn_D5fkRuSS8fc0kl7wtp0G0Ui3wADXVr6ya3GRDHYg0GjbMVAcOdSpNs3XSo3hK2eNs536e9s8u83w7VsG39N11pBF4qaktt7okMpwZUCdx-4udG-FzYyq0W03h9pPFn1yplE6zt-xCHPwCvblPupRwJLdC9fcgIdMOqhJan6eorzHZlTGjeQChT00yvcYiSkIEmMWg3H1I.0qgq-6TLaKFHf72pGN3KkpV93hpECWp3tWnwWST1TtQ&dib_tag=se&qid=1727752833&rnid=2941120011&s=hi&sr=1-10&srs=24000582011,"Product Features: [""Black Pencil Drawer"", ""20.5\""W"", ""16.25\""D"", ""2\""H"", ""ESI Ergo ACPD01"", ""Inside drawer dimensions"", ""Pencil Drawer Opening requirements"", ""23\""W"", ""16.25\""D"", ""2\""H"", ""16\"" ball bearing slides""]"
