name,price,description,sustainability_features,rating,number_of_reviews,product_page_url,product_features
"QEEIG Bathroom Floating Shelves for Wall - Shelf Over Toilet Small Wall Mounted Farmhouse Decor 16 inch Set of 2, Rustic Brown (008-40BN)",24.82,"Engineered Wood
Material: Medium Density Fiberboard (MDF)
Maximize Your Space: 6.7""D x 15.7""W x 1.5""H. 6.7"" depth, ideal for books, baskets, toilet paper, or towels. Includes 2 shelves for optimal use of space
Reliable Support: Enhanced steel brackets, up to 25 lbs capacity, 2.5° upward angle keeps items steady and sag-free
Invisible Bracket: Bring farmhouse charm to unused wall areas above toilet, desks, fireplaces, or vanities. Display succulents, small items, and collectibles
Effortless Assembly: Detailed instructions make solo assembly a breeze, done in just a few minutes
Warm Tips: Not solid wood. Slight color differences may occur due to lighting and screen settings","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
",4.5 out of 5 stars,"7,481 ratings",https://www.amazon.com/QEEIG-Floating-Bathroom-Shelving-Farmhouse/dp/B094FPRBQ6/ref=sr_1_1?dib=eyJ2IjoiMSJ9.8GQisOmAZznf38tJzlc_ivxTSlGeETfDgxQap6dSjVkXjRNj0qvKeolrtrqaTn70xa1TPowtgvqya9YBFCany-Qz-HvVfQYAa1O6qsk_UOdTq2B5k2OBACw9JyoNINKYR4RfzF66lNdes8R1bGovRPxGAdVdgaM5Y1d4l7OwL03LHklRh4IhF9Q5xdoiQfV4TEjNdD35wi0rkQiJ17NskVRCWOvhtzZ-ViBpZ3t4jGe9Cu4iF_C0FkUGeqA5NsupUmeAiN0K6umcLN3wRgaTr8Eawh8TXOLJEa4iBT2JQ6Y.NspbjlG0GItgtpO6C2T05wbteLBrwe_u5bcpGU2cs1o&dib_tag=se&qid=1727754033&rnid=2941120011&s=hi&sr=1-1&srs=21417082011,"Product Features: [""Engineered Wood"", ""Medium Density Fiberboard (MDF)"", ""Space"", ""Shelves"", ""Steel Brackets"", ""Capacity"", ""Angle"", ""Bracket"", ""Assembly"", ""Instructions""]"
"If You Care # 4 Cone Shaped Unbleached All Natural Compostable Coffee Filters, 100 Count (Pack of 1), Chlorine Free",6.92,"These coffee filters are designed to give lovers of freshly ground coffee maximum pleasure while having the least possible environmental impact
First FSC Certified Coffee Filters
Unbleached filters
Made from Totally Chlorine free Paper
Great for Food Service or home use","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
",4.6 out of 5 stars,"5,425 ratings",https://www.amazon.com/Care-Unbleached-Coffee-Filters-count/dp/B000KBNTM0/ref=sr_1_2?dib=eyJ2IjoiMSJ9.8GQisOmAZznf38tJzlc_ivxTSlGeETfDgxQap6dSjVkXjRNj0qvKeolrtrqaTn70xa1TPowtgvqya9YBFCany-Qz-HvVfQYAa1O6qsk_UOdTq2B5k2OBACw9JyoNINKYR4RfzF66lNdes8R1bGovRPxGAdVdgaM5Y1d4l7OwL03LHklRh4IhF9Q5xdoiQfV4TEjNdD35wi0rkQiJ17NskVRCWOvhtzZ-ViBpZ3t4jGe9Cu4iF_C0FkUGeqA5NsupUmeAiN0K6umcLN3wRgaTr8Eawh8TXOLJEa4iBT2JQ6Y.NspbjlG0GItgtpO6C2T05wbteLBrwe_u5bcpGU2cs1o&dib_tag=se&qid=1727754033&rnid=2941120011&s=hi&sr=1-2&srs=21417082011&th=1,"Product Features: [""coffee filters"", ""pleasure"", ""impact"", ""FSC Certified Coffee Filters"", ""Unbleached filters"", ""Paper"", ""Food Service"", ""home use""]"
"Duck Clean Release Blue Painter's Tape, 2-Inch (1.88-Inch x 60-Yard), Single Roll, 240195",5.97,"Ideal for a variety of surfaces including painted walls, trim, glass, wood and metal
UV-resistant for safe use on indoor and outdoor projects
14-day clean removal without residue, in indirect or no sunlight
Medium adhesion tape offers good quick-stick with easy removal
Available in a variety of sizes","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
",4.7 out of 5 stars,"14,152 ratings",https://www.amazon.com/Duck-Release-Painters-1-88-Inch-240195/dp/B000BQRP9W/ref=sr_1_3?dib=eyJ2IjoiMSJ9.8GQisOmAZznf38tJzlc_ivxTSlGeETfDgxQap6dSjVkXjRNj0qvKeolrtrqaTn70xa1TPowtgvqya9YBFCany-Qz-HvVfQYAa1O6qsk_UOdTq2B5k2OBACw9JyoNINKYR4RfzF66lNdes8R1bGovRPxGAdVdgaM5Y1d4l7OwL03LHklRh4IhF9Q5xdoiQfV4TEjNdD35wi0rkQiJ17NskVRCWOvhtzZ-ViBpZ3t4jGe9Cu4iF_C0FkUGeqA5NsupUmeAiN0K6umcLN3wRgaTr8Eawh8TXOLJEa4iBT2JQ6Y.NspbjlG0GItgtpO6C2T05wbteLBrwe_u5bcpGU2cs1o&dib_tag=se&qid=1727754033&rnid=2941120011&s=hi&sr=1-3&srs=21417082011&th=1,"Product Features: [""variety of surfaces"", ""painted walls"", ""trim"", ""glass"", ""wood"", ""metal"", ""UV-resistant"", ""indoor and outdoor projects"", ""14-day clean removal"", ""residue"", ""indirect or no sunlight"", ""Medium adhesion tape"", ""good quick-stick"", ""easy removal"", ""variety of sizes""]"
"FROGTAPE Multi-Surface Painter's Tape with PAINTBLOCK, Medium Adhesion, 0.94"" Wide x 60 Yards Long, Green (1358463)",6.49,"Advanced PaintBlock Technology: FROGTAPE Multi-Surface Painter's Tape is equipped with innovative PaintBlock Technology, which forms a micro-barrier that seals the edges of the tape.
Versatile Application: This painter's tape is designed for use on multiple surfaces, including painted walls, trim, woodwork, glass, metal, and more.
Long-lasting Performance: With a generous length of 60 yards, this FROGTAPE roll offers ample coverage for large painting projects, saving you time and effort on frequent tape changes.
Easy Removal: Despite its strong adhesion during painting, FROGTAPE Multi-Surface Painter's Tape is easy to remove without damaging the underlying surface or leaving sticky residue behind.
Vibrant Green Color: The bright green color of this painter's tape provides excellent visibility against most paint colors, making it easy to see and align for precise application.","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
",4.7 out of 5 stars,"16,701 ratings",https://www.amazon.com/FrogTape-1358463-Multi-Surface-Painting-Inches/dp/B002Z8HB2A/ref=sr_1_4?dib=eyJ2IjoiMSJ9.8GQisOmAZznf38tJzlc_ivxTSlGeETfDgxQap6dSjVkXjRNj0qvKeolrtrqaTn70xa1TPowtgvqya9YBFCany-Qz-HvVfQYAa1O6qsk_UOdTq2B5k2OBACw9JyoNINKYR4RfzF66lNdes8R1bGovRPxGAdVdgaM5Y1d4l7OwL03LHklRh4IhF9Q5xdoiQfV4TEjNdD35wi0rkQiJ17NskVRCWOvhtzZ-ViBpZ3t4jGe9Cu4iF_C0FkUGeqA5NsupUmeAiN0K6umcLN3wRgaTr8Eawh8TXOLJEa4iBT2JQ6Y.NspbjlG0GItgtpO6C2T05wbteLBrwe_u5bcpGU2cs1o&dib_tag=se&qid=1727754033&rnid=2941120011&s=hi&sr=1-4&srs=21417082011&th=1,"Product Features: [""PaintBlock Technology"", ""micro-barrier"", ""edges"", ""painter's tape"", ""multiple surfaces"", ""painted walls"", ""trim"", ""woodwork"", ""glass"", ""metal"", ""length"", ""60 yards"", ""FROGTAPE roll"", ""coverage"", ""projects"", ""removal"", ""adhesion"", ""surface"", ""residue"", ""green color"", ""visibility"", ""colors"", ""application""]"
"True HEPA Core Mini Replacement Filter for Levoit Core Mini Air Purifier, 3-in-1 HEPA, High-Efficiency Activated Carbon, 2 Filter & 6 Fragrance Sponge",19.99,"【Premium Replacement Filter】: Perfectly Compatible with LEVOIT Core Mini Air Puri-fiers. Our replacement filter is specially designed with advanced technology to keep your machine running at peak performance. *NOTE: This filter is ONLY compatible with LEVOIT Core Mini Air Purifier. Please check your air purifier model before purchasing
【3-in-1 True HEPA Filtration System】: H13 Grade True HEPA Filter captures 99.97% of airborne particles down to 0.3 microns in size such as fine dust, pet dander,smoke particles. The Pre-Filter, True HEPA Filter, and Activated Carbon Filter work together to remove unwanted odors and airborne particles, significantly improving air quality in your living space
【High Efficiency & Extended Lifespan】: Our replacement filter adopts advanced energy-saving and lower density structure technology, ensuring high efficiency and low wind resistance. The use of non-woven fabric and activated carbon contributes to a longer service life and energy savings
【Value Pack & Easy to Use】: The package includes 2 Core Mini replacement filters & 6 Fragrance Sponges, providing great value for almost a year. Our filters are easy to install, clean, and replace. We recommend cleaning the filter every 2-4 weeks and replacing it every 4-6 months to maintain optimum performance
【Customer Satisfaction 】: We're committed to providing high-quality and cost-effective air puri-fier filters to create a better living environment for our customers.Our customer service team is ready to provide you with satisfactory service around the clock","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
",4.7 out of 5 stars,820 ratings,https://www.amazon.com/Replacement-Compatible-Purifiers-Efficiency-Fragrance/dp/B09VX861QQ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.8GQisOmAZznf38tJzlc_ivxTSlGeETfDgxQap6dSjVkXjRNj0qvKeolrtrqaTn70xa1TPowtgvqya9YBFCany-Qz-HvVfQYAa1O6qsk_UOdTq2B5k2OBACw9JyoNINKYR4RfzF66lNdes8R1bGovRPxGAdVdgaM5Y1d4l7OwL03LHklRh4IhF9Q5xdoiQfV4TEjNdD35wi0rkQiJ17NskVRCWOvhtzZ-ViBpZ3t4jGe9Cu4iF_C0FkUGeqA5NsupUmeAiN0K6umcLN3wRgaTr8Eawh8TXOLJEa4iBT2JQ6Y.NspbjlG0GItgtpO6C2T05wbteLBrwe_u5bcpGU2cs1o&dib_tag=se&qid=1727754033&rnid=2941120011&s=hi&sr=1-5&srs=21417082011&th=1,"Product Features: [""Premium Replacement Filter"", ""Advanced technology"", ""3-in-1 True HEPA Filtration System"", ""H13 Grade True HEPA Filter"", ""Pre-Filter"", ""True HEPA Filter"", ""Activated Carbon Filter"", ""High Efficiency"", ""Extended Lifespan"", ""Non-woven Fabric"", ""Energy Savings"", ""Value Pack"", ""Ease of Use"", ""Customer Satisfaction"", ""Fragrance Sponges""]"
"Core 200S H13 True HEPA Replacement Filter for LEVOIT Core 200S Smart WiFi Air Puri-Fier, 3-in-1 True HEPA Activated Carbon Pre-Filter, Core 200S-RF【Not for Vista 200】 2 Pack",22.99,"【𝗣𝗘𝗥𝗙𝗘𝗖𝗧 𝗙𝗢𝗥 𝗖𝗢𝗥𝗘 𝟮𝟬𝟬𝗦 】iSingo Core 200S replacement filt-er works fully compatible with LEVOIT Core 200S Smart WiFi Air Purifie-r. Compared to Part # Core 200S-RF. NOTE: Not for Vista 200/Core 300S/400S/600S/Mini. This is not an OEM product. Any use of the brand name or model designation for this product is made solely to demonstrate compatibility.
【 𝟯-𝗜𝗡-𝟭 𝗙𝗜𝗟𝗧*𝗥𝗔𝗧𝗜𝗢𝗡】iSingo Core 200S replacement filt-er for Levoit adopts 3-in-1 H13 True HEPA Filtration System ( ①Nylon Preliminary Filt-er ②H13 Grade True HEPA Filt-er ③Activated Carbon Filt-er ) to filt-er 99.97% of airborne particles down to 0.3 microns in size to improve air quality in your living space and promote better health.
【𝗦𝗨𝗣𝗘𝗥 𝗖𝗥𝗔𝗙𝗧&𝗧𝗘𝗖𝗛𝗡𝗢𝗟𝗢𝗚𝗬】iSingo H13 True HEPA filt-er for levoit Core 200S replacement filt-er is made of high-quality non-woven fabric, H13 Grade HEPA filt-er and activated carbon, and adopt advanced lower energy consumption and lower density structure technology, with lower wind resistance, higher efficiency and less pressure to ensure maximum filtration. The upgraded Core 200S filt-er ensures energy saving and a longer service life.
【𝗛𝗜𝗚𝗛 𝗣𝗘𝗥𝗙𝗢𝗥𝗠𝗔𝗡𝗖𝗘】Enjoy fresh air all year round with iSingo Core 200S filt-er to ease uncomfortable symptoms caused by problematic air. H13 True HEPA Filt-er works alongside the Pre-Filt-er and High-Efficiency Activated Carbon Filt-er to work for pet dander, and hair, and solve the problem of unpleasant odors and gases.
【𝗩𝗔𝗟𝗨𝗔𝗕𝗟𝗘 𝗣𝗔𝗖𝗞𝗔𝗚𝗘𝗦】Package includes 2 x Core 200S Replacement Filt-er. Size: 7.09 x 7.09 x 5.24 inches. Our Replacement for levoit Core 200S replacement filt-er contains all the required parts to complete the standard installation of your Core 200S air purifie-r. We recommend you to replace the filt-er every 6-8 months for optimal performance (depending upon your usage). Easy installation.
【𝗦𝗛𝗢𝗣 𝗪𝗜𝗧𝗛 𝗖𝗢𝗡𝗙𝗜𝗗𝗘𝗡𝗖𝗘】 Compatible with levoit Core 200S replacement filt-er is a great addition to your daily life! iSingo team is always available to assist you and provide the best customer service experience. If you have any questions about the Core 200S-RF replacement filt-er, please feel free to contact us, we are committed to offering high-quality products and providing efficient customer service.","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
",4.7 out of 5 stars,"1,180 ratings",https://www.amazon.com/iSingo-200S-Replacement-Filter-Set/dp/B0924FD74V/ref=sr_1_6?dib=eyJ2IjoiMSJ9.8GQisOmAZznf38tJzlc_ivxTSlGeETfDgxQap6dSjVkXjRNj0qvKeolrtrqaTn70xa1TPowtgvqya9YBFCany-Qz-HvVfQYAa1O6qsk_UOdTq2B5k2OBACw9JyoNINKYR4RfzF66lNdes8R1bGovRPxGAdVdgaM5Y1d4l7OwL03LHklRh4IhF9Q5xdoiQfV4TEjNdD35wi0rkQiJ17NskVRCWOvhtzZ-ViBpZ3t4jGe9Cu4iF_C0FkUGeqA5NsupUmeAiN0K6umcLN3wRgaTr8Eawh8TXOLJEa4iBT2JQ6Y.NspbjlG0GItgtpO6C2T05wbteLBrwe_u5bcpGU2cs1o&dib_tag=se&qid=1727754033&rnid=2941120011&s=hi&sr=1-6&srs=21417082011&th=1,"Product Features: [""Core 200S"", ""replacement filter"", ""LEVOIT Core 200S Smart WiFi Air Purifier"", ""compatibility"", ""OEM product"", ""3-in-1 filtration"", ""H13 True HEPA Filtration System"", ""Nylon Preliminary Filter"", ""H13 Grade True HEPA Filter"", ""Activated Carbon Filter"", ""airborne particles"", ""air quality"", ""health"", ""non-woven fabric"", ""advanced technology"", ""energy consumption"", ""density structure"", ""wind resistance"", ""efficiency"", ""pressure"", ""filtration"", ""service life"", ""performance"", ""fresh air"", ""symptoms"", ""Pre-Filter"", ""High-Efficiency Activated Carbon Filter"", ""pet dander"", ""hair"", ""unpleasant odors"", ""gases"", ""package"", ""2 x Core 200S Replacement Filter"", ""Size"", ""installation"", ""usage"", ""installation"", ""customer service"", ""Core 200S-RF replacement filter"", ""products"", ""customer service""]"
"Pre-folded Natural Unbleached Coffee Filters - 50 Pack, Compatible with Pour-Over Coffee Makers",7.99,"Convenient Pre-Folded Design: Enjoy the convenience of our pre-folded coffee filters designed to save you time without the hassle of folding. Just place, brew, and dispose for a no-fuss cleanup.
Versatility Ensured: Our filters are perfectly compatible with pour-over coffee makers designed for 5-13 cups, ensuring the ideal partnership for a wide range of pour-over sizes.
Canadian Pulp & Pure Taste: Crafted from the finest Canadian pulp, our filters boast a uniform fiber distribution, creating a consistent, even extraction—removing bitterness, bad fats, sediments, coffee particles and foam.The cone-shaped design promotes even water dispersion ensuring a flavor-rich coffee experience.
Natural & Unbleached: Our commitment to the environment is as strong as our coffee. Our FSC-certified filters champion sustainability, crafted from unbleached, natural food-grade pulp—free of any chemicals and fully compostable for an earth-friendly coffee experience.
Flavor Versatility: From the lightest roast to deep, dark brews, our filters help in unveiling the full range of coffee flavors. While exquisitely suitable for coffee, these versatile filters subtly accommodate tea as well.","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
",4.6 out of 5 stars,86 ratings,https://www.amazon.com/Bake-Choice-Pre-folded-Natural-Unbleached/dp/B0CTLMHHKG/ref=sr_1_7?dib=eyJ2IjoiMSJ9.8GQisOmAZznf38tJzlc_ivxTSlGeETfDgxQap6dSjVkXjRNj0qvKeolrtrqaTn70xa1TPowtgvqya9YBFCany-Qz-HvVfQYAa1O6qsk_UOdTq2B5k2OBACw9JyoNINKYR4RfzF66lNdes8R1bGovRPxGAdVdgaM5Y1d4l7OwL03LHklRh4IhF9Q5xdoiQfV4TEjNdD35wi0rkQiJ17NskVRCWOvhtzZ-ViBpZ3t4jGe9Cu4iF_C0FkUGeqA5NsupUmeAiN0K6umcLN3wRgaTr8Eawh8TXOLJEa4iBT2JQ6Y.NspbjlG0GItgtpO6C2T05wbteLBrwe_u5bcpGU2cs1o&dib_tag=se&qid=1727754033&rnid=2941120011&s=hi&sr=1-7&srs=21417082011,"Product Features: [""Pre-Folded Design"", ""Convenience"", ""Filters"", ""Versatility"", ""Pour-Over Coffee Makers"", ""Canadian Pulp"", ""Uniform Fiber Distribution"", ""Extraction"", ""Cone-Shaped Design"", ""Water Dispersion"", ""Flavor-Rich Coffee Experience"", ""Natural"", ""Unbleached"", ""FSC-Certified"", ""Sustainability"", ""Food-Grade Pulp"", ""Chemicals"", ""Compostable"", ""Earth-Friendly Coffee Experience"", ""Flavor Versatility"", ""Lightest Roast"", ""Deep Dark Brews"", ""Tea""]"
2 Pack FLT4825 True HEPA Filter B Replacement with Activated Carbon Pre-Filters Compatible with Guardian Air Purifier AC4825 AC4300 AC4800 AC4900 AC4850,19.99,"FLT4825 hepa filter b replacement Compatible with Guardian air purifier models: FLT4825 Filter B, AC4300BPTCA, AC4900CA, AC4825, AC4825E, AC4850PT, AC4900CA, AC4820, and compatible with PureGuardian Model AP2200CA and compatible with Black+Decker BXAP148
FLT4825 hepa filter b replacement premium HEPA: True HEPA Filter can greatly improve air quality
These filter b, flt4825 hepa filter b replacement contains Activated Carbon Pre-Filter and HEPA. Activated Carbon Pre-Filters: Provide you with fresh and clean enviroment and help extend HEPA filter life
Having filter size b flt4825 offer a healthier and happier life: ideal products for you to enhance the quality of your life
Package contains 2 HEPA Filters B and 8 extra Activated Carbon Pre-Filters. If you are not satisfied with anything, we offer full refund or a new pack","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
",4.7 out of 5 stars,"4,835 ratings",https://www.amazon.com/FLT4825-Replacement-Activated-Pre-Filters-Compatible/dp/B07RJ36L6L/ref=sr_1_8?dib=eyJ2IjoiMSJ9.8GQisOmAZznf38tJzlc_ivxTSlGeETfDgxQap6dSjVkXjRNj0qvKeolrtrqaTn70xa1TPowtgvqya9YBFCany-Qz-HvVfQYAa1O6qsk_UOdTq2B5k2OBACw9JyoNINKYR4RfzF66lNdes8R1bGovRPxGAdVdgaM5Y1d4l7OwL03LHklRh4IhF9Q5xdoiQfV4TEjNdD35wi0rkQiJ17NskVRCWOvhtzZ-ViBpZ3t4jGe9Cu4iF_C0FkUGeqA5NsupUmeAiN0K6umcLN3wRgaTr8Eawh8TXOLJEa4iBT2JQ6Y.NspbjlG0GItgtpO6C2T05wbteLBrwe_u5bcpGU2cs1o&dib_tag=se&qid=1727754033&rnid=2941120011&s=hi&sr=1-8&srs=21417082011,"Product Features: [""FLT4825 hepa filter b replacement"", ""Guardian air purifier models"", ""True HEPA Filter"", ""Activated Carbon Pre-Filter"", ""HEPA"", ""filter size b flt4825"", ""Package"", ""2 HEPA Filters B"", ""8 extra Activated Carbon Pre-Filters"", ""full refund"", ""new pack""]"
"4 Pack LV-H128 Replacement Filter Compatible with LEVOIT LV-H128 / PUURVSAS (HM669A) / ROVACS (RV60) Air Purifier, 3-in-1 H13 Ture HEPA and Activated Carbon Filters, Replace Part #LV-H128-RF",18.99,"【Compatible Devices】The premium True HEPA LV-H128-RF filter compatible with LEVOIT LV-H128 / PUURVSAS (HM669A) / ROVACS (RV60), Replace Part #LV-H128-RF.
【3-Stage Filtration System】LV-H128 True HEPA replacement filter is adopted the 3-in-1 True HEPA Filtration System, which effectively attaches at least 99.97% of airborne particles as small as 0.3 microns in the air, such as dust, smoke, pollen, hair, and Odor.
【Clean Household Odor】The LV-H128 replacement filter is made of high-efficiency activated carbon filter clears your home of unwanted pet odors, smoke, fumes, and VOCs in the air and cleans household odors without worrying about second-hand pollution. It's a good choice for animal lovers or smokers, to improve the home air quality and your health.
【Cost-Effective Package】Package includes 4 pack high-efficiency LV-H128 replacement filters. Our Replacement for levoit LV-H128 filters can be installed easily without any tools. It's recommended to replace every 6-8 months depending on the air quality in your area and the use of the Air Purifie r to ensure optimal performance.
【Buy with Confidence】 If you have any quality problems during the warranty period, please contact iSingo after-sale team in time, and we will try our best to satisfy you.","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
",4.7 out of 5 stars,"1,421 ratings",https://www.amazon.com/iSingo-LV-H128-RF-Replacement-Compatible-Pre-Filters/dp/B08RBL8QFD/ref=sr_1_9?dib=eyJ2IjoiMSJ9.8GQisOmAZznf38tJzlc_ivxTSlGeETfDgxQap6dSjVkXjRNj0qvKeolrtrqaTn70xa1TPowtgvqya9YBFCany-Qz-HvVfQYAa1O6qsk_UOdTq2B5k2OBACw9JyoNINKYR4RfzF66lNdes8R1bGovRPxGAdVdgaM5Y1d4l7OwL03LHklRh4IhF9Q5xdoiQfV4TEjNdD35wi0rkQiJ17NskVRCWOvhtzZ-ViBpZ3t4jGe9Cu4iF_C0FkUGeqA5NsupUmeAiN0K6umcLN3wRgaTr8Eawh8TXOLJEa4iBT2JQ6Y.NspbjlG0GItgtpO6C2T05wbteLBrwe_u5bcpGU2cs1o&dib_tag=se&qid=1727754033&rnid=2941120011&s=hi&sr=1-9&srs=21417082011,"Product Features: [""Compatible Devices"", ""True HEPA LV-H128-RF filter"", ""LEVOIT LV-H128"", ""PUURVSAS (HM669A)"", ""ROVACS (RV60)"", ""Replace Part #LV-H128-RF"", ""3-Stage Filtration System"", ""3-in-1 True HEPA Filtration System"", ""99.97% of airborne particles"", ""dust"", ""smoke"", ""pollen"", ""hair"", ""Odor"", ""Clean Household Odor"", ""high-efficiency activated carbon filter"", ""pet odors"", ""fumes"", ""VOCs"", ""second-hand pollution"", ""animal lovers"", ""smokers"", ""home air quality"", ""health"", ""Cost-Effective Package"", ""4 pack high-efficiency LV-H128 replacement filters"", ""Replacement"", ""tools"", ""air quality"", ""Air Purifier"", ""optimal performance"", ""warranty period"", ""iSingo after-sale team""]"
"Aer1 Filter Replacement for Holmes Air Purifiers, 2 True HEPA Filters + 4 Carbon Booster Filters, HAPF30AT",16.99,"【Package includes】: 2 True HEPA Filters + 4 Carbon Booster Pre-Filters. Designed to fit aer1 ready air purifiers，Replaces A Filter，D Filter，K Filter. Compare to Holmes aer1 hepa-type total air filter HAPF30AT
【Compatible with Bionaire UNITS】：BAP260, BAP815, BAP825, BAP9200, BAP9700, BAP520, BAP 9417, BAP9427, BAP9435 Package may vary
【Compatible with Holmes UNITS】：CAP531-U，CAP529-U，HAP240，HAP242，HAP412，HAP422，HAP424，HAP702，HAP706，HAP716，HAP1702，HAP2400，HAP9240，HAP9241，HAP9242，HAP9243，HAP9412，HAP9413，HAP9414，HAP9415，HAP9422，HAP9423，HAP9424，HAP9425
【CARBON BOOSTER PRE-FILTER】：Absorbs household odor from pets, cooking and smoking. And traps larger air contaminants like hair and lint. The carbon component in our product is made from FSC-certified charcoal powder
【TRUE HEPA FILTER WITH H13 GRADE】：Captures 99. 97% of pollutants as small as 0. 3 μm such as dust，pet dander. True HEPA Filter keep your Holmes air purifier working at its full capacity","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
",4.6 out of 5 stars,"2,995 ratings",https://www.amazon.com/Leemone-Replacement-Filter%EF%BC%882-Compatible-Filter%EF%BC%8CHAPF30AT/dp/B08HJ9NT51/ref=sr_1_10?dib=eyJ2IjoiMSJ9.8GQisOmAZznf38tJzlc_ivxTSlGeETfDgxQap6dSjVkXjRNj0qvKeolrtrqaTn70xa1TPowtgvqya9YBFCany-Qz-HvVfQYAa1O6qsk_UOdTq2B5k2OBACw9JyoNINKYR4RfzF66lNdes8R1bGovRPxGAdVdgaM5Y1d4l7OwL03LHklRh4IhF9Q5xdoiQfV4TEjNdD35wi0rkQiJ17NskVRCWOvhtzZ-ViBpZ3t4jGe9Cu4iF_C0FkUGeqA5NsupUmeAiN0K6umcLN3wRgaTr8Eawh8TXOLJEa4iBT2JQ6Y.NspbjlG0GItgtpO6C2T05wbteLBrwe_u5bcpGU2cs1o&dib_tag=se&qid=1727754033&rnid=2941120011&s=hi&sr=1-10&srs=21417082011&th=1,"Product Features: [""True HEPA Filters"", ""Carbon Booster Pre-Filters"", ""aer1 ready air purifiers"", ""Bionaire UNITS"", ""Holmes UNITS"", ""household odor"", ""pets"", ""cooking"", ""smoking"", ""larger air contaminants"", ""hair"", ""lint"", ""FSC-certified charcoal powder"", ""pollutants"", ""dust"", ""pet dander"", ""Holmes air purifier"", ""full capacity""]"
