name,price,description,sustainability_features,rating,number_of_reviews,product_page_url,product_features
"UtechSmart USB C Hub, USB C Ethernet Multiport Adapter, 6 In 1 USB C to HDMI Dock Compatible for Macbook Pro/Air, Chromebook, Dell XPS, HP and Type C Devices (Gigabit Ethernet 100W PD 4K HDMI USB 3.0)",29.99,"【Cost-Effective】 UtechSmart USB C Hub has a 1000M Ethernet port, a 4K HDMI port, 3 USB 3.0 up to 5 Gbps and a USB C charging port with 100W power delivery to make a perfect all-in-one solution for your connectivity needs.
【Stay Cool, Stable Connected】 With our advanced technology, the USB C adapter features advanced heat dissipation and safe connections to keep your devices safe and your data secure.
【Experience Lightning-Fast】 Upgrade your connectivity with our USB-C hub's 5Gbps data transfer and 1000M Ethernet port. With lightning-fast transfer speeds and reliable internet connectivity, you can seamlessly stream movies, download large files, and more.
【100W Power Delivery】UtechSmart USB Type C Hub with 100W Power Delivery lets you charge your laptops, Chromecast with Google TV, Steam Deck, and other Type C devices with Blazing-fast speed and uninterrupted power.
【Immersive Viewing】The 4K resolution of USB to HDMI adapter ensures that the video output is crystal clear and sharp, making it ideal for streaming, gaming, and video editing.
【Universal compatibility】 UtechSmart USB C Hub Ethernet is compatible for Windows/MacBook Air /Macbook Pro/Mac OS/Chrome OS/Steam OS. Simply plug and play without the need for additional drivers or software.
【Reliable Customer Support】UtechSmart Offers an 18-month warranty. We're always here to help with 24/7 customer service. If you have any questions or concerns, please don't hesitate to contact us.","Recycled materials
Contains at least 95% recycled material.
As certified by
",4.4 out of 5 stars,"9,569 ratings",https://www.amazon.com/UtechSmart-Ethernet-Delivery-Compatible-Chromebook/dp/B07H2ZS1B5/ref=sr_1_1?dib=eyJ2IjoiMSJ9.fhzXCh0PTxLSx2UR7UOothkbUk8E1xg2Q8HhYbFy8hTQRRQ8epkZeraopEW7QxaND6krdu6AzeRQBSvnUp59J2AYwjMEnphjU3dH3_2wN_zasqkpvGkEbND3RBllCVSiJt2K1u48H586zXyAAwInTtLPUl5U52CcJQ3rPitFdwE8qHD65LsexVdlsg61zBsLUZ5_J0I5AvBB6jvdbkc3IOuXvqlZH2pUMK0JN_R8sW790am0QlxqIGvNTOzHmT7xJRqsyFPBYyKiXDEunDfO6tp9a-CkTfOqbhM7TSiKC9g.BA9NELotDy9OGzcmJy_KETFtujbAb5dz4q0-unH2IYo&dib_tag=se&qid=1727754391&rnid=2941120011&s=electronics&sr=1-1&srs=21411242011,"Product Features: [""Cost-Effective"", ""UtechSmart USB C Hub"", ""1000M Ethernet port"", ""4K HDMI port"", ""3 USB 3.0"", ""5 Gbps"", ""USB C charging port"", ""100W power delivery"", ""all-in-one solution"", ""advanced technology"", ""advanced heat dissipation"", ""safe connections"", ""5Gbps data transfer"", ""reliable internet connectivity"", ""100W Power Delivery"", ""laptops"", ""Chromecast with Google TV"", ""Steam Deck"", ""Type C devices"", ""4K resolution"", ""USB to HDMI adapter"", ""crystal clear video output"", ""ideal for streaming"", ""gaming"", ""video editing"", ""Universal compatibility"", ""Windows"", ""MacBook Air"", ""Macbook Pro"", ""Mac OS"", ""Chrome OS"", ""Steam OS"", ""plug and play"", ""no need for additional drivers"", ""Reliable Customer Support"", ""18-month warranty"", ""24/7 customer service""]"
"UtechSmart USB C Hub,Triple Display USB C Laptop Docking Station, 11 in 1 USB C Dock with Dual HDMI, VGA, PD3.0, SD TF Card Slot, 4 USB Ports Dual Monitor Adapter Compatible for MacBook and Windows",63.99,"【Triple Monitors Display Flexibility】UtechSmart conquers this technical hurdle to create the first USB C docking station with triple display capability on the market. the UtechSmart docking station supports single and dual HDMI monitors up to 3840x2160@30Hz or triple monitors up to 1920x1080@60Hz. Three monitors modes Boost your efficiency 3 times. Note: It does not support extend mode for macOS.
【Ultra-portable & Compact Powerful Workstation】 You could easily put the docking station in your bag or pocket. Designed from rolled aluminum to be durable yet lightweight, lighten your load and ditch the extra cable adapters, and consolidate all features with this Plug and Play laptop docking station. Including 2x 4K HDMI, VGA, USB-C charging, Gigabit Ethernet, SD/TF card slot,2x USB 3. 0 Ports and 2x USB 2. 0 Ports.
【100W PD3.0 Technology & Smart Safety】UtechSmart thunderbolt 3 dock help you shorten charging time by one third compared to traditional chargers. Equipped with our next generation intelligent microchip which provides a slew of safety features including: internal overload protection, short circuit protection, temperature protection and etc.*Can't provide power for your latop.
【Blazing-fast Data Transfers & Advanced Networking】 The UtechSmart docking station is super fast with 2 USB 3.0 ports at 5Gbps, an SD and a TF card slot, and 2 additional USB 2.0 ports for your keyboard, mouse or charging device. The extremely fast 1000M Ethernet port helps gamers and office workers download movies or music faster, transfer files faster, and reduce latency in use.
【Broad Compatibility】Our USB C docking station is widely used for laptops with Windows 10/11, Mac OS, Chrome OS, Dell XPS 13/15, Dell Latitude/Precision, Lenovo ThinkPad X1 Carbon, HP Spectre x360/ZBook or other devices with USB Type-C (Gen 2)/Thunderbolt 3/4 ports which supports ""Displayport Alt Mode"". UtechSmart provides with 18-month product care and 24/7 customer support!","Recycled materials
Contains at least 95% recycled material.
As certified by
",4.4 out of 5 stars,"9,689 ratings",https://www.amazon.com/UtechSmart-Display-Adapter-Delivery-Compatible/dp/B07PRJJNGF/ref=sr_1_2?dib=eyJ2IjoiMSJ9.fhzXCh0PTxLSx2UR7UOothkbUk8E1xg2Q8HhYbFy8hTQRRQ8epkZeraopEW7QxaND6krdu6AzeRQBSvnUp59J2AYwjMEnphjU3dH3_2wN_zasqkpvGkEbND3RBllCVSiJt2K1u48H586zXyAAwInTtLPUl5U52CcJQ3rPitFdwE8qHD65LsexVdlsg61zBsLUZ5_J0I5AvBB6jvdbkc3IOuXvqlZH2pUMK0JN_R8sW790am0QlxqIGvNTOzHmT7xJRqsyFPBYyKiXDEunDfO6tp9a-CkTfOqbhM7TSiKC9g.BA9NELotDy9OGzcmJy_KETFtujbAb5dz4q0-unH2IYo&dib_tag=se&qid=1727754391&rnid=2941120011&s=electronics&sr=1-2&srs=21411242011,"Product Features: [""Triple Monitors Display"", ""USB C docking station"", ""single and dual HDMI monitors"", ""triple monitors"", ""1920x1080@60Hz"", ""Ultra-portable"", ""Compact Powerful Workstation"", ""Rolled aluminum"", ""Plug and Play"", ""2x 4K HDMI"", ""VGA"", ""USB-C charging"", ""Gigabit Ethernet"", ""SD/TF card slot"", ""2x USB 3.0 Ports"", ""2x USB 2.0 Ports"", ""100W PD3.0 Technology"", ""Smart Safety"", ""Intelligent microchip"", ""Internal overload protection"", ""Short circuit protection"", ""Temperature protection"", ""Blazing-fast Data Transfers"", ""Advanced Networking"", ""1000M Ethernet port"", ""Broad Compatibility"", ""Windows 10/11"", ""Mac OS"", ""Chrome OS"", ""Dell XPS 13/15"", ""Dell Latitude/Precision"", ""Lenovo ThinkPad X1 Carbon"", ""HP Spectre x360/ZBook"", ""USB Type-C (Gen 2)"", ""Thunderbolt 3/4 ports"", ""Displayport Alt Mode"", ""18-month product care"", ""24/7 customer support""]"
"DWCN 10x10 FT Black Backdrop Curtains for Parties, Photography Backdrop Drapes with Rod Pockets for Wedding Decorations Stage Birthday Family Gatherings, 2 Panels 5ft x 10ft",25.99,"DIMENSIONS: Each package includes 2 panels polyester backdrop drapes. Each curtain measures 5 feet wide x 10 feet high. Entire backdrop measures 10 feet wide x 10 feet high. Cannot block the light.
MATERIAL: Made of high quality polyester, are very soft, durable and chemical-free. No loose threads and uneven hems. Full seam on both sides and bottom of the background drapes are tightly stitched.
MULTIPLE USAGE: Our backdrop screen curtains are suitable for various scenarios. Perfect for stages, receptions, baby showers, birthdays, photo booth,anniversary,graduation, home decoration and more.
EASY TO INSTALL: Each curtain panel comes with 4 inch rod pocket on the top, fit up to any standard rods. And easy to drap or hang straigh. Please note: Dropback Curtains Only,No Backdrop Stand.
Caring Instructions：Machine wash, do not bleach. Low heat iron or steam iron and tumble dry at low temperatures.","Recycled materials
Contains at least 95% recycled material.
As certified by
",4.4 out of 5 stars,53 ratings,https://www.amazon.com/DWCN-Backdrop-Photography-Decorations-Gatherings/dp/B0CTGTTHTJ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.fhzXCh0PTxLSx2UR7UOothkbUk8E1xg2Q8HhYbFy8hTQRRQ8epkZeraopEW7QxaND6krdu6AzeRQBSvnUp59J2AYwjMEnphjU3dH3_2wN_zasqkpvGkEbND3RBllCVSiJt2K1u48H586zXyAAwInTtLPUl5U52CcJQ3rPitFdwE8qHD65LsexVdlsg61zBsLUZ5_J0I5AvBB6jvdbkc3IOuXvqlZH2pUMK0JN_R8sW790am0QlxqIGvNTOzHmT7xJRqsyFPBYyKiXDEunDfO6tp9a-CkTfOqbhM7TSiKC9g.BA9NELotDy9OGzcmJy_KETFtujbAb5dz4q0-unH2IYo&dib_tag=se&qid=1727754391&rnid=2941120011&s=electronics&sr=1-3&srs=21411242011&th=1,"Product Features: [""DIMENSIONS"", ""package"", ""panels"", ""polyester"", ""backdrop"", ""drapes"", ""curtain"", ""background"", ""light"", ""MATERIAL"", ""polyester"", ""threads"", ""hems"", ""seam"", ""sides"", ""bottom"", ""background drapes"", ""stitches"", ""USAGE"", ""backdrop"", ""screen"", ""curtains"", ""stages"", ""receptions"", ""baby showers"", ""birthdays"", ""photo booth"", ""anniversary"", ""graduation"", ""home decoration"", ""INSTALL"", ""curtain"", ""panel"", ""rod pocket"", ""rods"", ""drap"", ""hang"", ""Dropback Curtains"", ""Backdrop Stand"", ""Caring Instructions"", ""Machine wash"", ""iron"", ""steam iron"", ""tumble dry""]"
"Case for 2024 iPad Pro11 Inch M4-5th Generation iPad Cases with Pencil Holder, Supports Pencil Pro, Slim and Clear Transparent Back Shell, Shock, Drop Protection Soft Silicon Bumper, (Black)",15.99,"Compatibility: Only for iPad Pro 11"" (5th Gen, 2024); models A2836, A2837. Not compatible with any other iPad models
Perfect for Creativity: Designed for reading, drawing, and photography, it supports Pencil magnetic pairing/charging and includes a dedicated Pencil holder
Slim and Lightweight: Weights just 5.1 ounces, offering a snug fit and excellent grip without adding bulk
Tough and Clear: Scratch-resistant acrylic back stays clear and showcases your tablet's style, preventing bending and yellowing
Powerful Protection: Raised edges, Camera Guard, flexible frame, and shock-absorbing corners protect your device during everyday use","Recycled materials
Contains at least 95% recycled material.
As certified by
",4.3 out of 5 stars,155 ratings,https://www.amazon.com/Generation-Supports-Transparent-Protection-Silicon/dp/B0CTQ9BQNR/ref=sr_1_4?dib=eyJ2IjoiMSJ9.fhzXCh0PTxLSx2UR7UOothkbUk8E1xg2Q8HhYbFy8hTQRRQ8epkZeraopEW7QxaND6krdu6AzeRQBSvnUp59J2AYwjMEnphjU3dH3_2wN_zasqkpvGkEbND3RBllCVSiJt2K1u48H586zXyAAwInTtLPUl5U52CcJQ3rPitFdwE8qHD65LsexVdlsg61zBsLUZ5_J0I5AvBB6jvdbkc3IOuXvqlZH2pUMK0JN_R8sW790am0QlxqIGvNTOzHmT7xJRqsyFPBYyKiXDEunDfO6tp9a-CkTfOqbhM7TSiKC9g.BA9NELotDy9OGzcmJy_KETFtujbAb5dz4q0-unH2IYo&dib_tag=se&qid=1727754391&rnid=2941120011&s=electronics&sr=1-4&srs=21411242011&th=1,"Product Features: [""Compatibility"", ""iPad Pro 11"", ""5th Gen"", ""2024"", ""models A2836"", ""models A2837"", ""Creativity"", ""reading"", ""drawing"", ""photography"", ""Pencil magnetic pairing"", ""charging"", ""Pencil holder"", ""Slim"", ""Lightweight"", ""5.1 ounces"", ""snug fit"", ""excellent grip"", ""bulk"", ""Tough"", ""Clear"", ""Scratch-resistant acrylic back"", ""style"", ""bending"", ""yellowing"", ""Powerful Protection"", ""Raised edges"", ""Camera Guard"", ""flexible frame"", ""shock-absorbing corners"", ""everyday use""]"
"MATEPROX Phone Case for Samsung Galaxy Z Fold 5 Case, Slim Thin Lightweight Protective Phone Case with Non-Slip Leather Back Cover with Electroplated Frame for Samsung Galaxy Z Flod 5 5G-White",18.99,"【Compatibility】 This case is specifically designed for the Samsung Galaxy Z Fold 5, which was released in 2023. Its precise cutouts and formfitting design ensure convenient access to all features and controls, including the cameras, buttons, ports, fingerprint sensor, and wireless charging.
【Camera & Screen Protection】 The raised bezel edges of this case lift the screen and camera from flat surfaces, providing scratch-resistant protection during use.
【Leather Back & Electroplating】 Our cases feature a electroplating frame and a leather back that adds a special touch to your phone, making it shiny and stylish, as well as being durable, non-slip and not easily fade.
【Maximum Protection】 Made from durable and sturdy materials, this case provides maximum protection for your beloved phone. The premium leather back adds no bulk, prevents fingerprints, and offers an anti-slip grip for comfortable use.
【Non-Worries Service】 MATEPROX offers a 1-year warranty for this sleek phone cover, along with friendly and attentive customer service.","Recycled materials
Contains at least 95% recycled material.
As certified by
",4.0 out of 5 stars,36 ratings,https://www.amazon.com/MATEPROX-Lightweight-Protective-Non-Slip-Electroplated/dp/B0CCXS2BJ7/ref=sr_1_5?dib=eyJ2IjoiMSJ9.fhzXCh0PTxLSx2UR7UOothkbUk8E1xg2Q8HhYbFy8hTQRRQ8epkZeraopEW7QxaND6krdu6AzeRQBSvnUp59J2AYwjMEnphjU3dH3_2wN_zasqkpvGkEbND3RBllCVSiJt2K1u48H586zXyAAwInTtLPUl5U52CcJQ3rPitFdwE8qHD65LsexVdlsg61zBsLUZ5_J0I5AvBB6jvdbkc3IOuXvqlZH2pUMK0JN_R8sW790am0QlxqIGvNTOzHmT7xJRqsyFPBYyKiXDEunDfO6tp9a-CkTfOqbhM7TSiKC9g.BA9NELotDy9OGzcmJy_KETFtujbAb5dz4q0-unH2IYo&dib_tag=se&qid=1727754391&rnid=2941120011&s=electronics&sr=1-5&srs=21411242011&th=1,"Product Features: [""Compatibility"", ""Case"", ""Samsung Galaxy Z Fold 5"", ""Cutouts"", ""Formfitting design"", ""Access"", ""Features"", ""Controls"", ""Cameras"", ""Buttons"", ""Ports"", ""Fingerprint sensor"", ""Wireless charging"", ""Camera & Screen Protection"", ""Raised bezel edges"", ""Screen"", ""Camera"", ""Surfaces"", ""Scratch-resistant protection"", ""Leather Back & Electroplating"", ""Electroplating frame"", ""Leather back"", ""Shiny"", ""Stylish"", ""Durable"", ""Non-slip"", ""Maximum Protection"", ""Materials"", ""Premium leather back"", ""Bulk"", ""Fingerprints"", ""Anti-slip grip"", ""Comfortable use"", ""Non-Worries Service"", ""1-year warranty"", ""Customer service""]"
"MATEPROX Compatible with iPhone 15 Case, Clear Thin Slim Crystal Transparent Cover Shockproof Bumper Case for 6.1"" 2023-Pink2",21.99,"✅This cell phone case is only compatible with (2023 release-2 cameras) 6.1 inch. Support wireless charging，universal to all car mounts.
✅Clear, slim, thin, sleek, stylish, pocket-friendly. Made with hard PC and soft TPE bumper. Slim design.Ultra transparent and Anti-Yellow back.
✅1.5mm raised lip camera lens protection, screen protection.It can protect your screen and camera when it on the ground and from drops.
✅The soft bumper of this case is made of premium TPE material,it will not scratch your phone.It's easy to install and take off.
✅MATEPROX comes with one-year warranty, please feel free to contact us when you have any question.","Recycled materials
Contains at least 95% recycled material.
As certified by
",4.3 out of 5 stars,12 ratings,https://www.amazon.com/MATEPROX-Compatible-Transparent-Shockproof-2023-Pink2/dp/B0CH9ZB1H7/ref=sr_1_6?dib=eyJ2IjoiMSJ9.fhzXCh0PTxLSx2UR7UOothkbUk8E1xg2Q8HhYbFy8hTQRRQ8epkZeraopEW7QxaND6krdu6AzeRQBSvnUp59J2AYwjMEnphjU3dH3_2wN_zasqkpvGkEbND3RBllCVSiJt2K1u48H586zXyAAwInTtLPUl5U52CcJQ3rPitFdwE8qHD65LsexVdlsg61zBsLUZ5_J0I5AvBB6jvdbkc3IOuXvqlZH2pUMK0JN_R8sW790am0QlxqIGvNTOzHmT7xJRqsyFPBYyKiXDEunDfO6tp9a-CkTfOqbhM7TSiKC9g.BA9NELotDy9OGzcmJy_KETFtujbAb5dz4q0-unH2IYo&dib_tag=se&qid=1727754391&rnid=2941120011&s=electronics&sr=1-6&srs=21411242011&th=1,"Product Features: [""cell phone case"", ""2023 release"", ""6.1 inch"", ""wireless charging"", ""car mounts"", ""clear"", ""slim"", ""thin"", ""sleek"", ""stylish"", ""pocket-friendly"", ""hard PC"", ""soft TPE bumper"", ""Ultra transparent"", ""Anti-Yellow back"", ""1.5mm raised lip"", ""camera lens protection"", ""screen protection"", ""premium TPE material"", ""one-year warranty""]"
"Case for Airpods Pro-2nd Generation Magsafe - Magnetic Cover with Cleaning Kit for Airpods Pro 2nd/1st (2023/2022/2019), Shockproof Silicon Cases with Lanyard and Keychain, with Safety Lock, (Pink)",14.99,"Compatibility: Fits AirPods Pro 2nd Gen (2023/2022) and 1st Gen (2019) with both USB-C and Lightning Cable models
MagSafe Ready: Securely locks onto MagSafe chargers for easy wireless charging
Magnetic Locking Lid: Features a precision fit with four strong magnets to prevent the lid from coming loose
Hybrid Drop Protection: Uses high-elasticity TPU material and shock-absorbing corners to protect your case from drops and impacts
Easy-Carry Strap and Carabiner: Easily attaches to your bag, belt, or wrist for secure carrying
Multi-function Cleaning Kit: Includes a flocking sponge, soft brush, and metal pen tip to keep your earbuds and case clean","Recycled materials
Contains at least 95% recycled material.
As certified by
",4.7 out of 5 stars,52 ratings,https://www.amazon.com/Pro-2nd-1st-Generation-Case/dp/B0CQ4DZ76Y/ref=sr_1_7?dib=eyJ2IjoiMSJ9.fhzXCh0PTxLSx2UR7UOothkbUk8E1xg2Q8HhYbFy8hTQRRQ8epkZeraopEW7QxaND6krdu6AzeRQBSvnUp59J2AYwjMEnphjU3dH3_2wN_zasqkpvGkEbND3RBllCVSiJt2K1u48H586zXyAAwInTtLPUl5U52CcJQ3rPitFdwE8qHD65LsexVdlsg61zBsLUZ5_J0I5AvBB6jvdbkc3IOuXvqlZH2pUMK0JN_R8sW790am0QlxqIGvNTOzHmT7xJRqsyFPBYyKiXDEunDfO6tp9a-CkTfOqbhM7TSiKC9g.BA9NELotDy9OGzcmJy_KETFtujbAb5dz4q0-unH2IYo&dib_tag=se&qid=1727754391&rnid=2941120011&s=electronics&sr=1-7&srs=21411242011,"Product Features: [""Compatibility"", ""Fits AirPods Pro 2nd Gen (2023/2022)"", ""1st Gen (2019)"", ""USB-C and Lightning Cable models"", ""MagSafe Ready"", ""Securely locks onto MagSafe chargers"", ""Magnetic Locking Lid"", ""Precision fit"", ""Four strong magnets"", ""Hybrid Drop Protection"", ""High-elasticity TPU material"", ""Shock-absorbing corners"", ""Easy-Carry Strap"", ""Carabiner"", ""Multi-function Cleaning Kit"", ""Flocking sponge"", ""Soft brush"", ""Metal pen tip""]"
"Case for iPad Mini 6th-Generation Clear - 8.3 inch 2021 iPad Cases, Supports Pencil 2, Ultra-Thin and Lightweight, Slim Transparent Hard Back Cover, Shockproof Protection, (Clear)",11.99,"Slim and Lightweight: super-slim back case provides a snug fit and excellent grip
Stay Original: crystal-clear, yellowing-resistant back shows off your device’s original look
Hybrid Protection: protect your tablet with a hard back, flexible frame, shock-absorbing corners, and raised edges
Pencil 2 Compatible: supports the Pencil 3’s magnetic pairing and charging with a thin side panel design
Compatibility: only compatible with iPad mini 6 (8.3 inch) (2021); models A2567 and A2569","Recycled materials
Contains at least 95% recycled material.
As certified by
",4.5 out of 5 stars,48 ratings,https://www.amazon.com/Matekxy-iPad-Mini-Generation-2021/dp/B0CJRMT9S8/ref=sr_1_8?dib=eyJ2IjoiMSJ9.fhzXCh0PTxLSx2UR7UOothkbUk8E1xg2Q8HhYbFy8hTQRRQ8epkZeraopEW7QxaND6krdu6AzeRQBSvnUp59J2AYwjMEnphjU3dH3_2wN_zasqkpvGkEbND3RBllCVSiJt2K1u48H586zXyAAwInTtLPUl5U52CcJQ3rPitFdwE8qHD65LsexVdlsg61zBsLUZ5_J0I5AvBB6jvdbkc3IOuXvqlZH2pUMK0JN_R8sW790am0QlxqIGvNTOzHmT7xJRqsyFPBYyKiXDEunDfO6tp9a-CkTfOqbhM7TSiKC9g.BA9NELotDy9OGzcmJy_KETFtujbAb5dz4q0-unH2IYo&dib_tag=se&qid=1727754391&rnid=2941120011&s=electronics&sr=1-8&srs=21411242011&th=1,"Product Features: [""super-slim back case"", ""snug fit"", ""excellent grip"", ""crystal-clear back"", ""yellowing-resistant back"", ""original look"", ""hybrid protection"", ""hard back"", ""flexible frame"", ""shock-absorbing corners"", ""raised edges"", ""Pencil 3's magnetic pairing"", ""charging"", ""thin side panel design"", ""compatibility"", ""iPad mini 6 (8.3 inch) (2021)"", ""models A2567 and A2569""]"
"Case for iPadPro 11-Inch M4-2024 - 5th Generation iPad Cases with Clear Bumper, Supports Pencil Pro, Ultra-Thin and Lightweight, Slim Transparent Hard Back, Shock & Drop Protection, (Clear)",12.99,"Perfect Compatibility: Designed specifically for iPad Pro 11"" (5th Gen, 2024); models: A2836, A2837, not compatible with any other iPad models
Slim and Lightweight: Perfect for long reading sessions, sketching on the go, or using with a desktop stand, this super-slim back case offers a snug fit and excellent grip without adding bulk
Crystal-Clear Design: Ideal for photography and live streaming, the crystal-clear, yellowing-resistant back showcases your iPad Pro’s original look, keeping the exquisite logo visible and maintaining a stylish appearance
Hybrid Protection: This case combines a hard back, flexible TPU frame, and shock-absorbing corners to protect against daily scratches and shocks. Raised edges add extra protection for the screen and camera
Pencil Pro Compatibility: Fully supports Pencil Pro's magnetic pairing and charging, as well as Pencil (USB-C), with a thin side panel design. The dedicated slot ensures your accessories are secure and ready to use
Precise Cutouts: Perfectly aligned cutouts provide easy access to the speaker, camera, and charging port. Easy-to-press buttons protect the power and volume controls from daily wear, making it practical for everyday use","Recycled materials
Contains at least 95% recycled material.
As certified by
",4.7 out of 5 stars,18 ratings,https://www.amazon.com/Case-iPadPro-11-Inch-M4-2024-Lightweight/dp/B0CXXRJDJS/ref=sr_1_9?dib=eyJ2IjoiMSJ9.fhzXCh0PTxLSx2UR7UOothkbUk8E1xg2Q8HhYbFy8hTQRRQ8epkZeraopEW7QxaND6krdu6AzeRQBSvnUp59J2AYwjMEnphjU3dH3_2wN_zasqkpvGkEbND3RBllCVSiJt2K1u48H586zXyAAwInTtLPUl5U52CcJQ3rPitFdwE8qHD65LsexVdlsg61zBsLUZ5_J0I5AvBB6jvdbkc3IOuXvqlZH2pUMK0JN_R8sW790am0QlxqIGvNTOzHmT7xJRqsyFPBYyKiXDEunDfO6tp9a-CkTfOqbhM7TSiKC9g.BA9NELotDy9OGzcmJy_KETFtujbAb5dz4q0-unH2IYo&dib_tag=se&qid=1727754391&rnid=2941120011&s=electronics&sr=1-9&srs=21411242011&th=1,"Product Features: [""Perfect Compatibility"", ""Slim and Lightweight"", ""Crystal-Clear Design"", ""Hybrid Protection"", ""Pencil Pro Compatibility"", ""Precise Cutouts""]"
"MATEPROX Compatible with iPhone 15 Pro Case Bling Sparkle Cute Girls Women Protective Cases for iPhone 15 Pro 6.1"" 2023-Pink",18.99,"【Compatibility】This case is only compatible with iPhone 15 Pro (2023 Release/3 Cameras) 6.1 inch. MATEPROX cell phone case supports wireless charging.
【Perfect Gift】Luxury Sparkle glitter on the back of the case makes your iPhone shiny, chic and fashion. It's a perfect gift for your family and friends.
【Screen & Camera Protection】Raised 0.8mm lips bumper of camera and screen help to protect screen and camera from rubbing against flat surfaces.
【Structure & Function】3-in-1 Hybrid Structure protecting your iPhone from drops, shocks and scratches. Precise cutouts for speaker, charging port, audio port and buttons for your convenience.
【Non-Worries Service】MATEPROX comes with one-year warranty. Please feel free to contact us when you have any question.","Recycled materials
Contains at least 95% recycled material.
As certified by
",4.6 out of 5 stars,189 ratings,https://www.amazon.com/MATEPROX-Compatible-Sparkle-Protective-2023-Pink/dp/B0CD7BR3XC/ref=sr_1_10?dib=eyJ2IjoiMSJ9.fhzXCh0PTxLSx2UR7UOothkbUk8E1xg2Q8HhYbFy8hTQRRQ8epkZeraopEW7QxaND6krdu6AzeRQBSvnUp59J2AYwjMEnphjU3dH3_2wN_zasqkpvGkEbND3RBllCVSiJt2K1u48H586zXyAAwInTtLPUl5U52CcJQ3rPitFdwE8qHD65LsexVdlsg61zBsLUZ5_J0I5AvBB6jvdbkc3IOuXvqlZH2pUMK0JN_R8sW790am0QlxqIGvNTOzHmT7xJRqsyFPBYyKiXDEunDfO6tp9a-CkTfOqbhM7TSiKC9g.BA9NELotDy9OGzcmJy_KETFtujbAb5dz4q0-unH2IYo&dib_tag=se&qid=1727754391&rnid=2941120011&s=electronics&sr=1-10&srs=21411242011&th=1,"Product Features: [""Compatibility"", ""iPhone 15 Pro"", ""2023 Release"", ""3 Cameras"", ""6.1 inch"", ""MATEPROX cell phone case"", ""wireless charging"", ""Luxury Sparkle glitter"", ""back"", ""Perfect Gift"", ""family"", ""friends"", ""Screen Protection"", ""Camera Protection"", ""Raised 0.8mm lips bumper"", ""screen"", ""camera"", ""flat surfaces"", ""3-in-1 Hybrid Structure"", ""drops"", ""shocks"", ""scratches"", ""Precise cutouts"", ""speaker"", ""charging port"", ""audio port"", ""buttons"", ""Non-Worries Service"", ""MATEPROX"", ""one-year warranty""]"
