name,price,description,sustainability_features,rating_product,number_of_reviews,product_page_url,product_id,url,rating_customer,author,date,content,sentiment
"Ideal. 4003 Cross-Cut Commercial Office Paper Shredder Heavy Duty with Automatic Oiler, 34 to 36 Sheet Feed Capacity, 44-Gallon Bin, P-4 Security",2943.56,"COMMERCIAL USE: Office paper shredder designed for 18-20 users in a department, floor or office; TAA compliant, Made in Germany
HEAVY DUTY: Continuous run-time shredder for shredding paper, staples, paper clips, credit cards, and CDs/DVDs; Automatic oiler regularly oils your centralized office shredder to ensure smoother, faster, and quieter shredding
PROTECT YOUR INFORMATION: P-4 cross-cut security level is HIPAA and FACTA compliant and federally accepted to protect information against identity theft
HIGH CAPACITY SHREDDER: Tears through 24-26 sheets of paper at a time, with a throughput of 917 sheets per minute, and features a 44 gallon shred bin
JAM PREVENTION: Electronic Capacity Control (ECC) monitors and grades document-feeding to prevent jams; Features manual reverse, automatic reverse and stop when overfed; The shredder will automatically stop when bin is full","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",3.7,33,https://www.amazon.com/Cross-Cut-Commercial-Shredder-Automatic-44-Gallon/dp/B000QUTHVC/ref=sr_1_11?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrf3-ugKj2UbddHbhGDY9HGheoQPNvamb-8LOWuQhhR_-3oqHDs3pYW4WiTqE8Sdxp54a41xVcCfbPJX54dgbDnmb4oNAFjn2EGJts4ZN06PYwBNu8D4_5dApsF99e90tdsu_73GkCQxUjiNvK3oR75qBLXaV-Sd4VIyTs_GsJF9kjZN_w1NyoFJofMbtXqicqL_GhFZDquNxR_IUgBgIdHtYV6w3flxpRGx10gVxWnwNXhrKy1u3bLT3jKH6VAVzpzsqGbz3zZQ-2QWG4IBS4EA.QYP8yFy4t4d6D-u3ekgxSuLBQ0vuMOWsvWSHliKrzrg&dib_tag=se&qid=1727753034&rnid=2941120011&s=electronics&sr=1-11&srs=24229290011&th=1,B000QUTHVC,https://www.amazon.com/product-reviews/B000QUTHVC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,4,Linda Mahloch,"Reviewed in the United States on July 19, 2024","The shredder works perfect, a little larger than I expected, but it’s fine",1
"Ideal. 4003 Cross-Cut Commercial Office Paper Shredder Heavy Duty with Automatic Oiler, 34 to 36 Sheet Feed Capacity, 44-Gallon Bin, P-4 Security",2943.56,"COMMERCIAL USE: Office paper shredder designed for 18-20 users in a department, floor or office; TAA compliant, Made in Germany
HEAVY DUTY: Continuous run-time shredder for shredding paper, staples, paper clips, credit cards, and CDs/DVDs; Automatic oiler regularly oils your centralized office shredder to ensure smoother, faster, and quieter shredding
PROTECT YOUR INFORMATION: P-4 cross-cut security level is HIPAA and FACTA compliant and federally accepted to protect information against identity theft
HIGH CAPACITY SHREDDER: Tears through 24-26 sheets of paper at a time, with a throughput of 917 sheets per minute, and features a 44 gallon shred bin
JAM PREVENTION: Electronic Capacity Control (ECC) monitors and grades document-feeding to prevent jams; Features manual reverse, automatic reverse and stop when overfed; The shredder will automatically stop when bin is full","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",3.7,33,https://www.amazon.com/Cross-Cut-Commercial-Shredder-Automatic-44-Gallon/dp/B000QUTHVC/ref=sr_1_11?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrf3-ugKj2UbddHbhGDY9HGheoQPNvamb-8LOWuQhhR_-3oqHDs3pYW4WiTqE8Sdxp54a41xVcCfbPJX54dgbDnmb4oNAFjn2EGJts4ZN06PYwBNu8D4_5dApsF99e90tdsu_73GkCQxUjiNvK3oR75qBLXaV-Sd4VIyTs_GsJF9kjZN_w1NyoFJofMbtXqicqL_GhFZDquNxR_IUgBgIdHtYV6w3flxpRGx10gVxWnwNXhrKy1u3bLT3jKH6VAVzpzsqGbz3zZQ-2QWG4IBS4EA.QYP8yFy4t4d6D-u3ekgxSuLBQ0vuMOWsvWSHliKrzrg&dib_tag=se&qid=1727753034&rnid=2941120011&s=electronics&sr=1-11&srs=24229290011&th=1,B000QUTHVC,https://www.amazon.com/product-reviews/B000QUTHVC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,4,Doug Bailey,"Reviewed in the United States on June 6, 2023","This machine is a beast, it shreds paper and never quits, it is a great value.",2
"Ideal. 4003 Cross-Cut Commercial Office Paper Shredder Heavy Duty with Automatic Oiler, 34 to 36 Sheet Feed Capacity, 44-Gallon Bin, P-4 Security",2943.56,"COMMERCIAL USE: Office paper shredder designed for 18-20 users in a department, floor or office; TAA compliant, Made in Germany
HEAVY DUTY: Continuous run-time shredder for shredding paper, staples, paper clips, credit cards, and CDs/DVDs; Automatic oiler regularly oils your centralized office shredder to ensure smoother, faster, and quieter shredding
PROTECT YOUR INFORMATION: P-4 cross-cut security level is HIPAA and FACTA compliant and federally accepted to protect information against identity theft
HIGH CAPACITY SHREDDER: Tears through 24-26 sheets of paper at a time, with a throughput of 917 sheets per minute, and features a 44 gallon shred bin
JAM PREVENTION: Electronic Capacity Control (ECC) monitors and grades document-feeding to prevent jams; Features manual reverse, automatic reverse and stop when overfed; The shredder will automatically stop when bin is full","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",3.7,33,https://www.amazon.com/Cross-Cut-Commercial-Shredder-Automatic-44-Gallon/dp/B000QUTHVC/ref=sr_1_11?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrf3-ugKj2UbddHbhGDY9HGheoQPNvamb-8LOWuQhhR_-3oqHDs3pYW4WiTqE8Sdxp54a41xVcCfbPJX54dgbDnmb4oNAFjn2EGJts4ZN06PYwBNu8D4_5dApsF99e90tdsu_73GkCQxUjiNvK3oR75qBLXaV-Sd4VIyTs_GsJF9kjZN_w1NyoFJofMbtXqicqL_GhFZDquNxR_IUgBgIdHtYV6w3flxpRGx10gVxWnwNXhrKy1u3bLT3jKH6VAVzpzsqGbz3zZQ-2QWG4IBS4EA.QYP8yFy4t4d6D-u3ekgxSuLBQ0vuMOWsvWSHliKrzrg&dib_tag=se&qid=1727753034&rnid=2941120011&s=electronics&sr=1-11&srs=24229290011&th=1,B000QUTHVC,https://www.amazon.com/product-reviews/B000QUTHVC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,4,Tonyia Tannehill,"Reviewed in the United States on June 24, 2024","The product itself is fine.  The delivery experience with these larger items is always a gamble.  Third party carrier, Old Dominion, had a very confused driver who did not read any of the delivery instructions provided.  They ended up leaving the shredder unattended by the front door.  The driver didn't provide any detail of who the order was for or what it was.  When delivering to a secured area, this causes quite a bit of confusion.  Please stress to your drivers the contact name and delivery instructions will ensure a smooth delivery process.",0
"Ideal. 4003 Cross-Cut Commercial Office Paper Shredder Heavy Duty with Automatic Oiler, 34 to 36 Sheet Feed Capacity, 44-Gallon Bin, P-4 Security",2943.56,"COMMERCIAL USE: Office paper shredder designed for 18-20 users in a department, floor or office; TAA compliant, Made in Germany
HEAVY DUTY: Continuous run-time shredder for shredding paper, staples, paper clips, credit cards, and CDs/DVDs; Automatic oiler regularly oils your centralized office shredder to ensure smoother, faster, and quieter shredding
PROTECT YOUR INFORMATION: P-4 cross-cut security level is HIPAA and FACTA compliant and federally accepted to protect information against identity theft
HIGH CAPACITY SHREDDER: Tears through 24-26 sheets of paper at a time, with a throughput of 917 sheets per minute, and features a 44 gallon shred bin
JAM PREVENTION: Electronic Capacity Control (ECC) monitors and grades document-feeding to prevent jams; Features manual reverse, automatic reverse and stop when overfed; The shredder will automatically stop when bin is full","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",3.7,33,https://www.amazon.com/Cross-Cut-Commercial-Shredder-Automatic-44-Gallon/dp/B000QUTHVC/ref=sr_1_11?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrf3-ugKj2UbddHbhGDY9HGheoQPNvamb-8LOWuQhhR_-3oqHDs3pYW4WiTqE8Sdxp54a41xVcCfbPJX54dgbDnmb4oNAFjn2EGJts4ZN06PYwBNu8D4_5dApsF99e90tdsu_73GkCQxUjiNvK3oR75qBLXaV-Sd4VIyTs_GsJF9kjZN_w1NyoFJofMbtXqicqL_GhFZDquNxR_IUgBgIdHtYV6w3flxpRGx10gVxWnwNXhrKy1u3bLT3jKH6VAVzpzsqGbz3zZQ-2QWG4IBS4EA.QYP8yFy4t4d6D-u3ekgxSuLBQ0vuMOWsvWSHliKrzrg&dib_tag=se&qid=1727753034&rnid=2941120011&s=electronics&sr=1-11&srs=24229290011&th=1,B000QUTHVC,https://www.amazon.com/product-reviews/B000QUTHVC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,4,Matt C,"Reviewed in the United States on April 25, 2023","Item works great, shreds paper quite fast and the oiler is a nice feature. Hopefully it last for years to come!",2
"Ideal. 4003 Cross-Cut Commercial Office Paper Shredder Heavy Duty with Automatic Oiler, 34 to 36 Sheet Feed Capacity, 44-Gallon Bin, P-4 Security",2943.56,"COMMERCIAL USE: Office paper shredder designed for 18-20 users in a department, floor or office; TAA compliant, Made in Germany
HEAVY DUTY: Continuous run-time shredder for shredding paper, staples, paper clips, credit cards, and CDs/DVDs; Automatic oiler regularly oils your centralized office shredder to ensure smoother, faster, and quieter shredding
PROTECT YOUR INFORMATION: P-4 cross-cut security level is HIPAA and FACTA compliant and federally accepted to protect information against identity theft
HIGH CAPACITY SHREDDER: Tears through 24-26 sheets of paper at a time, with a throughput of 917 sheets per minute, and features a 44 gallon shred bin
JAM PREVENTION: Electronic Capacity Control (ECC) monitors and grades document-feeding to prevent jams; Features manual reverse, automatic reverse and stop when overfed; The shredder will automatically stop when bin is full","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",3.7,33,https://www.amazon.com/Cross-Cut-Commercial-Shredder-Automatic-44-Gallon/dp/B000QUTHVC/ref=sr_1_11?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrf3-ugKj2UbddHbhGDY9HGheoQPNvamb-8LOWuQhhR_-3oqHDs3pYW4WiTqE8Sdxp54a41xVcCfbPJX54dgbDnmb4oNAFjn2EGJts4ZN06PYwBNu8D4_5dApsF99e90tdsu_73GkCQxUjiNvK3oR75qBLXaV-Sd4VIyTs_GsJF9kjZN_w1NyoFJofMbtXqicqL_GhFZDquNxR_IUgBgIdHtYV6w3flxpRGx10gVxWnwNXhrKy1u3bLT3jKH6VAVzpzsqGbz3zZQ-2QWG4IBS4EA.QYP8yFy4t4d6D-u3ekgxSuLBQ0vuMOWsvWSHliKrzrg&dib_tag=se&qid=1727753034&rnid=2941120011&s=electronics&sr=1-11&srs=24229290011&th=1,B000QUTHVC,https://www.amazon.com/product-reviews/B000QUTHVC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,4,Matt,"Reviewed in the United States on December 29, 2022","Had another brand for years.  Found out the hard way that it was undersized and a pain containing the shreds of paper.  So far this is just like all my other German purchases; it is fantastic.  Besides the cost, I will say it is HEAVY but that is a price I would pay again.",2
"Ideal. 4003 Cross-Cut Commercial Office Paper Shredder Heavy Duty with Automatic Oiler, 34 to 36 Sheet Feed Capacity, 44-Gallon Bin, P-4 Security",2943.56,"COMMERCIAL USE: Office paper shredder designed for 18-20 users in a department, floor or office; TAA compliant, Made in Germany
HEAVY DUTY: Continuous run-time shredder for shredding paper, staples, paper clips, credit cards, and CDs/DVDs; Automatic oiler regularly oils your centralized office shredder to ensure smoother, faster, and quieter shredding
PROTECT YOUR INFORMATION: P-4 cross-cut security level is HIPAA and FACTA compliant and federally accepted to protect information against identity theft
HIGH CAPACITY SHREDDER: Tears through 24-26 sheets of paper at a time, with a throughput of 917 sheets per minute, and features a 44 gallon shred bin
JAM PREVENTION: Electronic Capacity Control (ECC) monitors and grades document-feeding to prevent jams; Features manual reverse, automatic reverse and stop when overfed; The shredder will automatically stop when bin is full","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",3.7,33,https://www.amazon.com/Cross-Cut-Commercial-Shredder-Automatic-44-Gallon/dp/B000QUTHVC/ref=sr_1_11?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrf3-ugKj2UbddHbhGDY9HGheoQPNvamb-8LOWuQhhR_-3oqHDs3pYW4WiTqE8Sdxp54a41xVcCfbPJX54dgbDnmb4oNAFjn2EGJts4ZN06PYwBNu8D4_5dApsF99e90tdsu_73GkCQxUjiNvK3oR75qBLXaV-Sd4VIyTs_GsJF9kjZN_w1NyoFJofMbtXqicqL_GhFZDquNxR_IUgBgIdHtYV6w3flxpRGx10gVxWnwNXhrKy1u3bLT3jKH6VAVzpzsqGbz3zZQ-2QWG4IBS4EA.QYP8yFy4t4d6D-u3ekgxSuLBQ0vuMOWsvWSHliKrzrg&dib_tag=se&qid=1727753034&rnid=2941120011&s=electronics&sr=1-11&srs=24229290011&th=1,B000QUTHVC,https://www.amazon.com/product-reviews/B000QUTHVC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,4,HU,"Reviewed in the United States on October 26, 2020","Our previous shredder was a beast! It was an Ideal and we wanted something similar. After consulting different vendors, we decided to give Amazon a go. Super fast shipment, arrived in perfect condition, easy to set up. Now we have a new, quieter version that works just as hard! Great item!",2
"Ideal. 4003 Cross-Cut Commercial Office Paper Shredder Heavy Duty with Automatic Oiler, 34 to 36 Sheet Feed Capacity, 44-Gallon Bin, P-4 Security",2943.56,"COMMERCIAL USE: Office paper shredder designed for 18-20 users in a department, floor or office; TAA compliant, Made in Germany
HEAVY DUTY: Continuous run-time shredder for shredding paper, staples, paper clips, credit cards, and CDs/DVDs; Automatic oiler regularly oils your centralized office shredder to ensure smoother, faster, and quieter shredding
PROTECT YOUR INFORMATION: P-4 cross-cut security level is HIPAA and FACTA compliant and federally accepted to protect information against identity theft
HIGH CAPACITY SHREDDER: Tears through 24-26 sheets of paper at a time, with a throughput of 917 sheets per minute, and features a 44 gallon shred bin
JAM PREVENTION: Electronic Capacity Control (ECC) monitors and grades document-feeding to prevent jams; Features manual reverse, automatic reverse and stop when overfed; The shredder will automatically stop when bin is full","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",3.7,33,https://www.amazon.com/Cross-Cut-Commercial-Shredder-Automatic-44-Gallon/dp/B000QUTHVC/ref=sr_1_11?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrf3-ugKj2UbddHbhGDY9HGheoQPNvamb-8LOWuQhhR_-3oqHDs3pYW4WiTqE8Sdxp54a41xVcCfbPJX54dgbDnmb4oNAFjn2EGJts4ZN06PYwBNu8D4_5dApsF99e90tdsu_73GkCQxUjiNvK3oR75qBLXaV-Sd4VIyTs_GsJF9kjZN_w1NyoFJofMbtXqicqL_GhFZDquNxR_IUgBgIdHtYV6w3flxpRGx10gVxWnwNXhrKy1u3bLT3jKH6VAVzpzsqGbz3zZQ-2QWG4IBS4EA.QYP8yFy4t4d6D-u3ekgxSuLBQ0vuMOWsvWSHliKrzrg&dib_tag=se&qid=1727753034&rnid=2941120011&s=electronics&sr=1-11&srs=24229290011&th=1,B000QUTHVC,https://www.amazon.com/product-reviews/B000QUTHVC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,4,Beth Wilson,"Reviewed in the United States on June 30, 2020",Great shredder for the money.,2
"Ideal. 4003 Cross-Cut Commercial Office Paper Shredder Heavy Duty with Automatic Oiler, 34 to 36 Sheet Feed Capacity, 44-Gallon Bin, P-4 Security",2943.56,"COMMERCIAL USE: Office paper shredder designed for 18-20 users in a department, floor or office; TAA compliant, Made in Germany
HEAVY DUTY: Continuous run-time shredder for shredding paper, staples, paper clips, credit cards, and CDs/DVDs; Automatic oiler regularly oils your centralized office shredder to ensure smoother, faster, and quieter shredding
PROTECT YOUR INFORMATION: P-4 cross-cut security level is HIPAA and FACTA compliant and federally accepted to protect information against identity theft
HIGH CAPACITY SHREDDER: Tears through 24-26 sheets of paper at a time, with a throughput of 917 sheets per minute, and features a 44 gallon shred bin
JAM PREVENTION: Electronic Capacity Control (ECC) monitors and grades document-feeding to prevent jams; Features manual reverse, automatic reverse and stop when overfed; The shredder will automatically stop when bin is full","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",3.7,33,https://www.amazon.com/Cross-Cut-Commercial-Shredder-Automatic-44-Gallon/dp/B000QUTHVC/ref=sr_1_11?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrf3-ugKj2UbddHbhGDY9HGheoQPNvamb-8LOWuQhhR_-3oqHDs3pYW4WiTqE8Sdxp54a41xVcCfbPJX54dgbDnmb4oNAFjn2EGJts4ZN06PYwBNu8D4_5dApsF99e90tdsu_73GkCQxUjiNvK3oR75qBLXaV-Sd4VIyTs_GsJF9kjZN_w1NyoFJofMbtXqicqL_GhFZDquNxR_IUgBgIdHtYV6w3flxpRGx10gVxWnwNXhrKy1u3bLT3jKH6VAVzpzsqGbz3zZQ-2QWG4IBS4EA.QYP8yFy4t4d6D-u3ekgxSuLBQ0vuMOWsvWSHliKrzrg&dib_tag=se&qid=1727753034&rnid=2941120011&s=electronics&sr=1-11&srs=24229290011&th=1,B000QUTHVC,https://www.amazon.com/product-reviews/B000QUTHVC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,4,Martha S,"Reviewed in the United States on April 9, 2019","The shredder is used in our accounting office. The machine is sturdy, and can run several hours at a time without overheating. Jamming is not a problem. Great machine, maybe a little louder than I expected.",1
"Ideal. 4003 Cross-Cut Commercial Office Paper Shredder Heavy Duty with Automatic Oiler, 34 to 36 Sheet Feed Capacity, 44-Gallon Bin, P-4 Security",2943.56,"COMMERCIAL USE: Office paper shredder designed for 18-20 users in a department, floor or office; TAA compliant, Made in Germany
HEAVY DUTY: Continuous run-time shredder for shredding paper, staples, paper clips, credit cards, and CDs/DVDs; Automatic oiler regularly oils your centralized office shredder to ensure smoother, faster, and quieter shredding
PROTECT YOUR INFORMATION: P-4 cross-cut security level is HIPAA and FACTA compliant and federally accepted to protect information against identity theft
HIGH CAPACITY SHREDDER: Tears through 24-26 sheets of paper at a time, with a throughput of 917 sheets per minute, and features a 44 gallon shred bin
JAM PREVENTION: Electronic Capacity Control (ECC) monitors and grades document-feeding to prevent jams; Features manual reverse, automatic reverse and stop when overfed; The shredder will automatically stop when bin is full","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",3.7,33,https://www.amazon.com/Cross-Cut-Commercial-Shredder-Automatic-44-Gallon/dp/B000QUTHVC/ref=sr_1_11?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrf3-ugKj2UbddHbhGDY9HGheoQPNvamb-8LOWuQhhR_-3oqHDs3pYW4WiTqE8Sdxp54a41xVcCfbPJX54dgbDnmb4oNAFjn2EGJts4ZN06PYwBNu8D4_5dApsF99e90tdsu_73GkCQxUjiNvK3oR75qBLXaV-Sd4VIyTs_GsJF9kjZN_w1NyoFJofMbtXqicqL_GhFZDquNxR_IUgBgIdHtYV6w3flxpRGx10gVxWnwNXhrKy1u3bLT3jKH6VAVzpzsqGbz3zZQ-2QWG4IBS4EA.QYP8yFy4t4d6D-u3ekgxSuLBQ0vuMOWsvWSHliKrzrg&dib_tag=se&qid=1727753034&rnid=2941120011&s=electronics&sr=1-11&srs=24229290011&th=1,B000QUTHVC,https://www.amazon.com/product-reviews/B000QUTHVC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,4,Craig Lowham,"Reviewed in the United States on December 11, 2019","Great product!  Fast, quiet, and easy to operate.  Much better than the normal office shredder!  Does not heat up after continual use like most smaller shredders.",2
"Ideal. 4003 Cross-Cut Commercial Office Paper Shredder Heavy Duty with Automatic Oiler, 34 to 36 Sheet Feed Capacity, 44-Gallon Bin, P-4 Security",2943.56,"COMMERCIAL USE: Office paper shredder designed for 18-20 users in a department, floor or office; TAA compliant, Made in Germany
HEAVY DUTY: Continuous run-time shredder for shredding paper, staples, paper clips, credit cards, and CDs/DVDs; Automatic oiler regularly oils your centralized office shredder to ensure smoother, faster, and quieter shredding
PROTECT YOUR INFORMATION: P-4 cross-cut security level is HIPAA and FACTA compliant and federally accepted to protect information against identity theft
HIGH CAPACITY SHREDDER: Tears through 24-26 sheets of paper at a time, with a throughput of 917 sheets per minute, and features a 44 gallon shred bin
JAM PREVENTION: Electronic Capacity Control (ECC) monitors and grades document-feeding to prevent jams; Features manual reverse, automatic reverse and stop when overfed; The shredder will automatically stop when bin is full","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",3.7,33,https://www.amazon.com/Cross-Cut-Commercial-Shredder-Automatic-44-Gallon/dp/B000QUTHVC/ref=sr_1_11?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrf3-ugKj2UbddHbhGDY9HGheoQPNvamb-8LOWuQhhR_-3oqHDs3pYW4WiTqE8Sdxp54a41xVcCfbPJX54dgbDnmb4oNAFjn2EGJts4ZN06PYwBNu8D4_5dApsF99e90tdsu_73GkCQxUjiNvK3oR75qBLXaV-Sd4VIyTs_GsJF9kjZN_w1NyoFJofMbtXqicqL_GhFZDquNxR_IUgBgIdHtYV6w3flxpRGx10gVxWnwNXhrKy1u3bLT3jKH6VAVzpzsqGbz3zZQ-2QWG4IBS4EA.QYP8yFy4t4d6D-u3ekgxSuLBQ0vuMOWsvWSHliKrzrg&dib_tag=se&qid=1727753034&rnid=2941120011&s=electronics&sr=1-11&srs=24229290011&th=1,B000QUTHVC,https://www.amazon.com/product-reviews/B000QUTHVC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,4,Daisha,"Reviewed in the United States on November 24, 2019",This product was very easy to set up. The shedder was very high quality. I returned it because I needed a cross cut shredder. The cross cut was the same high quality easy set up.,-1
