name,price,description,sustainability_features,rating_product,number_of_reviews,product_page_url,product_id,url,rating_customer,author,date,content,sentiment
"If You Care # 4 Cone Shaped Unbleached All Natural Compostable Coffee Filters, 100 Count (Pack of 1), Chlorine Free",6.92,"These coffee filters are designed to give lovers of freshly ground coffee maximum pleasure while having the least possible environmental impact
First FSC Certified Coffee Filters
Unbleached filters
Made from Totally Chlorine free Paper
Great for Food Service or home use","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
",4.6,5,https://www.amazon.com/Care-Unbleached-Coffee-Filters-count/dp/B000KBNTM0/ref=sr_1_1?dib=eyJ2IjoiMSJ9.01I4aRmwSyuR_kDLZxv0EVQ--5O17Vv9w_gVVIfBB-Qx-T7y3Ukdfhcz3m4-9zOncXY7kQEOzMBDSCxpNobE-CgGgwAwo9-W4YAKbexWKW2COT4jJ_T84HT96qX5dpk6MENesYLp7XZ2C_9N9Dy_ukdTPNM3SL7n7uEcrYGDmfjUTSE9yZd7Il5x3EvckPTm8URfyIXHKqarXj2j_HYxyDaXDX0UjVWFyqboeP0QuVlhWNCOYoNT6qORT69lozTT3mvYSJ3Q-iW1mc2k9boiEY7JyTlvzo8yttdiZKiDG5M.zjv1uFxHERO2OcXuxZaMvJot6Dqri_0vr7ba6j2jdDI&dib_tag=se&qid=1727753750&rnid=2941120011&s=appliances&sr=1-1&srs=21417082011,B000KBNTM0,https://www.amazon.com/product-reviews/B000KBNTM0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,1,Sienna Oates,"Reviewed in the United States on September 13, 2024",I’ve used these filters for years.  My most recently purchased box of filters smells like soap or perfume and when we made coffee there was a strange odor.  When I requested to return this product I got a message saying it was not eligible for a refund.,-2
"If You Care # 4 Cone Shaped Unbleached All Natural Compostable Coffee Filters, 100 Count (Pack of 1), Chlorine Free",6.92,"These coffee filters are designed to give lovers of freshly ground coffee maximum pleasure while having the least possible environmental impact
First FSC Certified Coffee Filters
Unbleached filters
Made from Totally Chlorine free Paper
Great for Food Service or home use","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
",4.6,5,https://www.amazon.com/Care-Unbleached-Coffee-Filters-count/dp/B000KBNTM0/ref=sr_1_1?dib=eyJ2IjoiMSJ9.01I4aRmwSyuR_kDLZxv0EVQ--5O17Vv9w_gVVIfBB-Qx-T7y3Ukdfhcz3m4-9zOncXY7kQEOzMBDSCxpNobE-CgGgwAwo9-W4YAKbexWKW2COT4jJ_T84HT96qX5dpk6MENesYLp7XZ2C_9N9Dy_ukdTPNM3SL7n7uEcrYGDmfjUTSE9yZd7Il5x3EvckPTm8URfyIXHKqarXj2j_HYxyDaXDX0UjVWFyqboeP0QuVlhWNCOYoNT6qORT69lozTT3mvYSJ3Q-iW1mc2k9boiEY7JyTlvzo8yttdiZKiDG5M.zjv1uFxHERO2OcXuxZaMvJot6Dqri_0vr7ba6j2jdDI&dib_tag=se&qid=1727753750&rnid=2941120011&s=appliances&sr=1-1&srs=21417082011,B000KBNTM0,https://www.amazon.com/product-reviews/B000KBNTM0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,1,A B,"Reviewed in the United States on January 7, 2024","I was shocked at how poor the quality of these bags were. The first time I used them to filter just a small amount of coffee grounds at less than boiling water temperature, the bag split immediately creating a huge mess. The same thing happened when I tried again with even less coffee coffee filtered even more slowly at even lower temperatures - the issue was clearly with the strength of the bag. The only way was able to keep to keep the coffee from splitting at creating a huge mess is by double filtering, which meant that the bags were used up twice as quickly. This not only makes the filters twice as expensive per filter as they advertise, but creates twice as much waste per cup of coffee, completely negating any l environmental benefit claimed by the company. I will never buy this product again.",-2
"If You Care # 4 Cone Shaped Unbleached All Natural Compostable Coffee Filters, 100 Count (Pack of 1), Chlorine Free",6.92,"These coffee filters are designed to give lovers of freshly ground coffee maximum pleasure while having the least possible environmental impact
First FSC Certified Coffee Filters
Unbleached filters
Made from Totally Chlorine free Paper
Great for Food Service or home use","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
",4.6,5,https://www.amazon.com/Care-Unbleached-Coffee-Filters-count/dp/B000KBNTM0/ref=sr_1_1?dib=eyJ2IjoiMSJ9.01I4aRmwSyuR_kDLZxv0EVQ--5O17Vv9w_gVVIfBB-Qx-T7y3Ukdfhcz3m4-9zOncXY7kQEOzMBDSCxpNobE-CgGgwAwo9-W4YAKbexWKW2COT4jJ_T84HT96qX5dpk6MENesYLp7XZ2C_9N9Dy_ukdTPNM3SL7n7uEcrYGDmfjUTSE9yZd7Il5x3EvckPTm8URfyIXHKqarXj2j_HYxyDaXDX0UjVWFyqboeP0QuVlhWNCOYoNT6qORT69lozTT3mvYSJ3Q-iW1mc2k9boiEY7JyTlvzo8yttdiZKiDG5M.zjv1uFxHERO2OcXuxZaMvJot6Dqri_0vr7ba6j2jdDI&dib_tag=se&qid=1727753750&rnid=2941120011&s=appliances&sr=1-1&srs=21417082011,B000KBNTM0,https://www.amazon.com/product-reviews/B000KBNTM0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,1,Amazon Customer,"Reviewed in the United States on September 21, 2024",These filters break and the coffee runs through.Waste of money.,-2
"If You Care # 4 Cone Shaped Unbleached All Natural Compostable Coffee Filters, 100 Count (Pack of 1), Chlorine Free",6.92,"These coffee filters are designed to give lovers of freshly ground coffee maximum pleasure while having the least possible environmental impact
First FSC Certified Coffee Filters
Unbleached filters
Made from Totally Chlorine free Paper
Great for Food Service or home use","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
",4.6,5,https://www.amazon.com/Care-Unbleached-Coffee-Filters-count/dp/B000KBNTM0/ref=sr_1_1?dib=eyJ2IjoiMSJ9.01I4aRmwSyuR_kDLZxv0EVQ--5O17Vv9w_gVVIfBB-Qx-T7y3Ukdfhcz3m4-9zOncXY7kQEOzMBDSCxpNobE-CgGgwAwo9-W4YAKbexWKW2COT4jJ_T84HT96qX5dpk6MENesYLp7XZ2C_9N9Dy_ukdTPNM3SL7n7uEcrYGDmfjUTSE9yZd7Il5x3EvckPTm8URfyIXHKqarXj2j_HYxyDaXDX0UjVWFyqboeP0QuVlhWNCOYoNT6qORT69lozTT3mvYSJ3Q-iW1mc2k9boiEY7JyTlvzo8yttdiZKiDG5M.zjv1uFxHERO2OcXuxZaMvJot6Dqri_0vr7ba6j2jdDI&dib_tag=se&qid=1727753750&rnid=2941120011&s=appliances&sr=1-1&srs=21417082011,B000KBNTM0,https://www.amazon.com/product-reviews/B000KBNTM0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,1,TriBecca,"Reviewed in the United States on August 3, 2024",These are great coffee filters.The problem is that are shipped in their original box.  They arrived with the BOX CRUSHED and PRODUCT EXPOSED.NO RETURNS allowed.,-1
"If You Care # 4 Cone Shaped Unbleached All Natural Compostable Coffee Filters, 100 Count (Pack of 1), Chlorine Free",6.92,"These coffee filters are designed to give lovers of freshly ground coffee maximum pleasure while having the least possible environmental impact
First FSC Certified Coffee Filters
Unbleached filters
Made from Totally Chlorine free Paper
Great for Food Service or home use","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
",4.6,5,https://www.amazon.com/Care-Unbleached-Coffee-Filters-count/dp/B000KBNTM0/ref=sr_1_1?dib=eyJ2IjoiMSJ9.01I4aRmwSyuR_kDLZxv0EVQ--5O17Vv9w_gVVIfBB-Qx-T7y3Ukdfhcz3m4-9zOncXY7kQEOzMBDSCxpNobE-CgGgwAwo9-W4YAKbexWKW2COT4jJ_T84HT96qX5dpk6MENesYLp7XZ2C_9N9Dy_ukdTPNM3SL7n7uEcrYGDmfjUTSE9yZd7Il5x3EvckPTm8URfyIXHKqarXj2j_HYxyDaXDX0UjVWFyqboeP0QuVlhWNCOYoNT6qORT69lozTT3mvYSJ3Q-iW1mc2k9boiEY7JyTlvzo8yttdiZKiDG5M.zjv1uFxHERO2OcXuxZaMvJot6Dqri_0vr7ba6j2jdDI&dib_tag=se&qid=1727753750&rnid=2941120011&s=appliances&sr=1-1&srs=21417082011,B000KBNTM0,https://www.amazon.com/product-reviews/B000KBNTM0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,1,Reggie Espitia,"Reviewed in the United States on August 16, 2024",I opened the brand new pack of filters (Qty. 100) only to find partial packaging with only 8 filters.,-1
"If You Care # 4 Cone Shaped Unbleached All Natural Compostable Coffee Filters, 100 Count (Pack of 1), Chlorine Free",6.92,"These coffee filters are designed to give lovers of freshly ground coffee maximum pleasure while having the least possible environmental impact
First FSC Certified Coffee Filters
Unbleached filters
Made from Totally Chlorine free Paper
Great for Food Service or home use","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
",4.6,5,https://www.amazon.com/Care-Unbleached-Coffee-Filters-count/dp/B000KBNTM0/ref=sr_1_1?dib=eyJ2IjoiMSJ9.01I4aRmwSyuR_kDLZxv0EVQ--5O17Vv9w_gVVIfBB-Qx-T7y3Ukdfhcz3m4-9zOncXY7kQEOzMBDSCxpNobE-CgGgwAwo9-W4YAKbexWKW2COT4jJ_T84HT96qX5dpk6MENesYLp7XZ2C_9N9Dy_ukdTPNM3SL7n7uEcrYGDmfjUTSE9yZd7Il5x3EvckPTm8URfyIXHKqarXj2j_HYxyDaXDX0UjVWFyqboeP0QuVlhWNCOYoNT6qORT69lozTT3mvYSJ3Q-iW1mc2k9boiEY7JyTlvzo8yttdiZKiDG5M.zjv1uFxHERO2OcXuxZaMvJot6Dqri_0vr7ba6j2jdDI&dib_tag=se&qid=1727753750&rnid=2941120011&s=appliances&sr=1-1&srs=21417082011,B000KBNTM0,https://www.amazon.com/product-reviews/B000KBNTM0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,1,Charlie Tango,"Reviewed in the United States on November 24, 2022","On 16 November, I sent the following message to the seller; as of 24 November, I have received no response. I have purchased your No. 4 coffee filters for years [26 boxes] and, until my most recent purchase of 2 boxes (100 ea.), I loved them. The first box's ""'never break' patented wave seam"" failed every time, allowing grounds to pass into my brewed coffee. Each time I thought that perhaps it was an anomaly and that the next filter would be fine. Nope. The first filter out of the second box failed similarly and, since then, I've been using two filters for each brew. That's not what I paid for and certainly doesn't meet your advertising of promoting a ""Healthy Planet"" and ""Quality with Integrity."" I can provide a long list of Amazon order numbers from the past few years if you'd like to substantiate my brand loyalty. But if this issue isn't resolved, you've lost a good customer. [Addendum: They now HAVE LOST a customer.]",-2
"If You Care # 4 Cone Shaped Unbleached All Natural Compostable Coffee Filters, 100 Count (Pack of 1), Chlorine Free",6.92,"These coffee filters are designed to give lovers of freshly ground coffee maximum pleasure while having the least possible environmental impact
First FSC Certified Coffee Filters
Unbleached filters
Made from Totally Chlorine free Paper
Great for Food Service or home use","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
",4.6,5,https://www.amazon.com/Care-Unbleached-Coffee-Filters-count/dp/B000KBNTM0/ref=sr_1_1?dib=eyJ2IjoiMSJ9.01I4aRmwSyuR_kDLZxv0EVQ--5O17Vv9w_gVVIfBB-Qx-T7y3Ukdfhcz3m4-9zOncXY7kQEOzMBDSCxpNobE-CgGgwAwo9-W4YAKbexWKW2COT4jJ_T84HT96qX5dpk6MENesYLp7XZ2C_9N9Dy_ukdTPNM3SL7n7uEcrYGDmfjUTSE9yZd7Il5x3EvckPTm8URfyIXHKqarXj2j_HYxyDaXDX0UjVWFyqboeP0QuVlhWNCOYoNT6qORT69lozTT3mvYSJ3Q-iW1mc2k9boiEY7JyTlvzo8yttdiZKiDG5M.zjv1uFxHERO2OcXuxZaMvJot6Dqri_0vr7ba6j2jdDI&dib_tag=se&qid=1727753750&rnid=2941120011&s=appliances&sr=1-1&srs=21417082011,B000KBNTM0,https://www.amazon.com/product-reviews/B000KBNTM0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,1,celia a harrison,"Reviewed in the United States on December 18, 2023","The bottom of the filter opens up developing a hole when hot water is poured over the coffee grounds. It wasn't just one of them I tested three. Have some #2s which work perfectly so WTH! Really tired of so many problems even coffee filters. Then trying to return them has been a nightmare. Have had quite a few problems with Anazon employees blocking deliveries and stealing. The return page is not working, the Amazon return at Whole Foods was the opposite of helpful. I have the words to express my feelings but won't use them here.",-2
"If You Care # 4 Cone Shaped Unbleached All Natural Compostable Coffee Filters, 100 Count (Pack of 1), Chlorine Free",6.92,"These coffee filters are designed to give lovers of freshly ground coffee maximum pleasure while having the least possible environmental impact
First FSC Certified Coffee Filters
Unbleached filters
Made from Totally Chlorine free Paper
Great for Food Service or home use","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
",4.6,5,https://www.amazon.com/Care-Unbleached-Coffee-Filters-count/dp/B000KBNTM0/ref=sr_1_1?dib=eyJ2IjoiMSJ9.01I4aRmwSyuR_kDLZxv0EVQ--5O17Vv9w_gVVIfBB-Qx-T7y3Ukdfhcz3m4-9zOncXY7kQEOzMBDSCxpNobE-CgGgwAwo9-W4YAKbexWKW2COT4jJ_T84HT96qX5dpk6MENesYLp7XZ2C_9N9Dy_ukdTPNM3SL7n7uEcrYGDmfjUTSE9yZd7Il5x3EvckPTm8URfyIXHKqarXj2j_HYxyDaXDX0UjVWFyqboeP0QuVlhWNCOYoNT6qORT69lozTT3mvYSJ3Q-iW1mc2k9boiEY7JyTlvzo8yttdiZKiDG5M.zjv1uFxHERO2OcXuxZaMvJot6Dqri_0vr7ba6j2jdDI&dib_tag=se&qid=1727753750&rnid=2941120011&s=appliances&sr=1-1&srs=21417082011,B000KBNTM0,https://www.amazon.com/product-reviews/B000KBNTM0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,1,Karen Girton,"Reviewed in the United States on June 3, 2024",The filters tore when poured the hot water over the coffee in the Chemex.Nobody would return my call from the company after I called three times.We use two filters at a time to see if that worksWill never buy again.Great customer service from Amazon prime,-2
"If You Care # 4 Cone Shaped Unbleached All Natural Compostable Coffee Filters, 100 Count (Pack of 1), Chlorine Free",6.92,"These coffee filters are designed to give lovers of freshly ground coffee maximum pleasure while having the least possible environmental impact
First FSC Certified Coffee Filters
Unbleached filters
Made from Totally Chlorine free Paper
Great for Food Service or home use","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
",4.6,5,https://www.amazon.com/Care-Unbleached-Coffee-Filters-count/dp/B000KBNTM0/ref=sr_1_1?dib=eyJ2IjoiMSJ9.01I4aRmwSyuR_kDLZxv0EVQ--5O17Vv9w_gVVIfBB-Qx-T7y3Ukdfhcz3m4-9zOncXY7kQEOzMBDSCxpNobE-CgGgwAwo9-W4YAKbexWKW2COT4jJ_T84HT96qX5dpk6MENesYLp7XZ2C_9N9Dy_ukdTPNM3SL7n7uEcrYGDmfjUTSE9yZd7Il5x3EvckPTm8URfyIXHKqarXj2j_HYxyDaXDX0UjVWFyqboeP0QuVlhWNCOYoNT6qORT69lozTT3mvYSJ3Q-iW1mc2k9boiEY7JyTlvzo8yttdiZKiDG5M.zjv1uFxHERO2OcXuxZaMvJot6Dqri_0vr7ba6j2jdDI&dib_tag=se&qid=1727753750&rnid=2941120011&s=appliances&sr=1-1&srs=21417082011,B000KBNTM0,https://www.amazon.com/product-reviews/B000KBNTM0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,1,Jana Vengrin,"Reviewed in the United States on June 29, 2024",Half of these have holes in the bottom!!!!!!!And there is no way to return it  and get credit.,-2
"If You Care # 4 Cone Shaped Unbleached All Natural Compostable Coffee Filters, 100 Count (Pack of 1), Chlorine Free",6.92,"These coffee filters are designed to give lovers of freshly ground coffee maximum pleasure while having the least possible environmental impact
First FSC Certified Coffee Filters
Unbleached filters
Made from Totally Chlorine free Paper
Great for Food Service or home use","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
",4.6,5,https://www.amazon.com/Care-Unbleached-Coffee-Filters-count/dp/B000KBNTM0/ref=sr_1_1?dib=eyJ2IjoiMSJ9.01I4aRmwSyuR_kDLZxv0EVQ--5O17Vv9w_gVVIfBB-Qx-T7y3Ukdfhcz3m4-9zOncXY7kQEOzMBDSCxpNobE-CgGgwAwo9-W4YAKbexWKW2COT4jJ_T84HT96qX5dpk6MENesYLp7XZ2C_9N9Dy_ukdTPNM3SL7n7uEcrYGDmfjUTSE9yZd7Il5x3EvckPTm8URfyIXHKqarXj2j_HYxyDaXDX0UjVWFyqboeP0QuVlhWNCOYoNT6qORT69lozTT3mvYSJ3Q-iW1mc2k9boiEY7JyTlvzo8yttdiZKiDG5M.zjv1uFxHERO2OcXuxZaMvJot6Dqri_0vr7ba6j2jdDI&dib_tag=se&qid=1727753750&rnid=2941120011&s=appliances&sr=1-1&srs=21417082011,B000KBNTM0,https://www.amazon.com/product-reviews/B000KBNTM0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,1,Rachel Johnson,"Reviewed in the United States on March 21, 2024",3/6 attempts to make coffee since I got these have resulted in the filter splitting because the glue or adhesive can't sustain sub-boilong hot water temps for coffee. Seems like a top thing to have checked for.Total trash. Ruining good beans at this point.,-2
"If You Care # 4 Cone Shaped Unbleached All Natural Compostable Coffee Filters, 100 Count (Pack of 1), Chlorine Free",6.92,"These coffee filters are designed to give lovers of freshly ground coffee maximum pleasure while having the least possible environmental impact
First FSC Certified Coffee Filters
Unbleached filters
Made from Totally Chlorine free Paper
Great for Food Service or home use","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
",4.6,5,https://www.amazon.com/Care-Unbleached-Coffee-Filters-count/dp/B000KBNTM0/ref=sr_1_1?dib=eyJ2IjoiMSJ9.01I4aRmwSyuR_kDLZxv0EVQ--5O17Vv9w_gVVIfBB-Qx-T7y3Ukdfhcz3m4-9zOncXY7kQEOzMBDSCxpNobE-CgGgwAwo9-W4YAKbexWKW2COT4jJ_T84HT96qX5dpk6MENesYLp7XZ2C_9N9Dy_ukdTPNM3SL7n7uEcrYGDmfjUTSE9yZd7Il5x3EvckPTm8URfyIXHKqarXj2j_HYxyDaXDX0UjVWFyqboeP0QuVlhWNCOYoNT6qORT69lozTT3mvYSJ3Q-iW1mc2k9boiEY7JyTlvzo8yttdiZKiDG5M.zjv1uFxHERO2OcXuxZaMvJot6Dqri_0vr7ba6j2jdDI&dib_tag=se&qid=1727753750&rnid=2941120011&s=appliances&sr=1-1&srs=21417082011,B000KBNTM0,https://www.amazon.com/product-reviews/B000KBNTM0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,1,Amazon Customer,"Reviewed in the United States on June 26, 2024",These filters are completely worthless.  I tried to give them a chance but each time was the same.,-2
"If You Care # 4 Cone Shaped Unbleached All Natural Compostable Coffee Filters, 100 Count (Pack of 1), Chlorine Free",6.92,"These coffee filters are designed to give lovers of freshly ground coffee maximum pleasure while having the least possible environmental impact
First FSC Certified Coffee Filters
Unbleached filters
Made from Totally Chlorine free Paper
Great for Food Service or home use","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
",4.6,5,https://www.amazon.com/Care-Unbleached-Coffee-Filters-count/dp/B000KBNTM0/ref=sr_1_1?dib=eyJ2IjoiMSJ9.01I4aRmwSyuR_kDLZxv0EVQ--5O17Vv9w_gVVIfBB-Qx-T7y3Ukdfhcz3m4-9zOncXY7kQEOzMBDSCxpNobE-CgGgwAwo9-W4YAKbexWKW2COT4jJ_T84HT96qX5dpk6MENesYLp7XZ2C_9N9Dy_ukdTPNM3SL7n7uEcrYGDmfjUTSE9yZd7Il5x3EvckPTm8URfyIXHKqarXj2j_HYxyDaXDX0UjVWFyqboeP0QuVlhWNCOYoNT6qORT69lozTT3mvYSJ3Q-iW1mc2k9boiEY7JyTlvzo8yttdiZKiDG5M.zjv1uFxHERO2OcXuxZaMvJot6Dqri_0vr7ba6j2jdDI&dib_tag=se&qid=1727753750&rnid=2941120011&s=appliances&sr=1-1&srs=21417082011,B000KBNTM0,https://www.amazon.com/product-reviews/B000KBNTM0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,1,Amazon Customer,"Reviewed in the United States on July 2, 2024",These split at the seam and let everything fall through.  Unfortunately cannot return.,-2
"If You Care # 4 Cone Shaped Unbleached All Natural Compostable Coffee Filters, 100 Count (Pack of 1), Chlorine Free",6.92,"These coffee filters are designed to give lovers of freshly ground coffee maximum pleasure while having the least possible environmental impact
First FSC Certified Coffee Filters
Unbleached filters
Made from Totally Chlorine free Paper
Great for Food Service or home use","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
",4.6,5,https://www.amazon.com/Care-Unbleached-Coffee-Filters-count/dp/B000KBNTM0/ref=sr_1_1?dib=eyJ2IjoiMSJ9.01I4aRmwSyuR_kDLZxv0EVQ--5O17Vv9w_gVVIfBB-Qx-T7y3Ukdfhcz3m4-9zOncXY7kQEOzMBDSCxpNobE-CgGgwAwo9-W4YAKbexWKW2COT4jJ_T84HT96qX5dpk6MENesYLp7XZ2C_9N9Dy_ukdTPNM3SL7n7uEcrYGDmfjUTSE9yZd7Il5x3EvckPTm8URfyIXHKqarXj2j_HYxyDaXDX0UjVWFyqboeP0QuVlhWNCOYoNT6qORT69lozTT3mvYSJ3Q-iW1mc2k9boiEY7JyTlvzo8yttdiZKiDG5M.zjv1uFxHERO2OcXuxZaMvJot6Dqri_0vr7ba6j2jdDI&dib_tag=se&qid=1727753750&rnid=2941120011&s=appliances&sr=1-1&srs=21417082011,B000KBNTM0,https://www.amazon.com/product-reviews/B000KBNTM0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,1,Customer,"Reviewed in the United States on January 7, 2024","These, even though I followed the directions on the box, the seam came apart. Coffee grounds blew right through and made a mess. Would be better if they made these into a flat square piece of paper that you could fold up in 4 to then open up into a cone. No seam, no mess",-2
"If You Care # 4 Cone Shaped Unbleached All Natural Compostable Coffee Filters, 100 Count (Pack of 1), Chlorine Free",6.92,"These coffee filters are designed to give lovers of freshly ground coffee maximum pleasure while having the least possible environmental impact
First FSC Certified Coffee Filters
Unbleached filters
Made from Totally Chlorine free Paper
Great for Food Service or home use","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
",4.6,5,https://www.amazon.com/Care-Unbleached-Coffee-Filters-count/dp/B000KBNTM0/ref=sr_1_1?dib=eyJ2IjoiMSJ9.01I4aRmwSyuR_kDLZxv0EVQ--5O17Vv9w_gVVIfBB-Qx-T7y3Ukdfhcz3m4-9zOncXY7kQEOzMBDSCxpNobE-CgGgwAwo9-W4YAKbexWKW2COT4jJ_T84HT96qX5dpk6MENesYLp7XZ2C_9N9Dy_ukdTPNM3SL7n7uEcrYGDmfjUTSE9yZd7Il5x3EvckPTm8URfyIXHKqarXj2j_HYxyDaXDX0UjVWFyqboeP0QuVlhWNCOYoNT6qORT69lozTT3mvYSJ3Q-iW1mc2k9boiEY7JyTlvzo8yttdiZKiDG5M.zjv1uFxHERO2OcXuxZaMvJot6Dqri_0vr7ba6j2jdDI&dib_tag=se&qid=1727753750&rnid=2941120011&s=appliances&sr=1-1&srs=21417082011,B000KBNTM0,https://www.amazon.com/product-reviews/B000KBNTM0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,1,Amazon Customer,"Reviewed in the United States on May 26, 2024",After three attempts to filter coffee I gave up. Filter split open each time wasting expensive coffee. Useless filter,-2
"If You Care # 4 Cone Shaped Unbleached All Natural Compostable Coffee Filters, 100 Count (Pack of 1), Chlorine Free",6.92,"These coffee filters are designed to give lovers of freshly ground coffee maximum pleasure while having the least possible environmental impact
First FSC Certified Coffee Filters
Unbleached filters
Made from Totally Chlorine free Paper
Great for Food Service or home use","Forestry practices
Made with materials from well-managed forests, recycled materials, and/or other controlled wood sources.
As certified by
",4.6,5,https://www.amazon.com/Care-Unbleached-Coffee-Filters-count/dp/B000KBNTM0/ref=sr_1_1?dib=eyJ2IjoiMSJ9.01I4aRmwSyuR_kDLZxv0EVQ--5O17Vv9w_gVVIfBB-Qx-T7y3Ukdfhcz3m4-9zOncXY7kQEOzMBDSCxpNobE-CgGgwAwo9-W4YAKbexWKW2COT4jJ_T84HT96qX5dpk6MENesYLp7XZ2C_9N9Dy_ukdTPNM3SL7n7uEcrYGDmfjUTSE9yZd7Il5x3EvckPTm8URfyIXHKqarXj2j_HYxyDaXDX0UjVWFyqboeP0QuVlhWNCOYoNT6qORT69lozTT3mvYSJ3Q-iW1mc2k9boiEY7JyTlvzo8yttdiZKiDG5M.zjv1uFxHERO2OcXuxZaMvJot6Dqri_0vr7ba6j2jdDI&dib_tag=se&qid=1727753750&rnid=2941120011&s=appliances&sr=1-1&srs=21417082011,B000KBNTM0,https://www.amazon.com/product-reviews/B000KBNTM0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,1,Teachermom,"Reviewed in the United States on March 17, 2024","Poured water in and the filter split right along the seam like tissue paper.No returns or refunds either, so only buy it if you need coffee filters for anything other than making coffee.",-2
