name,price,description,sustainability_features,product_features,product_affordances,rating_product,product_page_url,product_id,review_url,author,date,rating_customer,content,BERT_sentiment,GPT_sentiment
Melitta filter bags Natural Brown 1 x 4/40,9.9,Genuine original Melitta Coffee Filters,"Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Genuine"", ""original"", ""Melitta"", ""Coffee Filters""]","Product Affordances: [""Filter"", ""Brewable"", ""Durable"", ""Original""]",4.3,https://www.amazon.com/Melitta-filter-bags-Natural-Brown/dp/B0002HOV60/ref=sr_1_5?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-5&srs=24229290011,B0002HOV60,https://www.amazon.com/product-reviews/B0002HOV60/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Gy.O.,"Reviewed in the United Kingdom on February 5, 2018",4.0,"A bit overpriced for what they are, but every shop seemed to be out of stock on the island. Coffee must be had, thus they were ordered.Good quality.",1,1
Melitta filter bags Natural Brown 1 x 4/40,9.9,Genuine original Melitta Coffee Filters,"Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Genuine"", ""original"", ""Melitta"", ""Coffee Filters""]","Product Affordances: [""Filter"", ""Brewable"", ""Durable"", ""Original""]",4.3,https://www.amazon.com/Melitta-filter-bags-Natural-Brown/dp/B0002HOV60/ref=sr_1_5?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-5&srs=24229290011,B0002HOV60,https://www.amazon.com/product-reviews/B0002HOV60/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,NewBalace lover,"Reviewed in the United States on September 26, 2022",5.0,Do not leak  !!! Recommend !,2,2
Melitta filter bags Natural Brown 1 x 4/40,9.9,Genuine original Melitta Coffee Filters,"Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Genuine"", ""original"", ""Melitta"", ""Coffee Filters""]","Product Affordances: [""Filter"", ""Brewable"", ""Durable"", ""Original""]",4.3,https://www.amazon.com/Melitta-filter-bags-Natural-Brown/dp/B0002HOV60/ref=sr_1_5?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-5&srs=24229290011,B0002HOV60,https://www.amazon.com/product-reviews/B0002HOV60/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,incrediblesolv,"Reviewed in the United Kingdom on September 1, 2024",5.0,Brilliant for use with a single cup filter paper holder.,2,2
Melitta filter bags Natural Brown 1 x 4/40,9.9,Genuine original Melitta Coffee Filters,"Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Genuine"", ""original"", ""Melitta"", ""Coffee Filters""]","Product Affordances: [""Filter"", ""Brewable"", ""Durable"", ""Original""]",4.3,https://www.amazon.com/Melitta-filter-bags-Natural-Brown/dp/B0002HOV60/ref=sr_1_5?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-5&srs=24229290011,B0002HOV60,https://www.amazon.com/product-reviews/B0002HOV60/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Ron.Ardell,"Reviewed in the United Kingdom on January 11, 2020",5.0,"Unlike the other filter type, this one works flawlessly. I can make a full pot of coffee without any danger of an overflow.  Don't waste your money on anything else.",2,2
Melitta filter bags Natural Brown 1 x 4/40,9.9,Genuine original Melitta Coffee Filters,"Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Genuine"", ""original"", ""Melitta"", ""Coffee Filters""]","Product Affordances: [""Filter"", ""Brewable"", ""Durable"", ""Original""]",4.3,https://www.amazon.com/Melitta-filter-bags-Natural-Brown/dp/B0002HOV60/ref=sr_1_5?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-5&srs=24229290011,B0002HOV60,https://www.amazon.com/product-reviews/B0002HOV60/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Renric05,"Reviewed in the United Kingdom on November 4, 2020",5.0,Double pack offer is good and filters work fine in my machine.,1,1
Melitta filter bags Natural Brown 1 x 4/40,9.9,Genuine original Melitta Coffee Filters,"Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Genuine"", ""original"", ""Melitta"", ""Coffee Filters""]","Product Affordances: [""Filter"", ""Brewable"", ""Durable"", ""Original""]",4.3,https://www.amazon.com/Melitta-filter-bags-Natural-Brown/dp/B0002HOV60/ref=sr_1_5?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-5&srs=24229290011,B0002HOV60,https://www.amazon.com/product-reviews/B0002HOV60/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Anru,"Reviewed in the United Kingdom on February 16, 2021",5.0,They work as always. Nothing special.,0,0
Melitta filter bags Natural Brown 1 x 4/40,9.9,Genuine original Melitta Coffee Filters,"Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Genuine"", ""original"", ""Melitta"", ""Coffee Filters""]","Product Affordances: [""Filter"", ""Brewable"", ""Durable"", ""Original""]",4.3,https://www.amazon.com/Melitta-filter-bags-Natural-Brown/dp/B0002HOV60/ref=sr_1_5?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-5&srs=24229290011,B0002HOV60,https://www.amazon.com/product-reviews/B0002HOV60/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Amazon Customer,"Reviewed in the United Kingdom on March 25, 2020",5.0,To make coffee the best way.,2,1
Melitta filter bags Natural Brown 1 x 4/40,9.9,Genuine original Melitta Coffee Filters,"Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Genuine"", ""original"", ""Melitta"", ""Coffee Filters""]","Product Affordances: [""Filter"", ""Brewable"", ""Durable"", ""Original""]",4.3,https://www.amazon.com/Melitta-filter-bags-Natural-Brown/dp/B0002HOV60/ref=sr_1_5?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-5&srs=24229290011,B0002HOV60,https://www.amazon.com/product-reviews/B0002HOV60/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Kimmie,"Reviewed in the United Kingdom on February 27, 2020",5.0,Excellent highly recommend,2,2
Melitta filter bags Natural Brown 1 x 4/40,9.9,Genuine original Melitta Coffee Filters,"Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Genuine"", ""original"", ""Melitta"", ""Coffee Filters""]","Product Affordances: [""Filter"", ""Brewable"", ""Durable"", ""Original""]",4.3,https://www.amazon.com/Melitta-filter-bags-Natural-Brown/dp/B0002HOV60/ref=sr_1_5?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-5&srs=24229290011,B0002HOV60,https://www.amazon.com/product-reviews/B0002HOV60/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Amazon Customer,"Reviewed in the United Kingdom on December 19, 2019",5.0,Ok,0,1
Melitta filter bags Natural Brown 1 x 4/40,9.9,Genuine original Melitta Coffee Filters,"Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Genuine"", ""original"", ""Melitta"", ""Coffee Filters""]","Product Affordances: [""Filter"", ""Brewable"", ""Durable"", ""Original""]",4.3,https://www.amazon.com/Melitta-filter-bags-Natural-Brown/dp/B0002HOV60/ref=sr_1_5?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-5&srs=24229290011,B0002HOV60,https://www.amazon.com/product-reviews/B0002HOV60/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,mrmelody,"Reviewed in the United Kingdom on October 29, 2018",5.0,Do their usual good job,1,1
"Melitta Size 102 Aroma Zones Filterbags, Pack of 80",9.99,"Balanced Filter Coffee Taste
Aroma Zones allowing for the perfect release of flavours
Natural paper (unbleached)
Paper sourced from responsible source
Melitta Coffee experts since 1908","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Balanced Filter Coffee Taste"", ""Aroma Zones"", ""flavours"", ""Natural paper"", ""unbleached"", ""source"", ""Melitta Coffee experts""]","Product Affordances: [""Balanced"", ""Release"", ""Responsible"", ""Interact""]",4.6,https://www.amazon.com/Melitta-Size-Aroma-Zones-Filterbags/dp/B0007VJMM4/ref=sr_1_1?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-1&srs=24229290011,B0007VJMM4,https://www.amazon.com/product-reviews/B0007VJMM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Naoo,"Reviewed in India on February 3, 2023",1.0,The box is crushed and unsanitary,-2,-2
"Melitta Size 102 Aroma Zones Filterbags, Pack of 80",9.99,"Balanced Filter Coffee Taste
Aroma Zones allowing for the perfect release of flavours
Natural paper (unbleached)
Paper sourced from responsible source
Melitta Coffee experts since 1908","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Balanced Filter Coffee Taste"", ""Aroma Zones"", ""flavours"", ""Natural paper"", ""unbleached"", ""source"", ""Melitta Coffee experts""]","Product Affordances: [""Balanced"", ""Release"", ""Responsible"", ""Interact""]",4.6,https://www.amazon.com/Melitta-Size-Aroma-Zones-Filterbags/dp/B0007VJMM4/ref=sr_1_1?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-1&srs=24229290011,B0007VJMM4,https://www.amazon.com/product-reviews/B0007VJMM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Anupam,"Reviewed in India on July 7, 2023",3.0,"The product quality is good. The box was delivered crushed, but the filters inside are fine. Amazon says this is a 2-Cup filter paper. However, the size is too big even for my 4 cup coffee maker. The 1X2 coffee filter fits it correctly. I have been buying 102 size for some time. Sometimes Amazon sends 1X2 size for 2-cup coffee filter, and this size is correct. But this time they sent 102 size, and this is too big.",0,0
"Melitta Size 102 Aroma Zones Filterbags, Pack of 80",9.99,"Balanced Filter Coffee Taste
Aroma Zones allowing for the perfect release of flavours
Natural paper (unbleached)
Paper sourced from responsible source
Melitta Coffee experts since 1908","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Balanced Filter Coffee Taste"", ""Aroma Zones"", ""flavours"", ""Natural paper"", ""unbleached"", ""source"", ""Melitta Coffee experts""]","Product Affordances: [""Balanced"", ""Release"", ""Responsible"", ""Interact""]",4.6,https://www.amazon.com/Melitta-Size-Aroma-Zones-Filterbags/dp/B0007VJMM4/ref=sr_1_1?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-1&srs=24229290011,B0007VJMM4,https://www.amazon.com/product-reviews/B0007VJMM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Jane,"Reviewed in Germany on September 28, 2018",3.0,"I don't like this item not because of the quality but because of the design of this whole filtering method. Although it is for 2 cups, I would still suggest that you pour water into it several times. Why? It's just the speed that water flows through is not even. If you pour 2 cups of water inside all at once, you'll surely get coffee that is too watery, because the water flows through very very quickly. Yet when the water reaches the bottom, it flows too slowly. I have to honestly say that this design is not as smart as the Japanese drip bags made of paper. It costs an extra ceramic cup, is clumsy, but doesn't do the job perfectly.",-1,-1
"Melitta Size 102 Aroma Zones Filterbags, Pack of 80",9.99,"Balanced Filter Coffee Taste
Aroma Zones allowing for the perfect release of flavours
Natural paper (unbleached)
Paper sourced from responsible source
Melitta Coffee experts since 1908","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
","Product Features: [""Balanced Filter Coffee Taste"", ""Aroma Zones"", ""flavours"", ""Natural paper"", ""unbleached"", ""source"", ""Melitta Coffee experts""]","Product Affordances: [""Balanced"", ""Release"", ""Responsible"", ""Interact""]",4.6,https://www.amazon.com/Melitta-Size-Aroma-Zones-Filterbags/dp/B0007VJMM4/ref=sr_1_1?dib=eyJ2IjoiMSJ9.taaIZiV11cm0VDWeFqDK3XQ_C0fV-SEbmdmxnS9Z_Nn2MrrYCqcvvMhz_fpq--Ciudj_rGBA2uT2jkTxcjZCl8fYwiIf7mLc6jG51iJ7Vm3xJ-NmzVi6SQ0Hc7a0dSNc5Ff6zBARf6KKwxJAPlJLrxH4WwEIye1ya0z1W1rKTAiGV-c4FI8I-51n3RYXl6Y-3s5oXolEptREqA-_WEC-f7LTGrE8pm_gShru1GcvKB-xwpks7CduTAilm6DBWNRzJG2NPmJKI67UurjAOtXCysoo_Mh_ti0eb2ssGOHJOqQ.veFUZKBYsYUPAKpjIjMhKPzpFdjFaty24lgCRtZ-uW0&dib_tag=se&qid=1727753113&rnid=2941120011&s=home-garden&sr=1-1&srs=24229290011,B0007VJMM4,https://www.amazon.com/product-reviews/B0007VJMM4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&language=en_US,Amazon Customer,"Reviewed in the United Kingdom on November 27, 2016",3.0,After buying I realized the price was the same as in any random supermarket. Still ok.,0,0
